,LINE,PATTERN_ABSTRACT,ROOT,ROOT_CLASS,PATTERN_LEMMA,PATTERN,LEMMA,FORM,DEFINE,CLASS,BW,GLOSS,FEAT,COND-T,COND-S,STATUS
0,1,Ait1a23i4,*.b.*.b,1.2.3.4,Aito1a2o3i4,Aito1a2o3i4,Aito*abo*ib,Aito*abo*ib,LEXICON,[STEM-CV],CV,oscillate;fluctuate;waver;vibrate_[CALIMA],pos:verb asp:c vox:a mod:i,,intrans,OK
1,2,1a2a3,*.b.H,1.2.3,1a2a3,Ai12a3,*abaH,Ai*baH,LEXICON,[STEM-CV],CV,kill;be_massacred;slaughter;be_sacrificed_[CALIMA],pos:verb asp:c vox:a mod:i,,trans,OK
2,3,1a2~a3,*.b.H,1.2.3,1a2~a3,1a2~a3,*ab~aH,*ab~aH,LEXICON,[STEM-CV],CV,slaughter;massacre;sacrifice_[CALIMA],pos:verb asp:c vox:a mod:i,,trans,OK
3,4,>a12a3,*.E.n,1.2.3,>a1o2a3,Ai1o2i3,>a*oEan,Ai*oEin,LEXICON,[STEM-CV],CV,submit;yield;obey;be_submitted_to;be_yielded_to;be_obeyed_[CALIMA],pos:verb asp:c vox:a mod:i,,intrans,OK
4,5,1a2a3,*.E.n,1.2.3,1a2a3,Ai12i3,*aEan,Ai*Ein,LEXICON,[STEM-CV],CV,submit;yield;obey;be_submitted_to;be_yielded_to;be_obeyed;give_in_[CALIMA],pos:verb asp:c vox:a mod:i,,trans,OK
5,6,Ain1a2a3,*.E.r,1.2.3,Aino1a2a3,Aino1i2i3,Aino*aEar,Aino*iEir,LEXICON,[STEM-CV],CV,fear;be_afraid_(of);fear_for;be_worried_(of);be_worried;become_worried;be_frightened;be_alarmed_[CALIMA],pos:verb asp:c vox:a mod:i,,intrans,OK
6,7,1a2a3,*.E.r,1.2.3,1a2a3,Ai12i3,*aEar,Ai*Eir,LEXICON,[STEM-CV],CV,frighten_[CALIMA],pos:verb asp:c vox:a mod:i,,trans,OK
7,8,1a2a3,*.h.b,1.2.3,1a2a3,Ai12a3,*ahab,Ai*hab,LEXICON,[STEM-CV],CV,go;depart;take_(with)_[CALIMA],pos:verb asp:c vox:a mod:i,,intrans,OK
8,9,1a2~a3,*.h.b,1.2.3,1a2~a3,1a2~a3,*ah~ab,*ah~ab,LEXICON,[STEM-CV],CV,gild;go;depart;take_(with);be_absent;go_deep;far;absent_oneself_[CALIMA],pos:verb asp:c vox:a mod:i,,trans,OK
9,10,Ait1a2a3,*.h.l,1.2.3,Aito1a2a3,Aito1i2i3,Aito*ahal,Aito*ihil,LEXICON,[STEM-CV],CV,baffle;distract;be_baffled;be_distracted;blind;dazzle;stupefy;stun_[CALIMA],pos:verb asp:c vox:a mod:i,,intrans,OK
