,PATTERN_ABSTRACT,PATTERN_DEF,ROOT,ROOT_SUB,DEFINE,CLASS,PATTERN,LEMMA,LEMMA_SUB,FORM,FORM_SUB,BW,BW_SUB,GLOSS,FEAT,COND-T,COND-F,COND-S,MATCH,COMMENTS,STATUS
0,{i1o2a3~,,\1.y.\2,,BACKOFF,[STEM-PV],{i1o2a3~,lex:{i\1oya\2~,,{i\1oya\2~,,,{i\1oya\2~/PV,na,pos:verb asp:p vox:a mod:i,v-suff,,gem trans,^A([^wyA}&])y([^ntwyA}&])$,1,
1,{i1o2a3~,,\1.y.\2,,BACKOFF,[STEM-PV],{i1o2a3a3,lex:{i\1oya\2~,,{i\1oya\2aD,,,{i\1oya\2aD/PV,na,pos:verb asp:p vox:a mod:i,c-suff,,gem trans,^A([^wyA}&])y([^ntwyA}&])\2$,1,
2,1A2a3,,>.\1.y,,BACKOFF,[STEM-PV],|2,lex:|\1aY,,|\1,,,|\1/PV,na,pos:verb asp:p vox:a mod:i,,,#-ay trans,^A([^wyA}&])$,1,
3,1A2a3,,>.\1.\2,,BACKOFF,[STEM-PV],|2a3,lex:|\1a\2,,|\1a\2,,,|\1a\2/PV,na,pos:verb asp:p vox:a mod:i,,,trans,^A([^wyA}&])([^ntwyA}&])$,1,
4,1A2a3,,>.\1.w,,BACKOFF,[STEM-PV],|2,lex:|\1aY,,|\1,,,|\1/PV,na,pos:verb asp:p vox:a mod:i,,,#-ay trans,^A([^wyA}&])$,1,
5,{i1o2a3~,,\1.\2.\3,,BACKOFF,[STEM-PV],{i1o2a3a3,lex:{i\1o\2a\3~,,{i\1o\2a\3ar,,,{i\1o\2a\3ar/PV,na,pos:verb asp:p vox:a mod:i,c-suff,,gem trans,^A([^wyA}&])([^wyA}&])([^ntwyA}&])\3$,1,
6,{i1o2a3~,,\1.\2.\3,,BACKOFF,[STEM-PV],{i1o2a3~,lex:{i\1o\2a\3~,,{i\1o\2a\3~,,,{i\1o\2a\3~/PV,na,pos:verb asp:p vox:a mod:i,v-suff,,gem trans,^A([^wyA}&])([^wyA}&])([^ntwyA}&])$,1,
7,1A2a3,,>.\1.n,,BACKOFF,[STEM-PV],|2a3,lex:|\1an,,|\1an,,,|\1an/PV,na,pos:verb asp:p vox:a mod:i,,,#n trans,^A([^wyA}&])n$,1,
8,{i1o2a3~,,\1.w.\2,,BACKOFF,[STEM-PV],{i1o2a3~,lex:{i\1owa\2~,,{i\1owa\2~,,,{i\1owa\2~/PV,na,pos:verb asp:p vox:a mod:i,v-suff,,gem trans,^A([^wyA}&])w([^ntwyA}&])$,1,
9,{i1o2a3~,,\1.w.\2,,BACKOFF,[STEM-PV],{i1o2a3a3,lex:{i\1owa\2~,,{i\1owa\2al,,,{i\1owa\2al/PV,na,pos:verb asp:p vox:a mod:i,c-suff,,gem trans,^A([^wyA}&])w([^ntwyA}&])\2$,1,
10,1A2a3,,w.\1.y,,BACKOFF,[STEM-PV],|2,lex:|\1aY,,|\1,,,|\1/PV,na,pos:verb asp:p vox:a mod:i,,,#-ay trans,^A([^wyA}&])$,1,
11,1a2a3,,>.w.n,,BACKOFF,[STEM-PV],>u3,lex:|n-u,,>un,,,>un/PV,na,pos:verb asp:p vox:a mod:i,c-suff,,#n trans,^An$,1,
12,1a2a3,,>.w.n,,BACKOFF,[STEM-PV],|3,lex:|n-u,,|n,,,|n/PV,na,pos:verb asp:p vox:a mod:i,v-suff,,#n trans,^An$,1,
13,1a2a3,,>.w.n,,BACKOFF,[STEM-PV],<i3,lex:|n-i,,<in,,,<in/PV,na,pos:verb asp:p vox:a mod:i,c-suff,,#n trans,^An$,1,
14,1a2a3,,>.w.n,,BACKOFF,[STEM-PV],|3,lex:|n-i,,|n,,,|n/PV,na,pos:verb asp:p vox:a mod:i,v-suff,,#n trans,^An$,1,
15,1A2a3,,>.w.y,,BACKOFF,[STEM-PV],|2,lex:|waY,,|w,,,|w/PV,na,pos:verb asp:p vox:a mod:i,,,#-ay trans,^Aw$,1,
16,1a2a3,,>.\1.\1,,BACKOFF,[STEM-PV],>a2a3,lex:>a\1~-u,,>a\1a\1,,,>a\1a\1/PV,na,pos:verb asp:p vox:a mod:i,c-suff,,gem trans,^A([^ntwyA}&])\1$,1,
17,1a2a3,,>.\1.\1,,BACKOFF,[STEM-PV],>a2a3,lex:>a\1~-i,,>a\1a\1,,,>a\1a\1/PV,na,pos:verb asp:p vox:a mod:i,c-suff,,gem trans,^A([^ntwyA}&])\1$,1,
18,>a1o2a3,,\1.w.>,,BACKOFF,[STEM-PV],>a1,lex:>a\1A',,>a\1,,,>a\1/PV,na,pos:verb asp:p vox:a mod:i,,,#-A' trans,^A([^wyA}&])$,1,
19,>a1o2a3,,\1.y.t,,BACKOFF,[STEM-PV],>a1a3,lex:>a\1At,,>a\1at,,,>a\1at/PV,na,pos:verb asp:p vox:a mod:i,c-suff,,#t trans,^A([^wyA}&])t$,1,
20,>a1o2a3,,\1.y.t,,BACKOFF,[STEM-PV],>a1A3,lex:>a\1At,,>a\1At,,,>a\1At/PV,na,pos:verb asp:p vox:a mod:i,v-suff,,#t trans,^A([^wyA}&])At$,1,
21,>a1o2a3,,\1.w.\2,,BACKOFF,[STEM-PV],>a1a3,lex:>a\1A\2,,>a\1a\2,,,>a\1a\2/PV,na,pos:verb asp:p vox:a mod:i,c-suff,,trans,^A([^wyA}&])([^ntwyA}&])$,1,
22,>a1o2a3,,\1.w.\2,,BACKOFF,[STEM-PV],>a1A3,lex:>a\1A\2,,>a\1A\2,,,>a\1A\2/PV,na,pos:verb asp:p vox:a mod:i,v-suff,,trans,^A([^wyA}&])A([^ntwyA}&])$,1,
23,>a1o2a3,,\1.y.\2,,BACKOFF,[STEM-PV],>a1a3,lex:>a\1A\2,,>a\1a\2,,,>a\1a\2/PV,na,pos:verb asp:p vox:a mod:i,c-suff,,trans,^A([^wyA}&])([^ntwyA}&])$,1,
24,>a1o2a3,,\1.y.\2,,BACKOFF,[STEM-PV],>a1A3,lex:>a\1A\2,,>a\1A\2,,,>a\1A\2/PV,na,pos:verb asp:p vox:a mod:i,v-suff,,trans,^A([^wyA}&])A([^ntwyA}&])$,1,
25,>a1o2a3,,\1.y.n,,BACKOFF,[STEM-PV],>a1a3,lex:>a\1An,,>a\1an,,,>a\1an/PV,na,pos:verb asp:p vox:a mod:i,c-suff,,#n trans,^A([^wyA}&])n$,1,
26,>a1o2a3,,\1.y.n,,BACKOFF,[STEM-PV],>a1A3,lex:>a\1An,,>a\1An,,,>a\1An/PV,na,pos:verb asp:p vox:a mod:i,v-suff,,#n trans,^A([^wyA}&])An$,1,
27,>a1o2a3,,\1.\2.\2,,BACKOFF,[STEM-PV],>a1o2a3,lex:>a\1a\2~,,>a\1o\2a\2,,,>a\1o\2a\2/PV,na,pos:verb asp:p vox:a mod:i,c-suff,,gem trans,^A([^wyA}&])([^ntwyA}&])\2$,1,
28,>a1o2a3,,\1.\2.\3,,BACKOFF,[STEM-PV],>a1o2a3,lex:>a\1o\2a\3,,>a\1o\2a\3,,,>a\1o\2a\3/PV,na,pos:verb asp:p vox:a mod:i,,,trans,^A([^wyA}&])([^wyA}&])([^ntwyA}&])$,1,
29,1a2~a3,,>.\1.\2,,BACKOFF,[STEM-PV],>a2~a3,lex:>a\1~a\2,,>a\1~a\2,,,>a\1~a\2/PV,na,pos:verb asp:p vox:a mod:i,,,trans,^A([^wyA}&])([^ntwyA}&])$,1,
30,1a2a3,,>.\1.\2,,BACKOFF,[STEM-PV],>a2a3,lex:>a\1a\2-u,,>a\1a\2,,,>a\1a\2/PV,na,pos:verb asp:p vox:a mod:i,,,trans,^A([^wyA}&])([^ntwyA}&])$,1,
31,1a2a3,,>.\1.\2,,BACKOFF,[STEM-PV],>a2a3,lex:>a\1a\2-i,,>a\1a\2,,,>a\1a\2/PV,na,pos:verb asp:p vox:a mod:i,,,trans,^A([^wyA}&])([^ntwyA}&])$,1,
32,>a1o2a3,,\1.\2.>,,BACKOFF,[STEM-PV],>a1o2,lex:>a\1o\2a>,,>a\1o\2,,,>a\1o\2/PV,na,pos:verb asp:p vox:a mod:i,,,#-a> trans,^A([^wyA}&])([^wyA}&])$,1,
33,>a1o2a3,,\1.\2.y,,BACKOFF,[STEM-PV],>a1o2,lex:>a\1o\2aY,,>a\1o\2,,,>a\1o\2/PV,na,pos:verb asp:p vox:a mod:i,,,#-ay trans,^A([^wyA}&])([^wyA}&])$,1,
34,>a1o2a3,,\1.\2.n,,BACKOFF,[STEM-PV],>a1o2a3,lex:>a\1o\2an,,>a\1o\2an,,,>a\1o\2an/PV,na,pos:verb asp:p vox:a mod:i,,,#n trans,^A([^wyA}&])([^wyA}&])n$,1,
35,>a1o2a3,,\1.\2.w,,BACKOFF,[STEM-PV],>a1o2,lex:>a\1o\2aY,,>a\1o\2,,,>a\1o\2/PV,na,pos:verb asp:p vox:a mod:i,,,#-ay trans,^A([^wyA}&])([^wyA}&])$,1,
36,1a2~a3,,>.\1.n,,BACKOFF,[STEM-PV],>a2~a3,lex:>a\1~an,,>a\1~an,,,>a\1~an/PV,na,pos:verb asp:p vox:a mod:i,,,#n trans,^A([^wyA}&])n$,1,
37,1a2a3,,>.\1.\2,,BACKOFF,[STEM-PV],>a2a3,lex:>a\1a\2-a,,>a\1a\2,,,>a\1a\2/PV,na,pos:verb asp:p vox:a mod:i,,,trans,^A([^wyA}&])([^ntwyA}&])$,1,
38,1a2a3,,>.\1.\2,,BACKOFF,[STEM-PV],>a2i3,lex:>a\1i\2-a,,>a\1i\2,,,>a\1i\2/PV,na,pos:verb asp:p vox:a mod:i,,,trans,^A([^wyA}&])([^ntwyA}&])$,1,
39,>a1o2a3,,\1.\2.t,,BACKOFF,[STEM-PV],>a1o2a3,lex:>a\1o\2at,,>a\1o\2at,,,>a\1o\2at/PV,na,pos:verb asp:p vox:a mod:i,,,#t trans,^A([^wyA}&])([^wyA}&])t$,1,
40,1a2a3,,>.\1.y,,BACKOFF,[STEM-PV],>a2,lex:>a\1aY-a,,>a\1,,,>a\1/PV,na,pos:verb asp:p vox:a mod:i,,,#-ay trans,^A([^wyA}&])$,1,
