,PATTERN_ABS,PATTERN_DEF,ROOT,ROOT_SUB,DEFINE,CLASS,PATTERN,LEMMA,LEMMA_SUB,FORM,FORM_SUB,BW,BW_SUB,GLOSS,FEAT,COND-T,COND-F,COND-S,MATCH,COMMENTS,STATUS
0,>a12i3,|2i3,>.2.3,>.\1.\2,BACKOFF,[STEM-PV],|2i#3,lex:|2i3,lex:|\1i\2,|2i#3,|\1i#\2,|2i#3/PV,|\1i#\2/PV,na,pos:verb asp:p vox:a mod:i,,,trans,^A([^wyA}&])#([^ntwyA}&])$,3,
1,>a12i3,|2i3,>.2.n,>.\1.n,BACKOFF,[STEM-PV],|2i#3,lex:|2in,lex:|\1in,|2i#n,|\1i#n,|2i#n/PV,|\1i#n/PV,na,pos:verb asp:p vox:a mod:i,,,#n trans,^A([^wyA}&])#n$,1,
2,1a2a3,|3,>.w.n,>.w.n,BACKOFF,[STEM-PV],>u3,lex:|n,lex:|n,>un,>un,>un/PV,>un/PV,na,pos:verb asp:p vox:a mod:i,c-suff,,#n trans,^An$,1,
3,1a2a3,|3,>.w.n,>.w.n,BACKOFF,[STEM-PV],|3,lex:|n,lex:|n,|n,|n,|n/PV,|n/PV,na,pos:verb asp:p vox:a mod:i,n-suff||v-suff,,#n trans,^An$,1,
4,>a12i3,|yi3,>.y.3,>.y.\1,BACKOFF,[STEM-PV],|yi#3,lex:|yi3,lex:|yi\1,|yi#3,|yi#\1,|yi#3/PV,|yi#\1/PV,na,pos:verb asp:p vox:a mod:i,,,trans,^Ay#([^wyA}&])$,1,
5,>a12a3,>a1A3,1.w.3,\1.w.\2,BACKOFF,[STEM-PV],>a1a3,lex:>a1A3,lex:>a\1A\2,>a1a3,>a\1a\2,>a1a3/PV,>a\1a\2/PV,na,pos:verb asp:p vox:a mod:i,c-suff,,trans,^A([^wyA}&])([^ntwyA}&])$,15,
6,>a12a3,>a1A3,1.w.3,\1.w.\2,BACKOFF,[STEM-PV],>a1A3,lex:>a1A3,lex:>a\1A\2,>a1A3,>a\1A\2,>a1A3/PV,>a\1A\2/PV,na,pos:verb asp:p vox:a mod:i,n-suff||v-suff,,trans,^A([^wyA}&])A([^ntwyA}&])$,15,
7,>a12a3,>a1A3,1.y.3,\1.y.\2,BACKOFF,[STEM-PV],>a1a3,lex:>a1A3,lex:>a\1A\2,>a1a3,>a\1a\2,>a1a3/PV,>a\1a\2/PV,na,pos:verb asp:p vox:a mod:i,c-suff,,trans,^A([^wyA}&])([^ntwyA}&])$,7,
8,>a12a3,>a1A3,1.y.3,\1.y.\2,BACKOFF,[STEM-PV],>a1A3,lex:>a1A3,lex:>a\1A\2,>a1A3,>a\1A\2,>a1A3/PV,>a\1A\2/PV,na,pos:verb asp:p vox:a mod:i,n-suff||v-suff,,trans,^A([^wyA}&])A([^ntwyA}&])$,7,
9,>a12a3,>a1A3,1.y.n,\1.y.n,BACKOFF,[STEM-PV],>a1a3,lex:>a1An,lex:>a\1An,>a1an,>a\1an,>a1an/PV,>a\1an/PV,na,pos:verb asp:p vox:a mod:i,c-suff,,#n trans,^A([^wyA}&])n$,2,
10,>a12a3,>a1A3,1.y.n,\1.y.n,BACKOFF,[STEM-PV],>a1A3,lex:>a1An,lex:>a\1An,>a1An,>a\1An,>a1An/PV,>a\1An/PV,na,pos:verb asp:p vox:a mod:i,n-suff||v-suff,,#n trans,^A([^wyA}&])An$,2,
11,>a12a3,>a1o2a3,1.2.3,\1.\2.\3,BACKOFF,[STEM-PV],>a1o2a3,lex:>a1o2a3,lex:>a\1o\2a\3,>a1o2a3,>a\1o\2a\3,>a1o2a3/PV,>a\1o\2a\3/PV,na,pos:verb asp:p vox:a mod:i,,,trans,^A([^wyA}&])([^wyA}&])([^ntwyA}&])$,93,
