,LINE,Abstract Pattern (LINKED),Lemma Pattern (LINKED),Form Pattern,Form Pattern Check,Form Pattern Check T/F,comments,ROOT (LINKED),ROOT,DEFINE,CLASS,#LEMMA_AR,LEMMA (LINKED),LEMMA,FORM,BW,GLOSS,FEAT,COND-T,COND-F,COND-S,STATUS,#COND-S,#TRANS,ICONIC,XV STATUS,Pattern Status,PV,IV,CV
0,1,>a12i3,|2i3,|2i#3,|di#m,TRUE,,>.d.m,>.d.m,LEXICON,[STEM-PV],آدِم,|dim,|dim,|di#m,PV,eat;consume;be_eaten;be_consumed;bribe;eat_away;wear_down;corrode_[CALIMA],pos:verb asp:p vox:a mod:i,,,intrans,OK,,intrans,FALSE,GOOD,OK,>a12i3,>a12i3,>a12i3
1,2,>a12i3,|2i3,|2i#3,|xi#*,TRUE,,>.x.\*,>.x.\*,LEXICON,[STEM-PV],آخِذ,|xi*,|xi*,|xi#*,PV,blame;reproach;taking;captivating;engrossing_[CALIMA],pos:verb asp:p vox:a mod:i,,,trans,OK,,trans,FALSE,GOOD,OK,>a12i3,>a12i3,>a12i3
2,3,>a12i3,|2i3,|2i#3,|mi#n,TRUE,,>.m.n,>.m.n,LEXICON,[STEM-PV],آمِن,|min,|min,|mi#n,PV,believe_[CALIMA],pos:verb asp:p vox:a mod:i,,,#n intrans,OK,#n,intrans,FALSE,GOOD,OK,>a12i3,>a12i3,>a12i3
3,4,1a2a3,|3,1u3,>un,TRUE,,>.w.n,>.w.n,LEXICON,[STEM-PV],آن,|n,|n,>un,PV,arrive;approach_[CALIMA],pos:verb asp:p vox:a mod:i,c-suff,,#n hollow intrans,OK,#n @hollow,intrans,TRUE,GOOD,OK,1A3,1uw3,1uw3
4,5,1a2a3,|3,|3,|n,TRUE,,>.w.n,>.w.n,LEXICON,[STEM-PV],آن,|n,|n,|n,PV,arrive;approach_[CALIMA],pos:verb asp:p vox:a mod:i,n-suff||v-suff,,#n hollow intrans,OK,#n @hollow,intrans,TRUE,GOOD,OK,1A3,1uw3,1uw3
5,6,>a12i3,|2i3,|2i#3,|ni#s,TRUE,,>.n.s,>.n.s,LEXICON,[STEM-PV],آنِس,|nis,|nis,|ni#s,PV,be_friendly;entertain;perceive;be_friendly_to;nice_to_[CALIMA],pos:verb asp:p vox:a mod:i,,,trans,OK,,trans,FALSE,GOOD,OK,>a12i3,>a12i3,>a12i3
6,7,>a12i3,|2i3,|2i#3,|yi#s,TRUE,,>.y.s,>.y.s,LEXICON,[STEM-PV],آيِس,|yis,|yis,|yi#s,PV,despair;be_hopeless;despair_of;lose_hope_of_[CALIMA],pos:verb asp:p vox:a mod:i,,,intrans,OK,,intrans,TRUE,GOOD,OK,>a12i3,>a12i3,>a12i3
7,8,>a12a3,>a1A3,>a1a3,>abaH,TRUE,,b.w.H,b.w.H,LEXICON,[STEM-PV],أَباح,>abAH,>abAH,>abaH,PV,reveal;allow;be_revealed;be_allowed_[CALIMA],pos:verb asp:p vox:a mod:i,c-suff,,hollow trans,OK,@hollow,trans,FALSE,GOOD,OK,>a1A3,1iy3,1iy3
8,9,>a12a3,>a1A3,>a1A3,>abAH,TRUE,,b.w.H,b.w.H,LEXICON,[STEM-PV],أَباح,>abAH,>abAH,>abAH,PV,reveal;allow;be_revealed;be_allowed_[CALIMA],pos:verb asp:p vox:a mod:i,n-suff||v-suff,,hollow trans,OK,@hollow,trans,FALSE,GOOD,OK,>a1A3,1iy3,1iy3
9,10,>a12a3,>a1A3,>a1a3,>abad,TRUE,,b.y.d,b.y.d,LEXICON,[STEM-PV],أَباد,>abAd,>abAd,>abad,PV,exterminate;be_exterminated_[CALIMA],pos:verb asp:p vox:a mod:i,c-suff,,hollow trans,OK,@hollow,trans,FALSE,GOOD,OK,>a1A3,1iy3,1iy3
10,11,>a12a3,>a1A3,>a1A3,>abAd,TRUE,,b.y.d,b.y.d,LEXICON,[STEM-PV],أَباد,>abAd,>abAd,>abAd,PV,exterminate;be_exterminated_[CALIMA],pos:verb asp:p vox:a mod:i,n-suff||v-suff,,hollow trans,OK,@hollow,trans,FALSE,GOOD,OK,>a1A3,1iy3,1iy3
11,12,>a12a3,>a1A3,>a1a3,>aban,TRUE,,b.y.n,b.y.n,LEXICON,[STEM-PV],أَبان,>abAn,>abAn,>aban,PV,explain;be_explained_[CALIMA],pos:verb asp:p vox:a mod:i,c-suff,,#n hollow trans,OK,#n @hollow,trans,FALSE,GOOD,OK,>a1A3,1iy3,1iy3
12,13,>a12a3,>a1A3,>a1A3,>abAn,TRUE,,b.y.n,b.y.n,LEXICON,[STEM-PV],أَبان,>abAn,>abAn,>abAn,PV,explain;be_explained_[CALIMA],pos:verb asp:p vox:a mod:i,n-suff||v-suff,,#n hollow trans,OK,#n @hollow,trans,FALSE,GOOD,OK,>a1A3,1iy3,1iy3
13,14,>a12a3,>a1o2a3,>a1o2a3,>abodaE,TRUE,,b.d.E,b.d.E,LEXICON,[STEM-PV],أَبْدَع,>abodaE,>abodaE,>abodaE,PV,innovate;create_[CALIMA],pos:verb asp:p vox:a mod:i,,,trans,OK,,trans,FALSE,GOOD,OK,>a12a3,12i3,Ai12i3
14,15,>a12a3,>a1o2aY,>a1o2,>abod,TRUE,,b.d.y,b.d.y,LEXICON,[STEM-PV],أَبْدَى,>abodaY,>abodaY,>abod,PV,express;demonstrate;show;be_expressed;be_demonstrated;be_shown_[CALIMA],pos:verb asp:p vox:a mod:i,,,#-ay defective trans,OK,#-ay @defective,trans,FALSE,GOOD,OK,>a12a3,12i3,Ai12i3
15,16,>a12a3,>a1o2a3,>a1o2a3,>aboraz,TRUE,,b.r.z,b.r.z,LEXICON,[STEM-PV],أَبْرَز,>aboraz,>aboraz,>aboraz,PV,highlight;expose_[CALIMA],pos:verb asp:p vox:a mod:i,,,trans,OK,,trans,FALSE,GOOD,OK,>a12a3,12i3,Ai12i3
16,17,>a12a3,>a1o2a3,>a1o2a3,>aboram,TRUE,,b.r.m,b.r.m,LEXICON,[STEM-PV],أَبْرَم,>aboram,>aboram,>aboram,PV,conclude;ratify;be_concluded;be_ratified_[CALIMA],pos:verb asp:p vox:a mod:i,,,trans,OK,,trans,FALSE,GOOD,OK,>a12a3,12i3,Ai12i3
17,18,1a2~a3,1a2~a3,1a2~a3,>ab~aZ,TRUE,,>.b.Z,>.b.Z,LEXICON,[STEM-PV],أَبَّظ,>ab~aZ,>ab~aZ,>ab~aZ,PV,press;push;pressurize;compress;click;squeeze;be_squeezed;be_pressed_[CALIMA],pos:verb asp:p vox:a mod:i,,,trans,OK,,trans,FALSE,GOOD,OK,1a2~a3,1a2~a3,1a2~a3
18,19,>a12a3,>a1o2a3,>a1o2a3,>aboEad,TRUE,,b.E.d,b.E.d,LEXICON,[STEM-PV],أَبْعَد,>aboEad,>aboEad,>aboEad,PV,remove;expel_[CALIMA],pos:verb asp:p vox:a mod:i,,,trans,OK,,trans,FALSE,GOOD,OK,>a12a3,12i3,Ai12i3
19,20,>a12a3,>a1o2a3,>a1o2a3,>abolag,TRUE,,b.l.g,b.l.g,LEXICON,[STEM-PV],أَبْلَغ,>abolag,>abolag,>abolag,PV,report;inform;notify;be_reported;be_informed;be_notified_[CALIMA],pos:verb asp:p vox:a mod:i,,,trans,OK,,trans,FALSE,GOOD,OK,>a12a3,12i3,Ai12i3
20,21,1a2~i3,1a2~i3,1a2~i3,>ab~in,TRUE,,>.b.n,>.b.n,LEXICON,[STEM-PV],أَبِّن,>ab~in,>ab~in,>ab~in,PV,eulogize_[CALIMA],pos:verb asp:p vox:a mod:i,,,#n trans,OK,#n,trans,FALSE,GOOD,OK,1a2~i3,1a2~i3,1a2~i3
21,22,>a12a3,>a1o2a3,>a1o2a3,>aboham,TRUE,,b.h.m,b.h.m,LEXICON,[STEM-PV],أَبْهَم,>aboham,>aboham,>aboham,PV,make_obscure;be_ambiguous;be_made_obscure_[CALIMA],pos:verb asp:p vox:a mod:i,,,trans,OK,,trans,FALSE,GOOD,OK,>a12a3,12i3,Ai12i3
22,23,>a12a3,>a1A3,>a1a3,>ataH,TRUE,,t.y.H,t.y.H,LEXICON,[STEM-PV],أَتاح,>atAH,>atAH,>ataH,PV,grant;provide;be_provided;be_granted;be_available_[CALIMA],pos:verb asp:p vox:a mod:i,c-suff,,hollow intrans,OK,@hollow,intrans,FALSE,GOOD,OK,>a1A3,1iy3,1iy3
23,24,>a12a3,>a1A3,>a1A3,>atAH,TRUE,,t.y.H,t.y.H,LEXICON,[STEM-PV],أَتاح,>atAH,>atAH,>atAH,PV,grant;provide;be_provided;be_granted;be_available_[CALIMA],pos:verb asp:p vox:a mod:i,n-suff||v-suff,,hollow intrans,OK,@hollow,intrans,FALSE,GOOD,OK,>a1A3,1iy3,1iy3
24,25,>a12a3,>a1o2a3,>a1o2a3,>atoHaf,TRUE,,t.H.f,t.H.f,LEXICON,[STEM-PV],أَتْحَف,>atoHaf,>atoHaf,>atoHaf,PV,present;be_presented_[CALIMA],pos:verb asp:p vox:a mod:i,,,trans,OK,,trans,FALSE,GOOD,OK,>a12a3,12i3,Ai12i3
25,26,>a12a3,>a1o2a3,>a1o2a3,>atoqan,TRUE,,t.q.n,t.q.n,LEXICON,[STEM-PV],أَتْقَن,>atoqan,>atoqan,>atoqan,PV,master;perfect;be_mastered;be_perfected_[CALIMA],pos:verb asp:p vox:a mod:i,,,#n trans,OK,#n,trans,FALSE,GOOD,OK,>a12a3,12i3,Ai12i3
26,27,>a12a3,>a1o2a3,>a1o2a3,>atolaf,TRUE,,t.l.f,t.l.f,LEXICON,[STEM-PV],أَتْلَف,>atolaf,>atolaf,>atolaf,PV,damage;ruin;be_damaged;be_ruined_[CALIMA],pos:verb asp:p vox:a mod:i,,,trans,OK,,trans,FALSE,GOOD,OK,>a12a3,12i3,Ai12i3
27,28,1a2a3,1a2aY,1a2,>at,TRUE,,>.t.y,>.t.y,LEXICON,[STEM-PV],أَتَى,>ataY,>ataY,>at,PV,arrive;come;reach_[CALIMA],pos:verb asp:p vox:a mod:i,,,#-ay defective trans,OK,#-ay @defective,trans,TRUE,GOOD,OK,1a2a3,12i3,
28,29,>a12a3,>a1A3,>a1a3,>avar,TRUE,,v.w.r,v.w.r,LEXICON,[STEM-PV],أَثار,>avAr,>avAr,>avar,PV,raise;provoke;agitate;be_raised;be_provoked;be_agitated_[CALIMA],pos:verb asp:p vox:a mod:i,c-suff,,hollow trans,OK,@hollow,trans,FALSE,GOOD,OK,>a1A3,1iy3,1iy3
29,29,>a12a3,>a1A3,>a1A3,>avAr,TRUE,,v.w.r,v.w.r,LEXICON,[STEM-PV],أَثار,>avAr,>avAr,>avAr,PV,raise;provoke;agitate;be_raised;be_provoked;be_agitated_[CALIMA],pos:verb asp:p vox:a mod:i,n-suff||v-suff,,hollow trans,OK,@hollow,trans,FALSE,GOOD,OK,>a1A3,1iy3,1iy3
30,30,>a12a3,>a1o2a3,>a1o2a3,>avobat,TRUE,,v.b.t,v.b.t,LEXICON,[STEM-PV],أَثْبَت,>avobat,>avobat,>avobat,PV,ascertain;establish;be_ascertained;be_established_[CALIMA],pos:verb asp:p vox:a mod:i,,,#t trans,OK,#t,trans,FALSE,GOOD,OK,>a12a3,12i3,Ai12i3
31,31,1a2~a3,1a2~a3,1a2~a3,>av~ar,TRUE,,>.v.r,>.v.r,LEXICON,[STEM-PV],أَثَّر,>av~ar,>av~ar,>av~ar,PV,affect;influence;be_affected;be_influenced_[CALIMA],pos:verb asp:p vox:a mod:i,,,trans,OK,,trans,TRUE,GOOD,OK,1a2~a3,1a2~a3,1a2~a3
32,32,>a12a3,>a1o2aY,>a1o2,>avon,TRUE,,v.n.y,v.n.y,LEXICON,[STEM-PV],أَثْنَى,>avonaY,>avonaY,>avon,PV,praise;commend;be_praised;be_commended_[CALIMA],pos:verb asp:p vox:a mod:i,,,#-ay defective intrans,OK,#-ay @defective,intrans,FALSE,GOOD,OK,>a12a3,12i3,Ai12i3
