,LINE,DEFINE,CLASS,FUNC,FORM,BW,VARIANT,GLOSS,FEAT,COND-T,COND-S,D3,EXAMPLE,STATUS,COND-F
0,1,#,"This file combines PV, IV and CV Morph info for EGY",,,https://docs.google.com/spreadsheets/d/1WnqYa4rS8CvuOsrKISO8ayEhmEPb76X84TWPaVV82HU/edit#gid=134851374,,,,,,,,,
1,2,CONDITIONS,[STEM-X],#-A #-A' #-a> #-ay #-aY #-ih #-iy #-iy' #-uw #-uw' #^V #A' #n #t ,,,,,,,,,,,
2,3,CONDITIONS,[X-ROOT],hollow defective gem hamzated ,,,,,,,,,,,
3,4,CONDITIONS,[X-TRANS],intrans trans ditrans,,,,,,,,,,,
4,5,CONDITIONS,[X-STEM],>-# >-a# >-o#,,,,,,,,,,,
5,6,CONDITIONS,[PREF-X],yA-# ya-# yi-# yu-#,,,,,,,,,,,
6,7,CONDITIONS,[X-PREF],h-pref,,,,,,,,,,,
7,8,CONDITIONS,[X-SUFF.PHONE],c-suff v-suff n-suff,,,,,,,,,,,
8,9,CONDITIONS,[X-SUFF.LETTER],A-suff w-suff y-suff z-suff,,,,,,,,,,,
9,10,CONDITIONS,[X-SUFF.PHONE.V],u-suff a-suff i-suff,,,,,,,,,,,
10,11,CONDITIONS,[SUFF-X],#^i #^iy #^V,,,,,,,,,,,
11,12,CONDITIONS,[PRON-X],enc0#^i,,,,,,,,,,,
12,13,CONDITIONS,[PRON:X],enc0:1* enc0:2*,,,,,,,,,,,
13,14,CONDITIONS,[PRON:*],enc0,,,,,,,,,,,
14,15,CONDITIONS,[PRON2:X],enc1:1* enc1:2*,,,,,,,,,,,
15,16,CONDITIONS,[PRON2:*],enc1,,,,,,,,,,,
16,17,CONDITIONS,[NEG:*],#NEG,,,,,,,,,,,
17,18,,,,,,,,,,,,,,
18,19,MORPH,[CONJ],_,_,_,EGY,_,prc2:0,_,_,_,,DONE,
