,LINE,ROOT,DEFINE,CLASS,LEMMA,FORM,BW,GLOSS,FEAT,COND-T,COND-F,COND-S,INTRANS_SCORE,STATUS
0,1,None,LEXICON,[STEM-CV],tbax$a$,Aitbax$a$,CV,[KEV] to be tipped+to be bribed,pos:verb asp:c vox:a mod:i,,,intrans,4,well-formedness:OK
1,2,None,LEXICON,[STEM-CV],bax$a$,bax$i$,CV,"[KEV] to tip s.o., give a tip to s.o.+to bribe",pos:verb asp:c vox:a mod:i,,,trans,0,well-formedness:OK
2,3,None,LEXICON,[STEM-CV],maSTar,maSTir,CV,[KEV] to draw lines (on a sheet of paper) with a ruler,pos:verb asp:c vox:a mod:i,,,trans,0,well-formedness:OK
3,4,None,LEXICON,[STEM-CV],EarmaT,EarmiT,CV,"[KEV] to have a ravenous appetite, to eat ravenously",pos:verb asp:c vox:a mod:i,,,trans,0,well-formedness:OK
4,5,None,LEXICON,[STEM-CV],tlagwan,Aitlagwan,CV,[MEERA] to walk slowly,pos:verb asp:c vox:a mod:i,,,trans,0,well-formedness:OK
5,6,None,LEXICON,[STEM-CV],jazaY,Aijz,CV,"[KEV] to reward, give",pos:verb asp:c vox:a mod:i,,,trans #-iy,0,well-formedness:OK
6,595,None,LEXICON,[STEM-CV],*abaH,Ai*baH,CV,"[KEV] to slaughter, butcher+to cut someone's throat, kill s.o.+to massacre",pos:verb asp:c vox:a mod:i,n-suff,,trans,0,well-formedness:OK
7,596,None,LEXICON,[STEM-CV],*abaH,*ibH,CV,"[KEV] to slaughter, butcher+to cut someone's throat, kill s.o.+to massacre",pos:verb asp:c vox:a mod:i,v-suff,,trans,0,well-formedness:OK
8,1023,None,LEXICON,[STEM-CV],*abal,Ai*bal,CV,"[KEV] to wilt, wither+to waste away, get run down",pos:verb asp:c vox:a mod:i,n-suff,,trans,0,well-formedness:OK
9,1024,None,LEXICON,[STEM-CV],*abal,*ibl,CV,"[KEV] to wilt, wither+to waste away, get run down",pos:verb asp:c vox:a mod:i,v-suff,,trans,0,well-formedness:OK
10,11,None,LEXICON,[STEM-CV],Hakam,AiHkim,CV,"[KEV] to govern, rule+to sentence s.o.+to pass judgment, express an opinion, judge+to deliver a judgment, rule+to be due, come due, arrive (prayer time)",pos:verb asp:c vox:a mod:i,,,trans,-2,well-formedness:OK
11,12,None,LEXICON,[STEM-CV],zaT~,ziT~,CV,[MEERA] to excessively eat,pos:verb asp:c vox:a mod:i,,,trans,0,well-formedness:OK
12,13,None,LEXICON,[STEM-CV],TA$,Tiy$,CV,"[KEV] to boil over+to be or become furious, very upset",pos:verb asp:c vox:a mod:i,,,intrans,5,well-formedness:OK
13,14,None,LEXICON,[STEM-CV],EA*,Euw*,CV,"[KEV] (used when something evil, shameful, etc. , is mentioned) God forbid!",pos:verb asp:c vox:a mod:i,,,trans,0,well-formedness:OK
14,498,None,LEXICON,[STEM-CV],$abaE,Ai$baE,CV,"[KEV] to eat one's fill, become satiated, full+to be or become fed up or sick and tired+to fill, sate, satisfy+[MEERA] to feel full post a meal",pos:verb asp:c vox:a mod:i,n-suff,,intrans,3,well-formedness:OK
15,499,None,LEXICON,[STEM-CV],$abaE,$ibE,CV,"[KEV] to eat one's fill, become satiated, full+to be or become fed up or sick and tired+to fill, sate, satisfy+[MEERA] to feel full post a meal",pos:verb asp:c vox:a mod:i,v-suff,,intrans,3,well-formedness:OK
16,17,None,LEXICON,[STEM-CV],TAr,Tiyr,CV,"[KEV] to fly off, fly away, take off+to fly up",pos:verb asp:c vox:a mod:i,,,intrans,4,well-formedness:OK
17,18,None,LEXICON,[STEM-CV],jagam,Aijgim,CV,[KEV] to gulp,pos:verb asp:c vox:a mod:i,,,trans,0,well-formedness:OK
18,397,None,LEXICON,[STEM-CV],$abah,Ai$bah,CV,"[KEV] to resemble, look like, be similar to",pos:verb asp:c vox:a mod:i,n-suff,,intrans,1,well-formedness:OK
19,398,None,LEXICON,[STEM-CV],$abah,$ibh,CV,"[KEV] to resemble, look like, be similar to",pos:verb asp:c vox:a mod:i,v-suff,,intrans,1,well-formedness:OK
20,21,None,LEXICON,[STEM-CV],Earak,AiErik,CV,[KEV] to rub,pos:verb asp:c vox:a mod:i,,,trans,0,well-formedness:OK
21,22,None,LEXICON,[STEM-CV],nahaY,Ainh,CV,[KEV] to tell s.o. not to do s.th.,pos:verb asp:c vox:a mod:i,,,trans #-aY,0,well-formedness:OK
22,226,None,LEXICON,[STEM-CV],$adah,Ai$dah,CV,"[KEV] to amaze, surprise, astonish+to distract, confuse",pos:verb asp:c vox:a mod:i,n-suff,,trans,0,well-formedness:OK
23,227,None,LEXICON,[STEM-CV],$adah,$idh,CV,"[KEV] to amaze, surprise, astonish+to distract, confuse",pos:verb asp:c vox:a mod:i,v-suff,,trans,0,well-formedness:OK
24,25,None,LEXICON,[STEM-CV],Hamad,AiHmid,CV,"[KEV] to praise, commend, laud",pos:verb asp:c vox:a mod:i,,,trans,0,well-formedness:OK
25,26,None,LEXICON,[STEM-CV],kad~,kid~,CV,"[KEV] to work hard, labor, toil",pos:verb asp:c vox:a mod:i,,,trans,0,well-formedness:OK
26,53,None,LEXICON,[STEM-CV],$afaE,Ai$faE,CV,"[KEV] to intercede, intervene, plead",pos:verb asp:c vox:a mod:i,n-suff,,intrans,4,well-formedness:OK
27,28,None,LEXICON,[STEM-CV],nataf,Aintif,CV,"[KEV] to pluck, pull out (feathers)",pos:verb asp:c vox:a mod:i,,,trans,0,well-formedness:OK
28,29,None,LEXICON,[STEM-CV],gAr,giyr,CV,"[KEV] to invade, attack, raid",pos:verb asp:c vox:a mod:i,,,trans,0,well-formedness:OK
29,30,None,LEXICON,[STEM-CV],TAb,Tiyb,CV,"[KEV] to be or become pleasant, enjoyable, agreeable+to heal, recover (from an illness)",pos:verb asp:c vox:a mod:i,,,intrans,5,well-formedness:OK
30,54,None,LEXICON,[STEM-CV],$afaE,$ifE,CV,"[KEV] to intercede, intervene, plead",pos:verb asp:c vox:a mod:i,v-suff,,intrans,4,well-formedness:OK
31,32,None,LEXICON,[STEM-CV],xaTaY,AixT,CV,"[KEV] to make a mistake, commit an error",pos:verb asp:c vox:a mod:i,,,trans #-iy,0,well-formedness:OK
32,33,None,LEXICON,[STEM-CV],baT~,biT~,CV,"[KEV] to knock out, gouge out+to pop (a balloon)",pos:verb asp:c vox:a mod:i,,,trans,0,well-formedness:OK
33,34,None,LEXICON,[STEM-CV],da$~,di$~,CV,"[KEV] to enter, go in+to report for duty, go to work+to drop in on s.o.",pos:verb asp:c vox:a mod:i,,,trans,0,well-formedness:OK
34,35,None,LEXICON,[STEM-CV],$AE,$iyE,CV,"[KEV] to spread, become known or widespread",pos:verb asp:c vox:a mod:i,,,intrans,4,well-formedness:OK
35,36,None,LEXICON,[STEM-CV],TAE,TiyE,CV,"[KEV] to obey, be obedient+to heed+[MEERA] to agree",pos:verb asp:c vox:a mod:i,,,intrans,3,well-formedness:OK
36,37,None,LEXICON,[STEM-CV],EAm,Euwm,CV,[KEV] to swim+to float,pos:verb asp:c vox:a mod:i,,,trans,0,well-formedness:OK
37,89,None,LEXICON,[STEM-CV],$agar,Ai$gar,CV,"[KEV] to be vacant, free, unoccupied",pos:verb asp:c vox:a mod:i,n-suff,,intrans,5,well-formedness:OK
38,90,None,LEXICON,[STEM-CV],$agar,$igr,CV,"[KEV] to be vacant, free, unoccupied",pos:verb asp:c vox:a mod:i,v-suff,,intrans,5,well-formedness:OK
39,40,None,LEXICON,[STEM-CV],fAt,fuwt,CV,"[KEV] to go, pass+to pass, go by",pos:verb asp:c vox:a mod:i,,,trans,0,well-formedness:OK
40,41,None,LEXICON,[STEM-CV],lamas,Ailmis,CV,"[KEV] to touch, feel+to feel, sense, have a hunch",pos:verb asp:c vox:a mod:i,,,trans,0,well-formedness:OK
