,LINE,DEFINE,CLASS,LEMMA,FORM,BW,GLOSS,FEAT,COND-T,COND-F,COND-S
0,1,LEXICON,[STEM-IV],tbax$a$,tbax$a$,IV,[KEV] to be tipped+to be bribed,pos:verb asp:i vox:a gen:_ num:_,,,yi#
1,2,LEXICON,[STEM-IV],bax$a$,bax$i$,IV,"[KEV] to tip s.o., give a tip to s.o.+to bribe",pos:verb asp:i vox:a gen:_ num:_,,,y#
2,3,LEXICON,[STEM-IV],maSTar,maSTir,IV,[KEV] to draw lines (on a sheet of paper) with a ruler,pos:verb asp:i vox:a gen:_ num:_,,,y#
3,4,LEXICON,[STEM-IV],EarmaT,EarmiT,IV,"[KEV] to have a ravenous appetite, to eat ravenously",pos:verb asp:i vox:a gen:_ num:_,,,y#
4,5,LEXICON,[STEM-IV],tlagwan,tlagwan,IV,[MEERA] to walk slowly,pos:verb asp:i vox:a gen:_ num:_,,,yi#
5,6,LEXICON,[STEM-IV],jazaY,jz,IV,"[KEV] to reward, give",pos:verb asp:i vox:a gen:_ num:_,,,yi# #-iy
6,7,LEXICON,[STEM-IV],TabaE,TbaE,IV,[KEV] to drown+to sink+to type+to print,pos:verb asp:i vox:a gen:_ num:_,,,yi#
7,8,LEXICON,[STEM-IV],walaE,wlaE,IV,[KEV] to love s.o.,pos:verb asp:i vox:a gen:_ num:_,,,yi#
8,9,LEXICON,[STEM-IV],Hakam,Hkim,IV,"[KEV] to govern, rule+to sentence s.o.+to pass judgment, express an opinion, judge+to deliver a judgment, rule+to be due, come due, arrive (prayer time)",pos:verb asp:i vox:a gen:_ num:_,,,yi#
9,10,LEXICON,[STEM-IV],zaT~,ziT~,IV,[MEERA] to excessively eat,pos:verb asp:i vox:a gen:_ num:_,,,y#
10,11,LEXICON,[STEM-IV],TA$,Tiy$,IV,"[KEV] to boil over+to be or become furious, very upset",pos:verb asp:i vox:a gen:_ num:_,,,y#
11,12,LEXICON,[STEM-IV],EAV,EuwV,IV,"[KEV] (used when something evil, shameful, etc. , is mentioned) God forbid!",pos:verb asp:i vox:a gen:_ num:_,,,y#
12,13,LEXICON,[STEM-IV],qadar,qdar,IV,"[KEV] to be able to, be capable of+to have power over s.o., be master of",pos:verb asp:i vox:a gen:_ num:_,,,yi#
13,14,LEXICON,[STEM-IV],TAr,Tiyr,IV,"[KEV] to fly off, fly away, take off+to fly up",pos:verb asp:i vox:a gen:_ num:_,,,y#
14,15,LEXICON,[STEM-IV],jagam,jgim,IV,[KEV] to gulp,pos:verb asp:i vox:a gen:_ num:_,,,yi#
15,16,LEXICON,[STEM-IV],daEas,dEas,IV,"[KEV] to knock down, run over+to tread underfoot, trample down",pos:verb asp:i vox:a gen:_ num:_,,,yi#
16,17,LEXICON,[STEM-IV],Earak,Erik,IV,[KEV] to rub,pos:verb asp:i vox:a gen:_ num:_,,,yi#
17,18,LEXICON,[STEM-IV],nahaY,nh,IV,[KEV] to tell s.o. not to do s.th.,pos:verb asp:i vox:a gen:_ num:_,,,yi# #-aY
18,19,LEXICON,[STEM-IV],naSaH,nSaH,IV,"[KEV] to advise, counsel s.o.",pos:verb asp:i vox:a gen:_ num:_,,,yi#
19,20,LEXICON,[STEM-IV],Hamad,Hmid,IV,"[KEV] to praise, commend, laud",pos:verb asp:i vox:a gen:_ num:_,,,yi#
20,21,LEXICON,[STEM-IV],kad~,kid~,IV,"[KEV] to work hard, labor, toil",pos:verb asp:i vox:a gen:_ num:_,,,y#
21,22,LEXICON,[STEM-IV],rad~,rid~,IV,[MEERA] to answer and/or reply,pos:verb asp:i vox:a gen:_ num:_,,,y#
22,23,LEXICON,[STEM-IV],nataf,ntif,IV,"[KEV] to pluck, pull out (feathers)",pos:verb asp:i vox:a gen:_ num:_,,,yi#
23,24,LEXICON,[STEM-IV],gAr,giyr,IV,"[KEV] to invade, attack, raid",pos:verb asp:i vox:a gen:_ num:_,,,y#
24,25,LEXICON,[STEM-IV],TAb,Tiyb,IV,"[KEV] to be or become pleasant, enjoyable, agreeable+to heal, recover (from an illness)",pos:verb asp:i vox:a gen:_ num:_,,,y#
25,26,LEXICON,[STEM-IV],Dam~,Dim~,IV,[MEERA] to hold on to sth and/or someone,pos:verb asp:i vox:a gen:_ num:_,,,y#
26,27,LEXICON,[STEM-IV],xaTaY,xT,IV,"[KEV] to make a mistake, commit an error",pos:verb asp:i vox:a gen:_ num:_,,,yi# #-iy
27,28,LEXICON,[STEM-IV],baT~,biT~,IV,"[KEV] to knock out, gouge out+to pop (a balloon)",pos:verb asp:i vox:a gen:_ num:_,,,y#
28,29,LEXICON,[STEM-IV],da$~,di$~,IV,"[KEV] to enter, go in+to report for duty, go to work+to drop in on s.o.",pos:verb asp:i vox:a gen:_ num:_,,,y#
29,30,LEXICON,[STEM-IV],$AE,$iyE,IV,"[KEV] to spread, become known or widespread",pos:verb asp:i vox:a gen:_ num:_,,,y#
30,31,LEXICON,[STEM-IV],TAE,TiyE,IV,"[KEV] to obey, be obedient+to heed+[MEERA] to agree",pos:verb asp:i vox:a gen:_ num:_,,,y#
31,32,LEXICON,[STEM-IV],EAm,Euwm,IV,[KEV] to swim+to float,pos:verb asp:i vox:a gen:_ num:_,,,y#
32,33,LEXICON,[STEM-IV],qabal,qbal,IV,[KEV] to accept+to agree to s.th.+to admit,pos:verb asp:i vox:a gen:_ num:_,,,yi#
33,34,LEXICON,[STEM-IV],fAt,fuwt,IV,"[KEV] to go, pass+to pass, go by",pos:verb asp:i vox:a gen:_ num:_,,,y#
34,35,LEXICON,[STEM-IV],lamas,lmis,IV,"[KEV] to touch, feel+to feel, sense, have a hunch",pos:verb asp:i vox:a gen:_ num:_,,,yi#
35,36,LEXICON,[STEM-IV],zAE,zuwE,IV,"[KEV] to vomit, throw up",pos:verb asp:i vox:a gen:_ num:_,,,y#
36,37,LEXICON,[STEM-IV],raDaY,rD,IV,"[KEV] to be satisfied, be content+to agree, accept+to be pleased",pos:verb asp:i vox:a gen:_ num:_,,,yi# #-aY
37,38,LEXICON,[STEM-IV],EaSaY,ES,IV,"[KEV] to disobey, resist, oppose",pos:verb asp:i vox:a gen:_ num:_,,,yi# #-iy
38,39,LEXICON,[STEM-IV],jaraH,jraH,IV,"[KEV] to wound, cut",pos:verb asp:i vox:a gen:_ num:_,,,yi#
39,40,LEXICON,[STEM-IV],bAt,bAt,IV,"[KEV] to stay overnight, spend the night+to sit overnight+[MEERA] to sleep over",pos:verb asp:i vox:a gen:_ num:_,,,y#
40,41,LEXICON,[STEM-IV],rAz,riyz,IV,[KEV] to estimate the weight of s.th.,pos:verb asp:i vox:a gen:_ num:_,,,y#
41,42,LEXICON,[STEM-IV],xajal,xjal,IV,"[KEV] to be or become embarrassed+to be ashamed, feel shame+to be or become shy+to be or become embarrassed+to be ashamed, feel shame+to be or become shy",pos:verb asp:i vox:a gen:_ num:_,,,yi#
42,43,LEXICON,[STEM-IV],san~,sin~,IV,"[KEV] to sharpen, whet+to enact, introduce, pass",pos:verb asp:i vox:a gen:_ num:_,,,y#
43,44,LEXICON,[STEM-IV],najar,njir,IV,"[KEV] to carve+[KEV] to chop, hew (wood)",pos:verb asp:i vox:a gen:_ num:_,,,yi#
44,45,LEXICON,[STEM-IV],$afaE,$faE,IV,"[KEV] to intercede, intervene, plead",pos:verb asp:i vox:a gen:_ num:_,,,yi#
45,46,LEXICON,[STEM-IV],Hak~,Hik~,IV,[KEV] to scratch+to scrath s.th. against s.th. else+to itch+[MEERA] to scratch,pos:verb asp:i vox:a gen:_ num:_,,,y#
46,47,LEXICON,[STEM-IV],xalaT,xliT,IV,"[KEV] to mix, blend, mingle+to be or become confused, mixed up",pos:verb asp:i vox:a gen:_ num:_,,,yi#
47,48,LEXICON,[STEM-IV],bAr,buwr,IV,"[KEV] to be unsaleable, be dead stock+to be unable to get a husband",pos:verb asp:i vox:a gen:_ num:_,,,y#
48,49,LEXICON,[STEM-IV],jaraY,jr,IV,"[KEV] to dare, venture, have the courage+[KEV] to have the courage to do s.th.",pos:verb asp:i vox:a gen:_ num:_,,,yi# #-iy
49,50,LEXICON,[STEM-IV],gafA,gf,IV,"[KEV] to doze off, fall asleep",pos:verb asp:i vox:a gen:_ num:_,,,yi# #-iy
50,51,LEXICON,[STEM-IV],haj~,hij~,IV,"[KEV] to run away, escape",pos:verb asp:i vox:a gen:_ num:_,,,y#
51,52,LEXICON,[STEM-IV],falax,flax,IV,[KEV] to run away,pos:verb asp:i vox:a gen:_ num:_,,,yi#
52,53,LEXICON,[STEM-IV],xAf,xAf,IV,"[KEV] to be scared, afraid, worried, concerned. (prov.)+[MEERA] to fear",pos:verb asp:i vox:a gen:_ num:_,,,y#
53,54,LEXICON,[STEM-IV],fataH,ftaH,IV,"[KEV] to open+to start, open+to turn on+to conquer, capture (a city)",pos:verb asp:i vox:a gen:_ num:_,,,yi#
54,55,LEXICON,[STEM-IV],rabaE,rbaE,IV,[MEERA] to run,pos:verb asp:i vox:a gen:_ num:_,,,yi#
55,56,LEXICON,[STEM-IV],naqaE,nqaE,IV,"[KEV] to soak+to become thoroughly soaked+[MEERA] to explode, also used to describe a person who 'blows off' when angry",pos:verb asp:i vox:a gen:_ num:_,,,yi#
56,57,LEXICON,[STEM-IV],zahaq,zhaq,IV,[MEERA] to feel bored,pos:verb asp:i vox:a gen:_ num:_,,,yi#
57,58,LEXICON,[STEM-IV],Eataq,Etiq,IV,[KEV] to get or grow old,pos:verb asp:i vox:a gen:_ num:_,,,yi#
58,59,LEXICON,[STEM-IV],hAn,huwn,IV,"[KEV] to be or become easy, simple+to be or become easy for s.o.",pos:verb asp:i vox:a gen:_ num:_,,,y#
59,60,LEXICON,[STEM-IV],Habas,Hbis,IV,"[KEV] to jail, imprison+to block, confine+to send (e.g. school kids) to detention, keep s.o. (after school) as punishment",pos:verb asp:i vox:a gen:_ num:_,,,yi#
60,61,LEXICON,[STEM-IV],$am~,$im~,IV,"[KEV] to smell, sniff",pos:verb asp:i vox:a gen:_ num:_,,,y#
61,62,LEXICON,[STEM-IV],gazal,gzil,IV,[KEV] to spin,pos:verb asp:i vox:a gen:_ num:_,,,yi#
62,63,LEXICON,[STEM-IV],HaSal,HSal,IV,"[KEV] to happen, take place, occur+to obtain, get, receive+to be found, be available, obtainable",pos:verb asp:i vox:a gen:_ num:_,,,yi#
63,64,LEXICON,[STEM-IV],naSar,nSir,IV,"[KEV] to make victorious, grant victory to",pos:verb asp:i vox:a gen:_ num:_,,,yi#
64,65,LEXICON,[STEM-IV],Ead~,Eid~,IV,"[KEV] to count, number+to consider, think",pos:verb asp:i vox:a gen:_ num:_,,,y#
65,66,LEXICON,[STEM-IV],maS~,muS~,IV,"[KEV] to suck, suck up, suck in, absorb+to sip",pos:verb asp:i vox:a gen:_ num:_,,,y#
66,67,LEXICON,[STEM-IV],daq~,duq~,IV,"[KEV] to ring+to beat (e.g., the drums)",pos:verb asp:i vox:a gen:_ num:_,,,y#
67,68,LEXICON,[STEM-IV],zalaq,zliq,IV,"[KEV] to slip, slide+to make a mistake, make a slip",pos:verb asp:i vox:a gen:_ num:_,,,yi#
68,69,LEXICON,[STEM-IV],rAg,ruwg,IV,"[KEV] to dismiss, drive out, expel, evict",pos:verb asp:i vox:a gen:_ num:_,,,y#
69,70,LEXICON,[STEM-IV],salak,slik,IV,"[KEV] to behave oneself+be on good terms, get along with",pos:verb asp:i vox:a gen:_ num:_,,,yi#
70,71,LEXICON,[STEM-IV],rakab,rkab,IV,"[KEV] to ride on s.th+[KEV] to ride (an animal)+to ride in, ride on, travel in, on or on board+to mate with, breed with, mount+to get in, get on, climb aboard+to dominate, bully, intimidate+to ride on s.th+[MEERA] to ride (a car, horse...etc)",pos:verb asp:i vox:a gen:_ num:_,,,yi#
71,72,LEXICON,[STEM-IV],rafaD,rfiD,IV,"[KEV] to refuse to accept, reject, turn down",pos:verb asp:i vox:a gen:_ num:_,,,yi#
72,73,LEXICON,[STEM-IV],$agar,$gar,IV,"[KEV] to be vacant, free, unoccupied",pos:verb asp:i vox:a gen:_ num:_,,,yi#
73,74,LEXICON,[STEM-IV],laH~,liH~,IV,"[KEV] to persist+to keep after, pester, harass",pos:verb asp:i vox:a gen:_ num:_,,,y#
74,75,LEXICON,[STEM-IV],Eaq~,Eiq~,IV,[MEERA] to throw sth,pos:verb asp:i vox:a gen:_ num:_,,,y#
75,76,LEXICON,[STEM-IV],nadaf,ndaf,IV,"[KEV] to fluff or tease, comb (cotton)",pos:verb asp:i vox:a gen:_ num:_,,,yi#
76,77,LEXICON,[STEM-IV],rakaE,rkaE,IV,"[KEV] to kneel down, drop to one's knees (in prayer)",pos:verb asp:i vox:a gen:_ num:_,,,yi#
77,78,LEXICON,[STEM-IV],laTam,lTim,IV,[KEV] to strike the face with the hands in grief or despair,pos:verb asp:i vox:a gen:_ num:_,,,yi#
78,79,LEXICON,[STEM-IV],>am~,}im~,IV,[KEV] to lead people in prayer,pos:verb asp:i vox:a gen:_ num:_,,,y#
79,80,LEXICON,[STEM-IV],lawaY,lw,IV,"[KEV] to bend+to twist, wrench",pos:verb asp:i vox:a gen:_ num:_,,,yi# #-iy
80,81,LEXICON,[STEM-IV],SaraE,SriE,IV,"[KEV] to throw down, fell s.o.",pos:verb asp:i vox:a gen:_ num:_,,,yi#
81,82,LEXICON,[STEM-IV],rahan,rhin,IV,"[KEV] to pawn, deposit as security+to mortgage",pos:verb asp:i vox:a gen:_ num:_,,,yi#
82,83,LEXICON,[STEM-IV],zaEal,zEal,IV,[KEV] to be a little angry or mad+[MEERA] to get upset,pos:verb asp:i vox:a gen:_ num:_,,,yi#
83,84,LEXICON,[STEM-IV],bAl,buwl,IV,[KEV] to urinate,pos:verb asp:i vox:a gen:_ num:_,,,y#
84,85,LEXICON,[STEM-IV],dahan,dhin,IV,"[KEV] to oil, grease+to rub, massage",pos:verb asp:i vox:a gen:_ num:_,,,yi#
85,86,LEXICON,[STEM-IV],laqaT,lqiT,IV,"[KEV] to pick up, pick out",pos:verb asp:i vox:a gen:_ num:_,,,yi#
86,87,LEXICON,[STEM-IV],HabaY,Hb,IV,"[KEV] to crawl, creep",pos:verb asp:i vox:a gen:_ num:_,,,yi# #-iy
87,88,LEXICON,[STEM-IV],Zalam,Zlim,IV,"[KEV] to oppress, be tyrannical to, do wrong+to treat unjustly, do wrong to s.o.",pos:verb asp:i vox:a gen:_ num:_,,,yi#
88,89,LEXICON,[STEM-IV],dawaY,dw,IV,"[KEV] to boom, resound, ring out+to drone",pos:verb asp:i vox:a gen:_ num:_,,,ya#  #-iy
89,90,LEXICON,[STEM-IV],TaHan,THan,IV,"[KEV] to mill, grind",pos:verb asp:i vox:a gen:_ num:_,,,yi#
90,91,LEXICON,[STEM-IV],sanad,snid,IV,"[KEV] to support, provide support for, prop up",pos:verb asp:i vox:a gen:_ num:_,,,yi#
91,92,LEXICON,[STEM-IV],HaVaf,HVif,IV,"[KEV] to throw, throw away, cast, hurl+to delete, omit, drop, take, take away",pos:verb asp:i vox:a gen:_ num:_,,,yi#
92,93,LEXICON,[STEM-IV],ra>af,r>af,IV,"[KEV] to show mercy, be kind, merciful",pos:verb asp:i vox:a gen:_ num:_,,,yi#
93,94,LEXICON,[STEM-IV],EAn,Eiyn,IV,[MEERA] to help,pos:verb asp:i vox:a gen:_ num:_,,,y#
94,95,LEXICON,[STEM-IV],samaH,smaH,IV,"[KEV] to permit, allow, grant permission",pos:verb asp:i vox:a gen:_ num:_,,,yi#
95,96,LEXICON,[STEM-IV],xaraj,xrij,IV,"[KEV] to go out, walk out+to come out, emerge from+to drive or ride out, go out (in a vehicle)+to disagree with, disobey",pos:verb asp:i vox:a gen:_ num:_,,,yi#
96,97,LEXICON,[STEM-IV],Eaqad,Eqid,IV,"[KEV] to hold (a meeting, a session, etc.)+to conclude, effect a transaction+to sign a marriage contract with+to knot, tie",pos:verb asp:i vox:a gen:_ num:_,,,yi#
97,98,LEXICON,[STEM-IV],jA,j,IV,"[KEV] to come, come to+to come in order to do s.th.+to befall, descend upon+to come to, come one's way+to fit, be big enough",pos:verb asp:i vox:a gen:_ num:_,,,yi# #-iy
98,99,LEXICON,[STEM-IV],maSaE,mSaE,IV,[MEERA] to take sth off harshly,pos:verb asp:i vox:a gen:_ num:_,,,yi#
99,100,LEXICON,[STEM-IV],$alaE,$laE,IV,"[KEV] to extract, remove, pull out",pos:verb asp:i vox:a gen:_ num:_,,,yi#
