,LINE,DEFINE,CLASS,LEMMA,FORM,BW,GLOSS,FEAT,COND-T,COND-F,COND-S
0,1,LEXICON,[STEM-PV],tbax$a$,tbax$a$,PV,[KEV] to be tipped+to be bribed,pos:verb asp:p vox:a gen:_ num:_,,,
1,2,LEXICON,[STEM-PV],bax$a$,bax$a$,PV,"[KEV] to tip s.o., give a tip to s.o.+to bribe",pos:verb asp:p vox:a gen:_ num:_,,,
2,3,LEXICON,[STEM-PV],maSTar,maSTar,PV,[KEV] to draw lines (on a sheet of paper) with a ruler,pos:verb asp:p vox:a gen:_ num:_,,,
3,4,LEXICON,[STEM-PV],EarmaT,EarmaT,PV,"[KEV] to have a ravenous appetite, to eat ravenously",pos:verb asp:p vox:a gen:_ num:_,,,
4,5,LEXICON,[STEM-PV],tlagwan,tlagwan,PV,[MEERA] to walk slowly,pos:verb asp:p vox:a gen:_ num:_,,,
5,6,LEXICON,[STEM-PV],jazaY,jaz,PV,"[KEV] to reward, give",pos:verb asp:p vox:a gen:_ num:_,,,#-ay
6,7,LEXICON,[STEM-PV],TabaE,Taba#E,PV,[KEV] to drown+to sink+to type+to print,pos:verb asp:p vox:a gen:_ num:_,,,
7,8,LEXICON,[STEM-PV],walaE,wala#E,PV,[KEV] to love s.o.,pos:verb asp:p vox:a gen:_ num:_,,,
8,9,LEXICON,[STEM-PV],Hakam,Hakam,PV,"[KEV] to govern, rule+to sentence s.o.+to pass judgment, express an opinion, judge+to deliver a judgment, rule+to be due, come due, arrive (prayer time)",pos:verb asp:p vox:a gen:_ num:_,,,
9,10,LEXICON,[STEM-PV],zaT~,zaT~,PV,[MEERA] to excessively eat,pos:verb asp:p vox:a gen:_ num:_,,,gem
10,11,LEXICON,[STEM-PV],TA$,Ti$,PV,"[KEV] to boil over+to be or become furious, very upset",pos:verb asp:p vox:a gen:_ num:_,c-suff,,hollow
11,12,LEXICON,[STEM-PV],TA$,TA$,PV,"[KEV] to boil over+to be or become furious, very upset",pos:verb asp:p vox:a gen:_ num:_,n-suff||v-suff,,hollow
12,13,LEXICON,[STEM-PV],EAV,EiV,PV,"[KEV] (used when something evil, shameful, etc. , is mentioned) God forbid!",pos:verb asp:p vox:a gen:_ num:_,c-suff,,
13,14,LEXICON,[STEM-PV],EAV,EAV,PV,"[KEV] (used when something evil, shameful, etc. , is mentioned) God forbid!",pos:verb asp:p vox:a gen:_ num:_,n-suff||v-suff,,
14,15,LEXICON,[STEM-PV],qadar,qada#r,PV,"[KEV] to be able to, be capable of+to have power over s.o., be master of",pos:verb asp:p vox:a gen:_ num:_,,,
15,16,LEXICON,[STEM-PV],TAr,Tir,PV,"[KEV] to fly off, fly away, take off+to fly up",pos:verb asp:p vox:a gen:_ num:_,c-suff,,hollow
16,17,LEXICON,[STEM-PV],TAr,TAr,PV,"[KEV] to fly off, fly away, take off+to fly up",pos:verb asp:p vox:a gen:_ num:_,n-suff||v-suff,,hollow
17,18,LEXICON,[STEM-PV],jagam,jagam,PV,[KEV] to gulp,pos:verb asp:p vox:a gen:_ num:_,,,
18,19,LEXICON,[STEM-PV],daEas,daEa#s,PV,"[KEV] to knock down, run over+to tread underfoot, trample down",pos:verb asp:p vox:a gen:_ num:_,,,
19,20,LEXICON,[STEM-PV],Earak,Earak,PV,[KEV] to rub,pos:verb asp:p vox:a gen:_ num:_,,,
20,21,LEXICON,[STEM-PV],nahaY,nah,PV,[KEV] to tell s.o. not to do s.th.,pos:verb asp:p vox:a gen:_ num:_,,,#-ay
21,22,LEXICON,[STEM-PV],naSaH,naSa#H,PV,"[KEV] to advise, counsel s.o.",pos:verb asp:p vox:a gen:_ num:_,,,
22,23,LEXICON,[STEM-PV],Hamad,Hamad,PV,"[KEV] to praise, commend, laud",pos:verb asp:p vox:a gen:_ num:_,,,
23,24,LEXICON,[STEM-PV],kad~,kad~,PV,"[KEV] to work hard, labor, toil",pos:verb asp:p vox:a gen:_ num:_,,,gem
24,25,LEXICON,[STEM-PV],rad~,rad~,PV,[MEERA] to answer and/or reply,pos:verb asp:p vox:a gen:_ num:_,,,gem
25,26,LEXICON,[STEM-PV],nataf,nataf,PV,"[KEV] to pluck, pull out (feathers)",pos:verb asp:p vox:a gen:_ num:_,,,
26,27,LEXICON,[STEM-PV],gAr,gir,PV,"[KEV] to invade, attack, raid",pos:verb asp:p vox:a gen:_ num:_,c-suff,,hollow
27,28,LEXICON,[STEM-PV],gAr,gAr,PV,"[KEV] to invade, attack, raid",pos:verb asp:p vox:a gen:_ num:_,n-suff||v-suff,,hollow
28,29,LEXICON,[STEM-PV],TAb,Tib,PV,"[KEV] to be or become pleasant, enjoyable, agreeable+to heal, recover (from an illness)",pos:verb asp:p vox:a gen:_ num:_,c-suff,,hollow
29,30,LEXICON,[STEM-PV],TAb,TAb,PV,"[KEV] to be or become pleasant, enjoyable, agreeable+to heal, recover (from an illness)",pos:verb asp:p vox:a gen:_ num:_,n-suff||v-suff,,hollow
30,31,LEXICON,[STEM-PV],Dam~,Dam~,PV,[MEERA] to hold on to sth and/or someone,pos:verb asp:p vox:a gen:_ num:_,,,gem
31,32,LEXICON,[STEM-PV],xaTaY,xaT,PV,"[KEV] to make a mistake, commit an error",pos:verb asp:p vox:a gen:_ num:_,,,#-ay
32,33,LEXICON,[STEM-PV],baT~,baT~,PV,"[KEV] to knock out, gouge out+to pop (a balloon)",pos:verb asp:p vox:a gen:_ num:_,,,gem
33,34,LEXICON,[STEM-PV],da$~,da$~,PV,"[KEV] to enter, go in+to report for duty, go to work+to drop in on s.o.",pos:verb asp:p vox:a gen:_ num:_,,,gem
34,35,LEXICON,[STEM-PV],$AE,$iE,PV,"[KEV] to spread, become known or widespread",pos:verb asp:p vox:a gen:_ num:_,c-suff,,hollow
35,36,LEXICON,[STEM-PV],$AE,$AE,PV,"[KEV] to spread, become known or widespread",pos:verb asp:p vox:a gen:_ num:_,n-suff||v-suff,,hollow
36,37,LEXICON,[STEM-PV],TAE,TiE,PV,"[KEV] to obey, be obedient+to heed+[MEERA] to agree",pos:verb asp:p vox:a gen:_ num:_,c-suff,,hollow
37,38,LEXICON,[STEM-PV],TAE,TAE,PV,"[KEV] to obey, be obedient+to heed+[MEERA] to agree",pos:verb asp:p vox:a gen:_ num:_,n-suff||v-suff,,hollow
38,39,LEXICON,[STEM-PV],EAm,Eim,PV,[KEV] to swim+to float,pos:verb asp:p vox:a gen:_ num:_,c-suff,,
39,40,LEXICON,[STEM-PV],EAm,EAm,PV,[KEV] to swim+to float,pos:verb asp:p vox:a gen:_ num:_,n-suff||v-suff,,
40,41,LEXICON,[STEM-PV],qabal,qaba#l,PV,[KEV] to accept+to agree to s.th.+to admit,pos:verb asp:p vox:a gen:_ num:_,,,
41,42,LEXICON,[STEM-PV],fAt,fit,PV,"[KEV] to go, pass+to pass, go by",pos:verb asp:p vox:a gen:_ num:_,c-suff,,
42,43,LEXICON,[STEM-PV],fAt,fAt,PV,"[KEV] to go, pass+to pass, go by",pos:verb asp:p vox:a gen:_ num:_,n-suff||v-suff,,
43,44,LEXICON,[STEM-PV],lamas,lamas,PV,"[KEV] to touch, feel+to feel, sense, have a hunch",pos:verb asp:p vox:a gen:_ num:_,,,
44,45,LEXICON,[STEM-PV],zAE,ziE,PV,"[KEV] to vomit, throw up",pos:verb asp:p vox:a gen:_ num:_,c-suff,,
45,46,LEXICON,[STEM-PV],zAE,zAE,PV,"[KEV] to vomit, throw up",pos:verb asp:p vox:a gen:_ num:_,n-suff||v-suff,,
46,47,LEXICON,[STEM-PV],raDaY,raD,PV,"[KEV] to be satisfied, be content+to agree, accept+to be pleased",pos:verb asp:p vox:a gen:_ num:_,,,#-ay
47,48,LEXICON,[STEM-PV],EaSaY,EaS,PV,"[KEV] to disobey, resist, oppose",pos:verb asp:p vox:a gen:_ num:_,,,#-ay
48,49,LEXICON,[STEM-PV],jaraH,jara#H,PV,"[KEV] to wound, cut",pos:verb asp:p vox:a gen:_ num:_,,,
