,LINE,DEFINE,CLASS,FUNC,FORM,BW,VARIANT,GLOSS,FEAT,COND-T,COND-S,D3,EXAMPLE,STATUS,COND-F
0,0.0,#,"This file combines PV, IV and CV Morph info for EGY",,,,,,,,,,,,
1,1.01,CONDITIONS,[STEM-X],#-A' #-a> #-aA #-ay #-aY #-ih #-iy #-iy' #-uw #-uw' #n #t,,,,,,,,,,,
2,1.02,CONDITIONS,[X-ROOT],hollow defective gem hamzated,,,,,,,,,,,
3,1.03,CONDITIONS,[X-TRANS],intrans trans ditrans,,,,,,,,,,,
4,1.04,CONDITIONS,[X-STEM],>-# >-a# >-o#,,,,,,,,,,,
5,1.05,CONDITIONS,[PREF-X],y# yA# ya# yi#,,,,,,,,,,,
6,1.06,CONDITIONS,[X-PREF],h-pref,,,,,,,,,,,
7,1.07,CONDITIONS,[X-SUFF.PHONE],c-suff v-suff n-suff,,,,,,,,,,,
8,1.08,CONDITIONS,[X-SUFF.LETTER],A-suff w-suff y-suff z-suff,,,,,,,,,,,
9,1.09,CONDITIONS,[X-SUFF.PHONE.V],u-suff a-suff i-suff,,,,,,,,,,,
10,1.1,CONDITIONS,[PRON:X],enc0:1* enc0:2*,,,,,,,,,,,
11,1.11,CONDITIONS,[PRON:*],enc0,,,,,,,,,,,
12,1.12,CONDITIONS,[PRON2:X],enc1:1* enc1:2*,,,,,,,,,,,
13,1.13,CONDITIONS,[PRON2:*],enc1,,,,,,,,,,,
14,,,,,,,,,,,,,,,
15,,,,,,,,,,,,,,,
16,1.0,,,,,,,,,,,,,,
17,1.1,MORPH,[QUES],_,_,_,GLF,_,prc3:0,_,_,_,,DONE,
18,1.12,,,,,,,,,,,,,,
19,1.2,MORPH,[CONJ],_,_,_,GLF,_,prc2:0,_,_,_,,DONE,
20,1.21,#MORPH,[CONJ],fa/CONJ,fa,fa/CONJ,GLF,so/and,prc2:fa_conj,_,,fa+_,,DONE,
21,1.22,#MORPH,[CONJ],fa/PART_CONNECT,fa,fa/CONNEC_PART,GLF,so/then,prc2:fa_conn,_,_,fa+_,,DONE,
22,1.23,#MORPH,[CONJ],fa/PART_RC,fa,fa/RC_PART,GLF,so/then,prc2:fa_rc,_,_,fa+_,,DONE,
23,1.24,#MORPH,[CONJ],fa/CONJ_SUB,fa,fa/SUB_CONJ,GLF,because/therefore/as_a_result,prc2:fa_sub,_,_,fa+_,,DONE,
24,1.25,MORPH,[CONJ],wi/CONJ,wi,wi/CONJ,GLF,and,prc2:wi_conj,_,_,wi+_,,DONE,
25,1.28,,,,,,,,,,,,,,
26,1.3,MORPH,[VPART],_,_,_,GLF,_,prc1:0,,_,_,,DONE,
27,1.32,MORPH,[VPART],b/PART_FUT,b,b/FUT_PART,GLF,will,prc1:b_fut,_,_,b+_,,DONE,
28,,,,,,,,,,,,,,,
29,2.0,#,Perfect Verb Stem Buffers,,,,,,,,,,,,
30,2.001,MORPH,[PVBuff],Buffer#-a>,a>,a>/STEM,GLF,,,#-a>,,a>,اتجرأ,DONE,
31,2.0012,MORPH,[PVBuff],Buffer#-a>,a&,a&/STEM,GLF,,,#-a> w-suff,,a&,اتجرؤوا,DONE,
32,2.0012,MORPH,[PVBuff],Buffer#-a>,a},a}/STEM,GLF,,,#-a> i-suff,,a&,اتجرئِت,DONE,
33,2.0025,MORPH,[PVBuff],Buffer@gem,ay,ay/STEM,GLF,,,gem c-suff,,',حبيت,DONE,
34,2.0026,MORPH,[PVBuff],Buffer@gem,_,_,GLF,,,gem else,,&,حب، حبوا,DONE,
35,2.0016,MORPH,[PVBuff],Buffer#-ay,aY,aY/STEM,GLF,,,#-ay z-suff else,,aY,رمى,DONE,
36,2.0017,MORPH,[PVBuff],Buffer#-ay,aA,aA/STEM,GLF,,,#-ay z-suff enc0,,aY,رماه,DONE,
37,2.0018,MORPH,[PVBuff],Buffer#-ay,ay,ay/STEM,GLF,,,#-ay c-suff||A-suff,,ay,رميتي، رميت,DONE,
38,2.0019,MORPH,[PVBuff],Buffer#-ay,_,_,GLF,,,#-ay else,,_,رموا,DONE,
39,2.002,MORPH,[PVBuff],Buffer#-aA,aA,aA/STEM,GLF,,,#-aA z-suff,,aA,ابتدا,DONE,
40,2.0021,MORPH,[PVBuff],Buffer#-aA,ay,ay/STEM,GLF,,,#-aA c-suff,,ay,ابتديت,DONE,
41,2.0022,MORPH,[PVBuff],Buffer#-aA,_,_,GLF,,,#-aA else,,_,ابتدوا,DONE,
42,2.0023,MORPH,[PVBuff],Buffer#-iy,iy,iy/STEM,GLF,,,#-iy n-suff,,iy,نسي,DONE,
43,2.0023,MORPH,[PVBuff],Buffer#-iy,iy,iy/STEM,GLF,,,#-iy c-suff,,iy,نسيت,DONE,
44,2.0024,MORPH,[PVBuff],Buffer#-iy,y,y/STEM,GLF,,,#-iy v-suff,,y,نسيوا نسيِت,Reham,
45,2.0025,MORPH,[PVBuff],Buffer#A',A',A'/STEM,??,,,#-A',,A',أضاء,Reham,
46,2.0026,MORPH,[PVBuff],Buffer#-ih,,,??,,,#-ih,,,only jih,Reham,
47,2.0027,MORPH,[PVBuff],Buffer,_,_,GLF,,,else,,_,كتب,DONE,
48,2.1,#,Perfect Verb Suffixes,,,,,,,,,,,,
49,2.131,MORPH,[PVSuff],PVSuff.1S,t,t/PVSUFF_SUBJ:1S,GLF,I,asp:p per:1 gen:u num:s,else,c-suff,t,كتبت,DONE,
50,2.1311,MORPH,[PVSuff],PVSuff.1S,~,~/PVSUFF_SUBJ:1S,GLF,I,asp:p per:1 gen:u num:s,#t,c-suff,~,سكت,DONE,
51,2.133,MORPH,[PVSuff],PVSuff.1P,nA,nA/PVSUFF_SUBJ:1P,GLF,we,asp:p per:1 gen:u num:p,else !enc0:1* ,c-suff,nA,كتبنا,DONE,
52,2.1331,MORPH,[PVSuff],PVSuff.1P,~A,~A/PVSUFF_SUBJ:1P,GLF,we,asp:p per:1 gen:u num:p,#n !enc0:1* ,c-suff,~A,سكنا,DONE,
53,2.211,MORPH,[PVSuff],PVSuff.2MS,t,t/PVSUFF_SUBJ:2MS,GLF,you_[masc.sg.],asp:p per:2 gen:m num:s,else !enc0:2* ,c-suff,t,كتبت,DONE,
54,2.2111,MORPH,[PVSuff],PVSuff.2MS,~,~/PVSUFF_SUBJ:2MS,GLF,you_[masc.sg.],asp:p per:2 gen:m num:s,#t !enc0:2*,c-suff,~,سكت,DONE,
55,2.213,MORPH,[PVSuff],PVSuff.2P,tuwA,tuwA/PVSUFF_SUBJ:2P,GLF,you_[pl.],asp:p per:2 gen:u num:p,else !enc0:2* else,c-suff,tuwA,كتبتوا,DONE,
56,2.2131,MORPH,[PVSuff],PVSuff.2P,tuw ,tuw/PVSUFF_SUBJ:2P,GLF,you_[pl.],asp:p per:2 gen:u num:p,else !enc0:2* enc0,c-suff,tuwA,كتبتوها،,DONE,
57,2.2132,MORPH,[PVSuff],PVSuff.2P,~uwA,~uwA/PVSUFF_SUBJ:2P,GLF,you_[pl.],asp:p per:2 gen:u num:p,#t !enc0:2* else,c-suff,~uwA,سكتوا,DONE,
58,2.2133,MORPH,[PVSuff],PVSuff.2P,~uw,~uw/PVSUFF_SUBJ:2P,GLF,you_[pl.],asp:p per:2 gen:u num:p,#t !enc0:2* enc0,c-suff,~uwA,سكتوها,DONE,
59,2.221,MORPH,[PVSuff],PVSuff.2FP,tin,tin/PVSUFF_SUBJ:2FP,GLF,you_[fem.pl.],asp:p per:2 gen:f num:p,else !enc0:2* ,c-suff,tin,كتبتن,DONE,
60,2.221,MORPH,[PVSuff],PVSuff.2FS,tiy,ti/PVSUFF_SUBJ:2FS,GLF,you_[fem.sg.],asp:p per:2 gen:f num:s,else !enc0:2* ,c-suff,tiy,كتبتي,DONE,
61,2.2211,MORPH,[PVSuff],PVSuff.2FS,~iy,~i/PVSUFF_SUBJ:2FS,GLF,you_[fem.sg.],asp:p per:2 gen:f num:s,#t !enc0:2*,c-suff,~iy,سكتي,DONE,
62,2.3111,MORPH,[PVSuff],PVSuff.3MS,_,(null)/PVSUFF_SUBJ:3MS,GLF,he_[masc.sg.],asp:p per:3 gen:m num:s,,n-suff z-suff,_,رمى، كتب,DONE,
63,2.321,MORPH,[PVSuff],PVSuff.3FS,at,at/PVSUFF_SUBJ:3FS,GLF,she_[fem.sg.],asp:p per:3 gen:f num:s,,v-suff i-suff,at,كتبت,DONE,
