,Abstract,,Pattern,COND-ST,Frequency,Lemma,Example (Form),Gloss,REGEX-match,REGEX-sub,COND-map,Test,Color,Comments,STATUS
0,{i1o2a3~,{i1o2a3~,{i1o2a3~,v-suff + a-# gem,14,{i$oqar~_1,$oqar~,be_of_fair_complexion;be_blond,(.).(.).(.)~,$1o$2a$3~,v-suff + u-# gem,$oqar~,0,,DONE
1,{i1o2a3~,{i1o2a3~,{i1o2a3~,c-suff + a-# gem,14,{i$oqar~_1,$oqarir,be_of_fair_complexion;be_blond,(.).(.).(.).(.),$1o$2a$3a$4,c-suff + u-# gem,$oqarar,0,,DONE
2,{i1o2a3~,{i1owa3~,{i1owa3~,v-suff + a-# gem,4,{iEowaj~_1,Eowaj~,be_crooked;be_bent,(.).(.).(.)~,$1o$2a$3~,v-suff + u-# gem,Eowaj~,1,,DONE
3,{i1o2a3~,{i1owa3~,{i1owa3~,c-suff + a-# gem,4,{iEowaj~_1,Eowajij,be_crooked;be_bent,(.).(.).(.).(.),$1o$2a$3a$4,c-suff + u-# gem,Eowajaj,1,,DONE
4,{i1o2a3~,{i1oya3~,{i1oya3~,v-suff + a-# gem,1,{iboyaD~_1,boyaD~,become_white,(.).(.).(.)~,$1o$2a$3~,v-suff + u-# gem,boyaD~,0,,DONE
5,{i1o2a3~,{i1oya3~,{i1oya3~,c-suff + a-# gem,1,{iboyaD~_1,boyaDaD,become_white,(.).(.).(.).(.),$1o$2a$3a$4,c-suff + u-# gem,boyaDaD,0,,DONE
6,{i1o2a3a4~,{i1o2a3a4~,{i1o2a3a4~,v-suff + a-# gem,6,{i$omaxar~_1,$omaxir~,be_gigantic;be_proud,(.).(.).(.).(.)~,$1o$2a$3a$4~,v-suff + u-# gem,$omaxar~,1,,DONE
7,{i1o2a3a4~,{i1o2a3a4~,{i1o2a3a4~,c-suff + a-# gem,6,{i$omaxar~_1,$omaxorir,be_gigantic;be_proud,(.).(.).(.).(.).(.),$1o$2a$3o$4a$5,c-suff + u-# gem,$omaxorar,1,,DONE
8,{i1o2a3a4~,{i1o2a>a4~,{i1o2a>a4~,v-suff + a-# gem,2,{i$oma>az~_1,$oma}iz~,be_disgusted;be_nauseated,(.).(.).(.).(.)~,$1o$2a>a$4~,v-suff + u-# gem,$oma>az~,0,,DONE
9,{i1o2a3a4~,{i1o2a>a4~,{i1o2a>a4~,c-suff + a-# gem,2,{i$oma>az~_1,$oma>oziz,be_disgusted;be_nauseated,(.).(.).(.).(.).(.),$1o$2a$3o$4a$5,c-suff + u-# gem,$oma>ozaz,0,,DONE
10,{i1o2a3a4~,{i1o2a>a4~,{i1o2a>a4~,v-suff + a-# #n gem,1,{iToma>an~_1,Toma}in~,be_calm;be_reassured,(.).(.).(.).(.)~,$1o$2a>a$4~,v-suff + u-# #n gem,Toma>an~,0,,DONE
11,{i1o2a3a4~,{i1o2a>a4~,{i1o2a>a4~,c-suff + a-# #n gem,1,{iToma>an~_1,Toma>onin,be_calm;be_reassured,(.).(.).(.).(.).(.),$1o$2a$3o$4a$5,c-suff + u-# #n gem,Toma>onan,0,,DONE
12,{i1o2a3a4~,{i1o2a@o4~,{i1o2aAo4~,v-suff + a-# gem,2,{iSohAb~_1,SohAb~,become_reddish,(.).(.)A(.)~,$1o$2A$3~,v-suff + u-# gem,SohAb~,1,,DONE
13,{i1o2a3a4~,{i1o2a@o4~,{i1o2aAo4~,c-suff + a-# gem,2,{iSohAb~_1,SohAbab,become_reddish,(.).(.)A(.).(.),$1o$2A$3a$4,c-suff + u-# gem,SohAbab,1,,DONE
14,{i1o2ano3a4,{i1o2ano3a4,{i1o2ano3a4,a-#,1,{iqoEanosas_1,qoEanosis,be_pigeon-breasted,(.).(.).(.).(.).(.),$1o$2a$3o$4a$5,u-#,qoEanosas,0,,DONE
15,{i1oEawo2a3,{i1oEawo2a3,{i1oEawo2a3,a-#,6,{iEo$awo$ab_1,Eo$awo$ib,be_covered_with_vegetation,(.).(.).(.).(.).(.),$1o$2a$3o$4a$5,u-#,Eo$awo$ab,1,,DONE
16,{i1oEawo2a3,{i1oEawo2a3,{i1oEawo2a3,a-# #n,2,{igodawodan_1,godawodin,grow_luxuriantly;become_lush,(.).(.).(.).(.).(.),$1o$2a$3o$4a$5,u-# #n,godawodan,1,,DONE
17,{i1ota2a3,{i1ota2a3,{i1ota2a3,a-#,290,{ibotaEav_1,botaEiv,send;dispatch,(.).(.).(.).(.),$1o$2a$3a$4,u-#,botaEav,0,,DONE
18,{i1ota2a3,{i1ota2a3,{i1ota2a3,a-# #n,14,{iDoTaban_1,DoTabin,carry_under_arm,(.).(.).(.).(.),$1o$2a$3a$4,u-# #n,DoTaban,0,,DONE
19,{i1ota2a3,{i1ota2a>,{i1ota2a>,a-#,8,{ibotada>_1,botadi},begin;start,(.).(.).(.).(.),$1o$2a$3a>,u-# #-a>,botada>,1,,DONE
20,{i1ota2a3,{i1ota2a#,{i1ota2aY,a-# #-iy defective,61,{irotamaY_1,rotam,fall_prostrate;be_thrown,(.).(.).(.),$1o$2a$3,u-# #-aY defective,rotam,0,,DONE
