,LINE,PATTERN_ABSTRACT,ROOT,DEFINE,CLASS,LEMMA,FORM,BW,GLOSS,FEAT,COND-T,COND-S,COMMENTS,STATUS
0,1,{isota1o2a3,*.>.b,LEXICON,[STEM-CV],{isota*o>ab,{isota*o}ib,CV,be_wolflike;be_lupine,pos:verb asp:c vox:a,,intrans,,
1,2,1a2o3a4,*.b.*.b,LEXICON,[STEM-CV],*abo*ab,*abo*ib,CV,swing;dangle,pos:verb asp:c vox:a,,trans,,
2,3,ta1a2o3a4,*.b.*.b,LEXICON,[STEM-CV],ta*abo*ab,ta*abo*ab,CV,oscillate;fluctuate;waver,pos:verb asp:c vox:a,,trans,,
3,4,1a2a3,*.b.b,LEXICON,[STEM-CV],*ab~-u,{u*obub,CV,drive_away;defend,pos:verb asp:c vox:a,c-suff,gem trans,,
4,5,1a2a3,*.b.b,LEXICON,[STEM-CV],*ab~-u,*ub~,CV,drive_away;defend,pos:verb asp:c vox:a,v-suff,gem trans,,
5,6,1a2~a3,*.b.H,LEXICON,[STEM-CV],*ab~aH,*ab~iH,CV,slaughter;massacre;sacrifice,pos:verb asp:c vox:a,,trans,,
6,7,1a2a3,*.b.H,LEXICON,[STEM-CV],*abaH-a,{i*obaH,CV,slaughter;massacre;sacrifice,pos:verb asp:c vox:a,,trans,,
7,8,1a2a3,*.b.l,LEXICON,[STEM-CV],*abal-u,{u*obul,CV,wilt;fade;waste_away,pos:verb asp:c vox:a,,trans,,
8,9,1a2a3,*.b.l,LEXICON,[STEM-CV],*abul-u,{u*obul,CV,wilt;fade;waste_away,pos:verb asp:c vox:a,,trans,,
9,10,1a2a3,*.E.n,LEXICON,[STEM-CV],*aEin-a,{i*oEan,CV,submit;yield;obey,pos:verb asp:c vox:a,,#n trans,,
10,11,>a1o2a3,*.E.n,LEXICON,[STEM-CV],>a*oEan,{i*oEin,CV,submit;yield;obey,pos:verb asp:c vox:a,,#n trans,,
11,12,1a2a3,*.E.q,LEXICON,[STEM-CV],*aEaq-a,{i*oEaq,CV,frighten;startle,pos:verb asp:c vox:a,,trans,,
12,13,{ino1a2a3,*.E.r,LEXICON,[STEM-CV],{ino*aEar,{ino*aEir,CV,panic,pos:verb asp:c vox:a,,trans,,
13,14,1a2a3,*.E.r,LEXICON,[STEM-CV],*aEar-a,{i*oEar,CV,frighten,pos:verb asp:c vox:a,,trans,,
14,15,1a2a3,*.E.r,LEXICON,[STEM-CV],*aEir-a,{i*oEar,CV,be_frightened,pos:verb asp:c vox:a,,intrans,,
15,16,>a1o2a3,*.E.r,LEXICON,[STEM-CV],>a*oEar,{i*oEir,CV,frighten,pos:verb asp:c vox:a,,trans,,
16,17,ta1a2~3,*.E.r,LEXICON,[STEM-CV],ta*aE~ar,ta*aE~ar,CV,panic,pos:verb asp:c vox:a,,trans,,
17,18,1a2~a3,*.h.b,LEXICON,[STEM-CV],*ah~ab,*ah~ib,CV,gild,pos:verb asp:c vox:a,,trans,,
18,19,1a2a3,*.h.b,LEXICON,[STEM-CV],*ahab-a,{i*ohab,CV,go;depart;take_(with),pos:verb asp:c vox:a,,trans,,
19,20,>a1o2a3,*.h.b,LEXICON,[STEM-CV],>a*ohab,{i*ohib,CV,remove;eliminate,pos:verb asp:c vox:a,,trans,,
20,21,{ino1a2a3,*.h.l,LEXICON,[STEM-CV],{ino*ahal,{ino*ahil,CV,be_stunned;be_dazed;overlook,pos:verb asp:c vox:a,,intrans,,
21,22,1a2a3,*.h.l,LEXICON,[STEM-CV],*ahal-a,{i*ohal,CV,be_stunned;be_dazed;overlook,pos:verb asp:c vox:a,,intrans,,
22,23,>a1o2a3,*.h.l,LEXICON,[STEM-CV],>a*ohal,{i*ohil,CV,baffle;distract,pos:verb asp:c vox:a,,trans,,
23,24,ta1A2a3,*.h.l,LEXICON,[STEM-CV],ta*Ahal,ta*Ahal,CV,feign_forgetfulness,pos:verb asp:c vox:a,,trans,,
24,25,{isota1o2a3,*.k.r,LEXICON,[STEM-CV],{isota*okar,{isota*okir,CV,memorize;recall,pos:verb asp:c vox:a,,trans,,
25,26,1a2~a3,*.k.r,LEXICON,[STEM-CV],*ak~ar,*ak~ir,CV,remind,pos:verb asp:c vox:a,,trans,,
26,27,1A2a3,*.k.r,LEXICON,[STEM-CV],*Akar,*Akir,CV,negotiate,pos:verb asp:c vox:a,,trans,,
27,28,1a2a3,*.k.r,LEXICON,[STEM-CV],*akar-u,{u*okur,CV,mention;cite;remember,pos:verb asp:c vox:a,,trans,,
