,#PATTERN_ABS,#PATTERN_DEF,#PATTERN_UNIQ,#PATTERN,#ROOT,#LEMMA_AR,DEFINE,CLASS,LEMMA,FORM,BW,GLOSS,FEAT,COND-T,COND-F,COND-S,,STATUS
0,{i1ota2a3,{i>ota2a3,{i>ota2a3,1ota2i3,#.m.n,ٱِئْتَمَن#1,LEXICON,[STEM-IV],{i}otaman_1,>otamin,IV,embrace;carry,pos:verb asp:i vox:a gen:_ num:_,,,a-# #n trans,,QC-DONE
1,{i1o2a3a4~,{i1o2a>a4~,{i1o2a>a4~,1o2a}i4~,$.m.#.z,ٱِشْمَأَزّ#1,LEXICON,[STEM-IV],{i$oma>az~_1,$oma}iz~,IV,be_disgusted;be_nauseated,pos:verb asp:i vox:a gen:_ num:_,v-suff,,a-# gem intrans,,QC-DONE
2,{i1o2a3a4~,{i1o2a>a4~,{i1o2a>a4~,1o2a>o4iz,$.m.#.z,ٱِشْمَأَزّ#1,LEXICON,[STEM-IV],{i$oma>az~_1,$oma>oziz,IV,be_disgusted;be_nauseated,pos:verb asp:i vox:a gen:_ num:_,c-suff,,a-# gem intrans,,QC-DONE
3,{i1o2a3~,{i1o2a3~,{i1o2a3~,1o2a3~,$.m.T,ٱِشْمَطّ#1,LEXICON,[STEM-IV],{i$omaT~_1,$omaT~,IV,turn_gray,pos:verb asp:i vox:a gen:_ num:_,v-suff,,a-# gem trans,,QC-DONE
4,{i1o2a3~,{i1o2a3~,{i1o2a3~,1o2a3iT,$.m.T,ٱِشْمَطّ#1,LEXICON,[STEM-IV],{i$omaT~_1,$omaTiT,IV,turn_gray,pos:verb asp:i vox:a gen:_ num:_,c-suff,,a-# gem trans,,QC-DONE
5,{i1o2a3a4~,{i1o2a3a4~,{i1o2a3a4~,1o2a3i4~,$.m.x.r,ٱِشْمَخَرّ#1,LEXICON,[STEM-IV],{i$omaxar~_1,$omaxir~,IV,be_gigantic;be_proud,pos:verb asp:i vox:a gen:_ num:_,v-suff,,a-# gem intrans,,QC-DONE
6,{i1o2a3a4~,{i1o2a3a4~,{i1o2a3a4~,1o2a3o4ir,$.m.x.r,ٱِشْمَخَرّ#1,LEXICON,[STEM-IV],{i$omaxar~_1,$omaxorir,IV,be_gigantic;be_proud,pos:verb asp:i vox:a gen:_ num:_,c-suff,,a-# gem intrans,,QC-DONE
7,{i1o2a3~,{i1o2a3~,{i1o2a3~,1o2a3~,$.q.r,ٱِشْقَرّ#1,LEXICON,[STEM-IV],{i$oqar~_1,$oqar~,IV,be_of_fair_complexion;be_blond,pos:verb asp:i vox:a gen:_ num:_,v-suff,,a-# gem intrans,,QC-DONE
8,{i1o2a3~,{i1o2a3~,{i1o2a3~,1o2a3ir,$.q.r,ٱِشْقَرّ#1,LEXICON,[STEM-IV],{i$oqar~_1,$oqarir,IV,be_of_fair_complexion;be_blond,pos:verb asp:i vox:a gen:_ num:_,c-suff,,a-# gem intrans,,QC-DONE
9,{i1o2a3a4~,{i1o2a>a4~,{i1o2a>a4~,1o2a}i4~,$.r.#.b,ٱِشْرَأَبّ#1,LEXICON,[STEM-IV],{i$ora>ab~_1,$ora}ib~,IV,crane_the_neck;stretch_the_neck,pos:verb asp:i vox:a gen:_ num:_,v-suff,,a-# gem trans,,QC-DONE
10,{i1o2a3a4~,{i1o2a>a4~,{i1o2a>a4~,1o2a>o4ib,$.r.#.b,ٱِشْرَأَبّ#1,LEXICON,[STEM-IV],{i$ora>ab~_1,$ora>obib,IV,crane_the_neck;stretch_the_neck,pos:verb asp:i vox:a gen:_ num:_,c-suff,,a-# gem trans,,QC-DONE
11,{i1ota2a3,{i1ota2a3,{i1ota2a3,1ota2i3,$.b.h,ٱِشْتَبَه#1,LEXICON,[STEM-IV],{i$otabah_1,$otabih,IV,suspect;be_doubtful,pos:verb asp:i vox:a gen:_ num:_,,,a-# trans,,QC-DONE
12,{i1ota2a3,{i1ota2a3,{i1ota2a3,1ota2i3,$.b.k,ٱِشْتَبَك#1,LEXICON,[STEM-IV],{i$otabak_1,$otabik,IV,skirmish;clash;engage,pos:verb asp:i vox:a gen:_ num:_,,,a-# trans,,QC-DONE
13,{i1ota2a3,{i1ota2~,{i1ota2~,1ota2~,$.d.d,ٱِشْتَدّ#1,LEXICON,[STEM-IV],{i$otad~_1,$otad~,IV,intensify,pos:verb asp:i vox:a gen:_ num:_,v-suff,,a-# gem trans,,QC-DONE
14,{i1ota2a3,{i1ota2~,{i1ota2~,1ota2i3,$.d.d,ٱِشْتَدّ#1,LEXICON,[STEM-IV],{i$otad~_1,$otadid,IV,intensify,pos:verb asp:i vox:a gen:_ num:_,c-suff,,a-# gem trans,,QC-DONE
