,PATTERN_ABSTRACT,PATTERN_LEMMA_CONC,PATTERN_LEMMA,ROOT,PATTERN,#LEMMA_AR,DEFINE,CLASS,LEMMA,FORM,BW,GLOSS,FEAT,COND-T,COND-F,COND-S,COMMENTS,STATUS
0,1A2a3,>A2aY,|2aY,w.l.y,|2,آلَى,LEXICON,[STEM-PV],|laY,|l,PV,promise;take_an_oath,pos:verb asp:p vox:a gen:_ num:_,,,#-ay defective trans,,
1,1a2a3,>aAo3,|3,>.y.m,<i3,آم-ِ,LEXICON,[STEM-PV],|m-i,<im,PV,be_widowed,pos:verb asp:p vox:a gen:_ num:_,c-suff,,hollow intrans,,
2,1a2a3,>aAo3,|3,>.y.m,|3,آم-ِ,LEXICON,[STEM-PV],|m-i,|m,PV,be_widowed,pos:verb asp:p vox:a gen:_ num:_,v-suff,,hollow intrans,,
3,1a2a3,>aAo3,|3,>.y.n,>u3,آن-ُ,LEXICON,[STEM-PV],|n-u,>un,PV,arrive;approach,pos:verb asp:p vox:a gen:_ num:_,c-suff,,#n hollow trans,,
4,1a2a3,>aAo3,|3,>.y.n,|3,آن-ُ,LEXICON,[STEM-PV],|n-u,|n,PV,arrive;approach,pos:verb asp:p vox:a gen:_ num:_,v-suff,,#n hollow trans,,
5,>a1o2a3,>a1aAo>,>a1A',b.w.>,>a1,أَباء,LEXICON,[STEM-PV],>abA',>ab,PV,accommodate;reside,pos:verb asp:p vox:a gen:_ num:_,,,#-A' trans,,
6,1a2a3,>a2aA,>a2A,>.l.w,>a2,أَلا-ُ,LEXICON,[STEM-PV],>alA-u,>al,PV,neglect;desist_from,pos:verb asp:p vox:a gen:_ num:_,,,#-aw defective trans,,
7,>a1o2a3,>a1aAo3,>a1A3,m.w.t,>a1A3,أَمات,LEXICON,[STEM-PV],>amAt,>amAt,PV,mortify;kill,pos:verb asp:p vox:a gen:_ num:_,v-suff,,#t hollow intrans,,
8,>a1o2a3,>a1aAo3,>a1A3,m.w.t,>a1a3,أَمات,LEXICON,[STEM-PV],>amAt,>amat,PV,mortify;kill,pos:verb asp:p vox:a gen:_ num:_,c-suff,,#t hollow intrans,,
9,1a2a3,>a2u3,>a2u3,>.m.n,>a2u3,أَمُن-ُ,LEXICON,[STEM-PV],>amun-u,>amun,PV,be_loyal;be_reliable,pos:verb asp:p vox:a gen:_ num:_,,,#n intrans,,
10,{i1ota2a3,{i1ota>aY,{i1ota>aY,r.>.y,{i1ota>,ٱِرْتَأَى,LEXICON,[STEM-PV],{irota>aY,{irota>,PV,consider;contemplate,pos:verb asp:p vox:a gen:_ num:_,,,#-ay defective trans,,
11,{i1ota2a3,{i1otaAo>,{i1otA',s.w.>,{i1ot,ٱِسْتاء,LEXICON,[STEM-PV],{isotA',{isot,PV,be_dissatisfied;be_discontent,pos:verb asp:p vox:a gen:_ num:_,,,#-A' intrans,,
12,{i1o2a3a4~,{i1o2a>a4~,{i1o2a>a4~,T.m.>.n,{i1o2a>o4a4,ٱِطْمَأَنّ,LEXICON,[STEM-PV],{iToma>an~,{iToma>onan,PV,be_calm;be_reassured,pos:verb asp:p vox:a gen:_ num:_,c-suff,,#n gem intrans,,
13,{i1o2a3a4~,{i1o2a>a4~,{i1o2a>a4~,T.m.>.n,{i1o2a>a4~,ٱِطْمَأَنّ,LEXICON,[STEM-PV],{iToma>an~,{iToma>an~,PV,be_calm;be_reassured,pos:verb asp:p vox:a gen:_ num:_,v-suff,,#n gem intrans,,
14,1a2a3,1aAo3,1A3,b.y.t,1A3,بات-ِ,LEXICON,[STEM-PV],bAt-i,bAt,PV,become;remain,pos:verb asp:p vox:a gen:_ num:_,v-suff,,#t hollow trans,,
15,1a2a3,1aAo3,1A3,b.y.t,1i3,بات-ِ,LEXICON,[STEM-PV],bAt-i,bit,PV,become;remain,pos:verb asp:p vox:a gen:_ num:_,c-suff,,#t hollow trans,,
16,1a2a3,1aAo3,1A3,b.y.n,1i3,بان-ِ,LEXICON,[STEM-PV],bAn-i,bin,PV,appear;be_evident,pos:verb asp:p vox:a gen:_ num:_,c-suff,,#n hollow intrans,,
17,1a2a3,1aAo3,1A3,b.y.n,1A3,بان-ِ,LEXICON,[STEM-PV],bAn-i,bAn,PV,appear;be_evident,pos:verb asp:p vox:a gen:_ num:_,v-suff,,#n hollow intrans,,
