,LINE,PATTERN_ABSTRACT,PATTERN_LEMMA_CONC,PATTERN_LEMMA,ROOT,PATTERN,#LEMMA_AR,DEFINE,CLASS,LEMMA,FORM,BW,GLOSS,FEAT,COND-T,COND-F,COND-S,,COMMENTS,STATUS
0,1,1a2a3,>aAo3,|3,>.w.b,>u3,آب-ُ,LEXICON,[STEM-PV],|b-u,>ub,PV,return,pos:verb asp:p vox:a mod:i,c-suff,,hollow trans,آب,0,
1,2,1a2a3,>aAo3,|3,>.w.b,|3,آب-ُ,LEXICON,[STEM-PV],|b-u,|b,PV,return,pos:verb asp:p vox:a mod:i,v-suff,,hollow trans,آب,0,
2,3,1A2a3,>A2aY,|2aY,>.t.y,|2,آتَى,LEXICON,[STEM-PV],|taY,|t,PV,give;offer,pos:verb asp:p vox:a mod:i,,,#-ay defective trans,آتى,1,
3,4,1A2a3,>A2a3,|2a3,>.v.r,|2a3,آثَر,LEXICON,[STEM-PV],|var,|var,PV,prefer,pos:verb asp:p vox:a mod:i,,,trans,آثر,0,
4,5,1A2a3,>A2a3,|2a3,>.j.r,|2a3,آجَر,LEXICON,[STEM-PV],|jar,|jar,PV,lend;hire_out,pos:verb asp:p vox:a mod:i,,,trans,آجر,0,
5,6,1A2a3,>A2a3,|2a3,>.x.*,|2a3,آخَذ,LEXICON,[STEM-PV],|xa*,|xa*,PV,blame;reproach,pos:verb asp:p vox:a mod:i,,,trans,آخذ,0,
6,7,1A2a3,>A2aY,|2aY,>.x.w,|2,آخَى,LEXICON,[STEM-PV],|xaY,|x,PV,fraternize,pos:verb asp:p vox:a mod:i,,,#-ay defective trans,آخى,0,
7,8,1a2a3,>aAo3,|3,>.w.d,>u3,آد-ُ,LEXICON,[STEM-PV],|d-u,>ud,PV,burden;make_difficult,pos:verb asp:p vox:a mod:i,c-suff,,hollow trans,آد,0,
8,9,1a2a3,>aAo3,|3,>.w.d,|3,آد-ُ,LEXICON,[STEM-PV],|d-u,|d,PV,burden;make_difficult,pos:verb asp:p vox:a mod:i,v-suff,,hollow trans,آد,0,
9,10,1A2a3,>A2a3,|2a3,>.d.b,|2a3,آدَب,LEXICON,[STEM-PV],|dab,|dab,PV,invite,pos:verb asp:p vox:a mod:i,,,trans,آدب,0,
10,11,1A2a3,>A2a3,|2a3,>.*.n,|2a3,آذَن,LEXICON,[STEM-PV],|*an,|*an,PV,announce;warn,pos:verb asp:p vox:a mod:i,,,#n trans,آذن,0,
11,12,1A2a3,>A2aY,|2aY,>.*.y,|2,آذَى,LEXICON,[STEM-PV],|*aY,|*,PV,injure;prejudice,pos:verb asp:p vox:a mod:i,,,#-ay defective trans,آذى,0,
12,13,1A2a3,>A2a3,|2a3,>.r.b,|2a3,آرَب,LEXICON,[STEM-PV],|rab,|rab,PV,try_to_outwit,pos:verb asp:p vox:a mod:i,,,trans,آرب,0,
13,14,1A2a3,>A2a3,|2a3,>.z.r,|2a3,آزَر,LEXICON,[STEM-PV],|zar,|zar,PV,help;support,pos:verb asp:p vox:a mod:i,,,trans,آزر,0,
