,LINE,DEFINE,CLASS,FUNC,FORM,BW,VARIANT,GLOSS,FEAT,COND-T,COND-S,D3,EXAMPLE,STATUS,COND-F,COMMENTS
0,1,#,"This file combines PV, IV and CV Morph info for MSA",,,,,,,,,,,,,
1,2,CONDITIONS,[LEMMA],Frozen,,,,,,,,,,,,
2,3,CONDITIONS,[STEM-X],#-}iy #->ay #-A' #-a> #-aA #-aw #-ay #-aY #-ay-A #-i} #-iy #-iy' #-u& #-uw #-uw' #A-' #n #t,,,,,,,,,,,,
3,4,CONDITIONS,[X-ROOT],hollow defective gem hamzated ,,,,,,,,,,,,
4,5,CONDITIONS,[X-TRANS],intrans trans ditrans,,,,,,,,,,,,
5,6,CONDITIONS,[X-STEM],>-# >-a# >-o#,,,,,,,,,,,,
6,7,CONDITIONS,[PREF-X],a-# u-# ,,,,,,,,,,,,
7,8,CONDITIONS,[X-PREF],h-pref,,,,,,,,,,,,
8,9,CONDITIONS,[X-SUFF.PHONE],c-suff v-suff n-suff,,,,,,,,,,,,
9,10,CONDITIONS,[X-SUFF.LETTER],A-suff w-suff y-suff z-suff,,,,,,,,,,,,
10,11,CONDITIONS,[X-SUFF.PHONE.V],u-suff a-suff i-suff,,,,,,,,,,,,
11,12,CONDITIONS,[SUFF-X],#^i #^iy,,,,,,,,,,,,
12,13,CONDITIONS,[PRON-X],enc0#^i,,,,,,,,,,,,
13,14,CONDITIONS,[PRON:X],enc0:1* enc0:2*,,,,,,,,,,,,
14,15,CONDITIONS,[PRON:*],enc0,,,,,,,,,,,,
15,16,CONDITIONS,[PRON2:X],enc1:1* enc1:2*,,,,,,,,,,,,
16,17,CONDITIONS,[PRON2:*],enc1,,,,,,,,,,,,
17,18,,,,,,,,,,,,,,,
18,19,MORPH,[QUES],_,_,_,MSA,_,prc3:0,_,_,_,,DONE,,
19,20,MORPH,[QUES],>a/PART_INTERROG,>a,>a/INTERROG_PART,MSA,is/are,prc3:>a_ques,_,_,>a+_,,DONE,,
20,21,,,,,,,,,,,,,,,
21,22,MORPH,[CONJ],_,_,_,MSA,_,prc2:0,_,_,_,,DONE,,
22,23,#MORPH,[CONJ],fa/CONJ,fa,fa/CONJ,MSA,so/and,prc2:fa_conj,_,_,fa+_,,DONE,,
23,24,#MORPH,[CONJ],fa/PART_CONNECT,fa,fa/CONNEC_PART,MSA,so/then,prc2:fa_conn,_,_,fa+_,,DONE,,
24,25,#MORPH,[CONJ],fa/PART_RC,fa,fa/RC_PART,MSA,so/then,prc2:fa_rc,_,_,fa+_,,DONE,,
25,26,#MORPH,[CONJ],fa/CONJ_SUB,fa,fa/SUB_CONJ,MSA,because/therefore/as_a_result,prc2:fa_sub,_,_,fa+_,,DONE,,
26,27,MORPH,[CONJ],wa/CONJ,wa,wa/CONJ,MSA,and,prc2:wa_conj,_,_,wa+_,,DONE,,
27,28,#MORPH,[CONJ],wa/PART,wa,wa/PART,MSA,[part.],prc2:wa_part,_,_,wa+_,,DONE,,
28,29,#MORPH,[CONJ],wa/SUB_CONJ,wa,wa/SUB_CONJ,MSA,while,prc2:wa_sub,_,_,wa+_,,DONE,,
29,40,#,Perfect Verb Stem Buffers,,,,,,,,,,,,,
30,41,MORPH,[PVBuff],Buffer,a>,a>/STEM,MSA,,,#-a> else,_,a>,قرأ، قرأت,DONE,,
31,42,MORPH,[PVBuff],Buffer,a|,a|/STEM,MSA,,,#-a> A-suff,_,a|,قرآ,DONE,,
32,43,MORPH,[PVBuff],Buffer,a&,a&/STEM,MSA,,,#-a> w-suff,_,a&,قرؤوا,DONE,,
33,44,MORPH,[PVBuff],Buffer,aA,aA/STEM,MSA,,,#-aw z-suff,_,aA,دعا,DONE,,
34,45,MORPH,[PVBuff],Buffer,aw,aw/STEM,MSA,,,#-aw c-suff||A-suff,_,aw,دعوت، دَعَوَا ,DONE,,
35,46,MORPH,[PVBuff],Buffer,_,_,MSA,,,#-aw else,_,_,دعوا,DONE,,
36,47,MORPH,[PVBuff],Buffer,aY,aY/STEM,MSA,,,#-ay z-suff else,_,aY,رمى,DONE,,
37,48,MORPH,[PVBuff],Buffer,aA,aA/STEM,MSA,,,#-ay z-suff enc0,_,aY,رماه,DONE,,
38,49,MORPH,[PVBuff],Buffer,ay,ay/STEM,MSA,,,#-ay c-suff||A-suff,_,ay,رمين، رميت، رميا,DONE,,
39,50,MORPH,[PVBuff],Buffer,_,_,MSA,,,#-ay else,_,_,رموا,DONE,,
40,51,MORPH,[PVBuff],Buffer,aA,aA/STEM,MSA,,,#-ay-A z-suff,_,aA,حيّا,DONE,,
41,52,MORPH,[PVBuff],Buffer,ay,ay/STEM,MSA,,,#-ay-A c-suff||A-suff,_,ay,حيّيت حييا,DONE,,
