,LINE,EXCLUDE,DEFINE,VARIANT,CLASS,SCOPE,PREFIX,STEM,SUFFIX,PREFIX-SHORT,STEM-SHORT,SUFFIX-SHORT
0,,,,,,,,,,,,
1,1,,#Handling PREP+Genitive here through ordering.,,,,,,,,,
2,2,,ORDER,MSA,NOMINAL,pos:noun||pos:adj,[QUES] [CONJ],[STEM],[NBuff] [NSuff.XXIN],[Nom],[Nom],[IN]
3,3,,ORDER,MSA,NOMINAL,pos:noun||pos:adj,[QUES] [CONJ],[STEM],[NBuff] [NSuff.XXIA],[Nom],[Nom],[IA]
4,4,,ORDER,MSA,NOMINAL,pos:noun||pos:adj,[QUES] [CONJ] [PREP],[STEM],[NBuff] [NSuff.XXIG],[Nom.Pr],[Nom],[IG]
5,5,,ORDER,MSA,NOMINAL,pos:noun||pos:adj,[QUES] [CONJ] [ART],[STEM],[NBuff] [NSuff.XXDN],[Nom.Art],[Nom],[DN]
6,6,,ORDER,MSA,NOMINAL,pos:noun||pos:adj,[QUES] [CONJ] [ART],[STEM],[NBuff] [NSuff.XXDA],[Nom.Art],[Nom],[DA]
7,7,,ORDER,MSA,NOMINAL,pos:noun||pos:adj,[QUES] [CONJ] [PREP] [ART],[STEM],[NBuff] [NSuff.XXDG],[Nom.Pr.Art],[Nom],[DG]
8,8,,ORDER,MSA,NOMINAL,pos:noun||pos:adj,[QUES] [CONJ],[STEM],[NBuff] [NSuff.XXCN] [PRON],[Nom],[Nom],[CN.Pron]
9,9,,ORDER,MSA,NOMINAL,pos:noun||pos:adj,[QUES] [CONJ],[STEM],[NBuff] [NSuff.XXCA] [PRON],[Nom],[Nom],[CA.Pron]
10,10,,ORDER,MSA,NOMINAL,pos:noun||pos:adj,[QUES] [CONJ] [PREP],[STEM],[NBuff] [NSuff.XXCG] [PRON],[Nom.Pr],[Nom],[CG.Pron]
11,11,,,,,,,,,,,
12,12,,#False Idafa - should be restricted to Adjectives!,,,,,,,,,
13,13,RED,ORDER,MSA,NOMINAL,pos:adj,[QUES] [CONJ] [ART],[STEM],[NBuff] [NSuff.XXCN],[Nom.Art],[Nom],[CN]
14,14,RED,ORDER,MSA,NOMINAL,pos:adj,[QUES] [CONJ] [ART],[STEM],[NBuff] [NSuff.XXCA],[Nom.Art],[Nom],[CA]
15,15,RED,ORDER,MSA,NOMINAL,pos:adj,[QUES] [CONJ] [PREP] [ART],[STEM],[NBuff] [NSuff.XXCG],[Nom.Pr.Art],[Nom],[CG]
16,16,,,,,,   ,,,,,
17,17,RED,ORDER,MSA,NOMINAL,pos:noun||pos:adj,[QUES] [CONJ] [PREP],[STEM],[NBuff] [NSuff.XXIU],[Nom.Pr],[Nom],[IU]
18,18,RED,ORDER,MSA,NOMINAL,pos:noun||pos:adj,[QUES] [CONJ] [PREP] [ART],[STEM],[NBuff] [NSuff.XXDU],[Nom.Pr.Art],[Nom],[DU]
19,19,RED,ORDER,MSA,NOMINAL,pos:noun||pos:adj,[QUES] [CONJ] [PREP],[STEM],[NBuff] [NSuff.XXCU] [PRON],[Nom.Pr],[Nom],[CU]
20,20,,,,,,   ,,,,,
21,21,RED,ORDER,MSA,NOMINAL,pos:noun,[EMPH],[STEM],[NBuff] [NSuff.XXIN],[Nom.E],[Nom],[IN]
22,22,RED,ORDER,MSA,NOMINAL,pos:noun,[EMPH],[STEM],[NBuff] [NSuff.XXCN] [PRON],[Nom.E],[Nom],[CN.Pron]
