,LINE,EXCLUDE,DEFINE,VARIANT,CLASS,SCOPE,PREFIX,STEM,SUFFIX,PREFIX-SHORT,STEM-SHORT,SUFFIX-SHORT
0,1002,PV,ORDER,EGY,VERBAL,pos:verb,[CONJ] [PRENEG],[STEM-PV],[PVBuff] [PVSuff] [PRON] [LPRON] [NEG],[P],[P],[P]
1,,,,,,,,,,,,
2,,IV,ORDER,EGY,VERBAL,pos:verb,[CONJ] [PRENEG] [VPART] [IVPref.1P] [IVPreBuff],[STEM-IV],[IVBuff] [IVSuff.1P] [PRON] [LPRON] [NEG],[I1P],[I],[I1P]
3,,IV,ORDER,EGY,VERBAL,pos:verb,[CONJ] [PRENEG] [VPART] [IVPref.1S] [IVPreBuff],[STEM-IV],[IVBuff] [IVSuff.1S] [PRON] [LPRON] [NEG],[I1S],[I],[I1S]
4,,IV,ORDER,EGY,VERBAL,pos:verb,[CONJ] [PRENEG] [VPART] [IVPref.2MS] [IVPreBuff],[STEM-IV],[IVBuff] [IVSuff.2MS] [PRON] [LPRON] [NEG],[I2MS],[I],[I2MS]
5,,IV,ORDER,EGY,VERBAL,pos:verb,[CONJ] [PRENEG] [VPART] [IVPref.2FS] [IVPreBuff],[STEM-IV],[IVBuff] [IVSuff.2FS] [PRON] [LPRON] [NEG],[I2FS],[I],[I2FS]
6,,IV,ORDER,EGY,VERBAL,pos:verb,[CONJ] [PRENEG] [VPART] [IVPref.2P] [IVPreBuff],[STEM-IV],[IVBuff] [IVSuff.2P] [PRON] [LPRON] [NEG],[I2P],[I],[I2P]
7,,IV,ORDER,EGY,VERBAL,pos:verb,[CONJ] [PRENEG] [VPART] [IVPref.3MS] [IVPreBuff],[STEM-IV],[IVBuff] [IVSuff.3MS] [PRON] [LPRON] [NEG],[I3MS],[I],[I3MS]
8,,IV,ORDER,EGY,VERBAL,pos:verb,[CONJ] [PRENEG] [VPART] [IVPref.3FS] [IVPreBuff],[STEM-IV],[IVBuff] [IVSuff.3FS] [PRON] [LPRON] [NEG],[I3FS],[I],[I3FS]
9,,IV,ORDER,EGY,VERBAL,pos:verb,[CONJ] [PRENEG] [VPART] [IVPref.3P] [IVPreBuff],[STEM-IV],[IVBuff] [IVSuff.3P] [PRON] [LPRON] [NEG],[I3P],[I],[I3P]
10,,,,,,,,,,,,
11,1001,CV,ORDER,EGY,VERBAL,pos:verb,[CONJ],[STEM-CV],[CVBuff] [CVSuff] [PRON] [LPRON] ,[C],[C],[C]
