,LINE,DEFINE,CLASS,MORPHEME,MORPH,BW,GLOSS,FEAT,COND-T,COND-S,NOTES,EXAMPLES,STATUS,NSTAT,Check
0,1,MORPH,[QUES],_,_,_,_,prc3:0,_,_,Clitics,,DROP,,
1,,,,,,,,,,,,,,,
2,3,,,,,,,,,,,,,,
3,4,MORPH,[CONJ],_,_,_,_,prc2:0,_,_,Clitics,,,,
4,5,MORPH,[CONJ],fa/CONJ,fa,fa/CONJ,so/and,prc2:fa_conj,_,_,Clitics,,,,
5,6,#MORPH,[CONJ],fa/PART_CONNECT,fa,fa/CONNEC_PART,so/then,prc2:fa_conn,_,_,Clitics,,,,
6,7,#MORPH,[CONJ],fa/PART_RC,fa,fa/RC_PART,so/then,prc2:fa_rc,_,_,Clitics,,,,
7,8,#MORPH,[CONJ],fa/CONJ_SUB,fa,fa/SUB_CONJ,because/therefore/as_a_result,prc2:fa_sub,_,_,Clitics,,,,
8,9,MORPH,[CONJ],wi/CONJ,wi,wi/CONJ,and,prc2:wi_conj,_,_,Clitics,,,,
9,10,#MORPH,[CONJ],wi/PART,wi,wi/PART,[part.],prc2:wi_part,_,_,Clitics,,,,
10,11,#MORPH,[CONJ],wi/SUB_CONJ,wi,wi/SUB_CONJ,while,prc2:wi_sub,_,_,Clitics,,,,
11,12,,,,,,,,,,,,,,
12,13,MORPH,[PREP],_,_,_,_,prc1:0,_,_,Clitics,,,,
13,14,MORPH,[PREP],bi/PREP,bi,bi/PREP,with/by,prc1:bi_prep,_,_,Clitics,,,,
14,15,MORPH,[PREP],fi/PREP,fi,fi/PREP,in,prc1:fi_prep,_,_,Clitics,,,,
15,16,MORPH,[PREP],li/PREP,li,li/PREP,for/to,prc1:li_prep,_,li/PREP,Clitics,,,,
16,17,#MORPH,[PREP],Ea/PREP,Ea,Ea/PREP,to,prc1:Ea_prep,_,_,Clitics,,,,
17,18,#MORPH,[PREP],bi/PART,bi,bi/PART,[part.],prc1:bi_part,_,_,Clitics,,,,
18,19,,,,,,,,,,,,,,
19,20,#MORPH,[EMPH],_,_,_,_,prc1:0,_,_,Clitics,,DROP,,
20,,,,,,,,,,,,,,,
21,22,,,,,,,,,,,,,,
22,23,MORPH,[ART],_,_,_,_,prc0:0,_,_,Clitics,"بيت، لغة , لِلُغة",DROP,,
