,LINE,ROOT,DEFINE,CLASS,LEMMA,FORM,BW,GLOSS,FEAT,COND-T,COND-F,COND-S,INTRANS_SCORE,STATUS
0,1,None,LEXICON,[STEM-IV],tbax$a$,tbax$a$,IV,[KEV] to be tipped+to be bribed,pos:verb asp:i vox:a mod:i,,,intrans yi#,4,well-formedness:OK
1,2,None,LEXICON,[STEM-IV],bax$a$,bax$i$,IV,"[KEV] to tip s.o., give a tip to s.o.+to bribe",pos:verb asp:i vox:a mod:i,,,trans y#,0,well-formedness:OK
2,3,None,LEXICON,[STEM-IV],maSTar,maSTir,IV,[KEV] to draw lines (on a sheet of paper) with a ruler,pos:verb asp:i vox:a mod:i,,,trans y#,0,well-formedness:OK
3,4,None,LEXICON,[STEM-IV],EarmaT,EarmiT,IV,"[KEV] to have a ravenous appetite, to eat ravenously",pos:verb asp:i vox:a mod:i,,,trans y#,0,well-formedness:OK
4,5,None,LEXICON,[STEM-IV],tlagwan,tlagwan,IV,[MEERA] to walk slowly,pos:verb asp:i vox:a mod:i,,,trans yi#,0,well-formedness:OK
5,6,None,LEXICON,[STEM-IV],jazaY,jz,IV,"[KEV] to reward, give",pos:verb asp:i vox:a mod:i,,,trans yi# #-iy,0,well-formedness:OK
6,7,None,LEXICON,[STEM-IV],TabaE,TbaE,IV,[KEV] to drown+to sink+to type+to print,pos:verb asp:i vox:a mod:i,,,trans yi#,0,well-formedness:OK
7,8,None,LEXICON,[STEM-IV],walaE,wlaE,IV,[KEV] to love s.o.,pos:verb asp:i vox:a mod:i,,,intrans yi#,4,well-formedness:OK
8,9,None,LEXICON,[STEM-IV],Hakam,Hkim,IV,"[KEV] to govern, rule+to sentence s.o.+to pass judgment, express an opinion, judge+to deliver a judgment, rule+to be due, come due, arrive (prayer time)",pos:verb asp:i vox:a mod:i,,,trans yi#,-2,well-formedness:OK
9,10,None,LEXICON,[STEM-IV],zaT~,ziT~,IV,[MEERA] to excessively eat,pos:verb asp:i vox:a mod:i,,,trans y#,0,well-formedness:OK
10,11,None,LEXICON,[STEM-IV],TA$,Tiy$,IV,"[KEV] to boil over+to be or become furious, very upset",pos:verb asp:i vox:a mod:i,,,intrans y#,5,well-formedness:OK
11,12,None,LEXICON,[STEM-IV],EA*,Euw*,IV,"[KEV] (used when something evil, shameful, etc. , is mentioned) God forbid!",pos:verb asp:i vox:a mod:i,,,trans y#,0,well-formedness:OK
12,13,None,LEXICON,[STEM-IV],qadar,qdar,IV,"[KEV] to be able to, be capable of+to have power over s.o., be master of",pos:verb asp:i vox:a mod:i,,,intrans yi#,5,well-formedness:OK
13,14,None,LEXICON,[STEM-IV],TAr,Tiyr,IV,"[KEV] to fly off, fly away, take off+to fly up",pos:verb asp:i vox:a mod:i,,,intrans y#,4,well-formedness:OK
14,15,None,LEXICON,[STEM-IV],jagam,jgim,IV,[KEV] to gulp,pos:verb asp:i vox:a mod:i,,,trans yi#,0,well-formedness:OK
15,16,None,LEXICON,[STEM-IV],daEas,dEas,IV,"[KEV] to knock down, run over+to tread underfoot, trample down",pos:verb asp:i vox:a mod:i,,,trans yi#,0,well-formedness:OK
16,17,None,LEXICON,[STEM-IV],Earak,Erik,IV,[KEV] to rub,pos:verb asp:i vox:a mod:i,,,trans yi#,0,well-formedness:OK
17,18,None,LEXICON,[STEM-IV],nahaY,nh,IV,[KEV] to tell s.o. not to do s.th.,pos:verb asp:i vox:a mod:i,,,trans yi# #-aY,0,well-formedness:OK
18,19,None,LEXICON,[STEM-IV],naSaH,nSaH,IV,"[KEV] to advise, counsel s.o.",pos:verb asp:i vox:a mod:i,,,trans yi#,0,well-formedness:OK
19,20,None,LEXICON,[STEM-IV],Hamad,Hmid,IV,"[KEV] to praise, commend, laud",pos:verb asp:i vox:a mod:i,,,trans yi#,0,well-formedness:OK
20,21,None,LEXICON,[STEM-IV],kad~,kid~,IV,"[KEV] to work hard, labor, toil",pos:verb asp:i vox:a mod:i,,,trans y#,0,well-formedness:OK
21,204,None,LEXICON,[STEM-IV],bAH-u,buwH,IV,"[KEV] to be revealed, leaked out+to reveal",pos:verb asp:i vox:a mod:i,,,intrans y#,5,well-formedness:OK
22,23,None,LEXICON,[STEM-IV],nataf,ntif,IV,"[KEV] to pluck, pull out (feathers)",pos:verb asp:i vox:a mod:i,,,trans yi#,0,well-formedness:OK
23,24,None,LEXICON,[STEM-IV],gAr,giyr,IV,"[KEV] to invade, attack, raid",pos:verb asp:i vox:a mod:i,,,trans y#,0,well-formedness:OK
24,25,None,LEXICON,[STEM-IV],TAb,Tiyb,IV,"[KEV] to be or become pleasant, enjoyable, agreeable+to heal, recover (from an illness)",pos:verb asp:i vox:a mod:i,,,intrans y#,5,well-formedness:OK
25,556,None,LEXICON,[STEM-IV],bAH-i,biyH,IV,"[KEV] to be revealed, leaked out+to reveal",pos:verb asp:i vox:a mod:i,,,intrans y#,4,well-formedness:OK
26,27,None,LEXICON,[STEM-IV],xaTaY,xT,IV,"[KEV] to make a mistake, commit an error",pos:verb asp:i vox:a mod:i,,,trans yi# #-iy,0,well-formedness:OK
27,28,None,LEXICON,[STEM-IV],baT~,biT~,IV,"[KEV] to knock out, gouge out+to pop (a balloon)",pos:verb asp:i vox:a mod:i,,,trans y#,0,well-formedness:OK
28,29,None,LEXICON,[STEM-IV],da$~,di$~,IV,"[KEV] to enter, go in+to report for duty, go to work+to drop in on s.o.",pos:verb asp:i vox:a mod:i,,,trans y#,0,well-formedness:OK
29,30,None,LEXICON,[STEM-IV],$AE,$iyE,IV,"[KEV] to spread, become known or widespread",pos:verb asp:i vox:a mod:i,,,intrans y#,4,well-formedness:OK
30,31,None,LEXICON,[STEM-IV],TAE,TiyE,IV,"[KEV] to obey, be obedient+to heed+[MEERA] to agree",pos:verb asp:i vox:a mod:i,,,intrans y#,3,well-formedness:OK
31,32,None,LEXICON,[STEM-IV],EAm,Euwm,IV,[KEV] to swim+to float,pos:verb asp:i vox:a mod:i,,,trans y#,0,well-formedness:OK
32,33,None,LEXICON,[STEM-IV],qabal,qbal,IV,[KEV] to accept+to agree to s.th.+to admit,pos:verb asp:i vox:a mod:i,,,trans yi#,0,well-formedness:OK
33,34,None,LEXICON,[STEM-IV],fAt,fuwt,IV,"[KEV] to go, pass+to pass, go by",pos:verb asp:i vox:a mod:i,,,trans y#,0,well-formedness:OK
34,35,None,LEXICON,[STEM-IV],lamas,lmis,IV,"[KEV] to touch, feel+to feel, sense, have a hunch",pos:verb asp:i vox:a mod:i,,,trans yi#,0,well-formedness:OK
35,36,None,LEXICON,[STEM-IV],zAE,zuwE,IV,"[KEV] to vomit, throw up",pos:verb asp:i vox:a mod:i,,,trans y#,0,well-formedness:OK
36,37,None,LEXICON,[STEM-IV],raDaY,rD,IV,"[KEV] to be satisfied, be content+to agree, accept+to be pleased",pos:verb asp:i vox:a mod:i,,,intrans yi# #-aY,5,well-formedness:OK
37,38,None,LEXICON,[STEM-IV],EaSaY,ES,IV,"[KEV] to disobey, resist, oppose",pos:verb asp:i vox:a mod:i,,,trans yi# #-iy,0,well-formedness:OK
38,39,None,LEXICON,[STEM-IV],jaraH,jraH,IV,"[KEV] to wound, cut",pos:verb asp:i vox:a mod:i,,,trans yi#,0,well-formedness:OK
39,40,None,LEXICON,[STEM-IV],bAt,bAt,IV,"[KEV] to stay overnight, spend the night+to sit overnight+[MEERA] to sleep over",pos:verb asp:i vox:a mod:i,,,intrans y#,4,well-formedness:OK
40,41,None,LEXICON,[STEM-IV],rAz,riyz,IV,[KEV] to estimate the weight of s.th.,pos:verb asp:i vox:a mod:i,,,trans y#,0,well-formedness:OK
41,42,None,LEXICON,[STEM-IV],xajal,xjal,IV,"[KEV] to be or become embarrassed+to be ashamed, feel shame+to be or become shy+to be or become embarrassed+to be ashamed, feel shame+to be or become shy",pos:verb asp:i vox:a mod:i,,,intrans yi#,16,well-formedness:OK
42,43,None,LEXICON,[STEM-IV],san~,sin~,IV,"[KEV] to sharpen, whet+to enact, introduce, pass",pos:verb asp:i vox:a mod:i,,,trans y#,0,well-formedness:OK
43,44,None,LEXICON,[STEM-IV],najar,njir,IV,"[KEV] to carve+[KEV] to chop, hew (wood)",pos:verb asp:i vox:a mod:i,,,trans yi#,0,well-formedness:OK
44,45,None,LEXICON,[STEM-IV],$afaE,$faE,IV,"[KEV] to intercede, intervene, plead",pos:verb asp:i vox:a mod:i,,,intrans yi#,4,well-formedness:OK
45,46,None,LEXICON,[STEM-IV],Hak~,Hik~,IV,[KEV] to scratch+to scrath s.th. against s.th. else+to itch+[MEERA] to scratch,pos:verb asp:i vox:a mod:i,,,trans y#,0,well-formedness:OK
46,47,None,LEXICON,[STEM-IV],xalaT,xliT,IV,"[KEV] to mix, blend, mingle+to be or become confused, mixed up",pos:verb asp:i vox:a mod:i,,,intrans yi#,1,well-formedness:OK
47,48,None,LEXICON,[STEM-IV],bAr,buwr,IV,"[KEV] to be unsaleable, be dead stock+to be unable to get a husband",pos:verb asp:i vox:a mod:i,,,intrans y#,9,well-formedness:OK
48,2465,None,LEXICON,[STEM-IV],AibtadaY,btid,IV,"[KEV] to begin, start",pos:verb asp:i vox:a mod:i,,,trans yi# #-iy,0,well-formedness:OK
49,50,None,LEXICON,[STEM-IV],gafA,gf,IV,"[KEV] to doze off, fall asleep",pos:verb asp:i vox:a mod:i,,,trans yi# #-iy,0,well-formedness:OK
50,51,None,LEXICON,[STEM-IV],haj~,hij~,IV,"[KEV] to run away, escape",pos:verb asp:i vox:a mod:i,,,intrans y#,4,well-formedness:OK
51,103,None,LEXICON,[STEM-IV],dAm-i,diym,IV,"[KEV] to make permanent, perpetuate, cause to last or continue",pos:verb asp:i vox:a mod:i,,,intrans y#,4,well-formedness:OK
52,53,None,LEXICON,[STEM-IV],xAf,xAf,IV,"[KEV] to be scared, afraid, worried, concerned. (prov.)+[MEERA] to fear",pos:verb asp:i vox:a mod:i,,,intrans y#,5,well-formedness:OK
53,54,None,LEXICON,[STEM-IV],fataH,ftaH,IV,"[KEV] to open+to start, open+to turn on+to conquer, capture (a city)",pos:verb asp:i vox:a mod:i,,,trans yi#,0,well-formedness:OK
54,55,None,LEXICON,[STEM-IV],rabaE,rbaE,IV,[MEERA] to run,pos:verb asp:i vox:a mod:i,,,trans yi#,0,well-formedness:OK
55,56,None,LEXICON,[STEM-IV],naqaE,nqaE,IV,"[KEV] to soak+to become thoroughly soaked+[MEERA] to explode, also used to describe a person who 'blows off' when angry",pos:verb asp:i vox:a mod:i,,,trans yi#,0,well-formedness:OK
56,57,None,LEXICON,[STEM-IV],zahaq,zhaq,IV,[MEERA] to feel bored,pos:verb asp:i vox:a mod:i,,,trans yi#,0,well-formedness:OK
57,58,None,LEXICON,[STEM-IV],Eataq,Etiq,IV,[KEV] to get or grow old,pos:verb asp:i vox:a mod:i,,,trans yi#,0,well-formedness:OK
58,59,None,LEXICON,[STEM-IV],hAn,huwn,IV,"[KEV] to be or become easy, simple+to be or become easy for s.o.",pos:verb asp:i vox:a mod:i,,,intrans y#,4,well-formedness:OK
59,60,None,LEXICON,[STEM-IV],Habas,Hbis,IV,"[KEV] to jail, imprison+to block, confine+to send (e.g. school kids) to detention, keep s.o. (after school) as punishment",pos:verb asp:i vox:a mod:i,,,trans yi#,0,well-formedness:OK
60,61,None,LEXICON,[STEM-IV],$am~,$im~,IV,"[KEV] to smell, sniff",pos:verb asp:i vox:a mod:i,,,trans y#,0,well-formedness:OK
61,62,None,LEXICON,[STEM-IV],gazal,gzil,IV,[KEV] to spin,pos:verb asp:i vox:a mod:i,,,trans yi#,0,well-formedness:OK
62,63,None,LEXICON,[STEM-IV],HaSal,HSal,IV,"[KEV] to happen, take place, occur+to obtain, get, receive+to be found, be available, obtainable",pos:verb asp:i vox:a mod:i,,,intrans yi#,6,well-formedness:OK
63,64,None,LEXICON,[STEM-IV],naSar,nSir,IV,"[KEV] to make victorious, grant victory to",pos:verb asp:i vox:a mod:i,,,trans yi#,0,well-formedness:OK
64,65,None,LEXICON,[STEM-IV],Ead~,Eid~,IV,"[KEV] to count, number+to consider, think",pos:verb asp:i vox:a mod:i,,,trans y#,0,well-formedness:OK
65,66,None,LEXICON,[STEM-IV],maS~,muS~,IV,"[KEV] to suck, suck up, suck in, absorb+to sip",pos:verb asp:i vox:a mod:i,,,trans y#,0,well-formedness:OK
66,200,None,LEXICON,[STEM-IV],dAm-u,duwm,IV,"[KEV] to make permanent, perpetuate, cause to last or continue",pos:verb asp:i vox:a mod:i,,,intrans y#,4,well-formedness:OK
67,68,None,LEXICON,[STEM-IV],zalaq,zliq,IV,"[KEV] to slip, slide+to make a mistake, make a slip",pos:verb asp:i vox:a mod:i,,,trans yi#,0,well-formedness:OK
68,69,None,LEXICON,[STEM-IV],rAg,ruwg,IV,"[KEV] to dismiss, drive out, expel, evict",pos:verb asp:i vox:a mod:i,,,trans y#,0,well-formedness:OK
69,70,None,LEXICON,[STEM-IV],salak,slik,IV,"[KEV] to behave oneself+be on good terms, get along with",pos:verb asp:i vox:a mod:i,,,intrans yi#,2,well-formedness:OK
70,71,None,LEXICON,[STEM-IV],rakab,rkab,IV,"[KEV] to ride on s.th+[KEV] to ride (an animal)+to ride in, ride on, travel in, on or on board+to mate with, breed with, mount+to get in, get on, climb aboard+to dominate, bully, intimidate+to ride on s.th+[MEERA] to ride (a car, horse...etc)",pos:verb asp:i vox:a mod:i,,,intrans yi#,4,well-formedness:OK
71,72,None,LEXICON,[STEM-IV],rafaD,rfiD,IV,"[KEV] to refuse to accept, reject, turn down",pos:verb asp:i vox:a mod:i,,,trans yi#,0,well-formedness:OK
72,73,None,LEXICON,[STEM-IV],$agar,$gar,IV,"[KEV] to be vacant, free, unoccupied",pos:verb asp:i vox:a mod:i,,,intrans yi#,5,well-formedness:OK
73,74,None,LEXICON,[STEM-IV],laH~,liH~,IV,"[KEV] to persist+to keep after, pester, harass",pos:verb asp:i vox:a mod:i,,,intrans y#,4,well-formedness:OK
74,75,None,LEXICON,[STEM-IV],Eaq~,Eiq~,IV,[MEERA] to throw sth,pos:verb asp:i vox:a mod:i,,,trans y#,0,well-formedness:OK
75,76,None,LEXICON,[STEM-IV],nadaf,ndaf,IV,"[KEV] to fluff or tease, comb (cotton)",pos:verb asp:i vox:a mod:i,,,trans yi#,0,well-formedness:OK
76,77,None,LEXICON,[STEM-IV],rakaE,rkaE,IV,"[KEV] to kneel down, drop to one's knees (in prayer)",pos:verb asp:i vox:a mod:i,,,intrans yi#,4,well-formedness:OK
77,78,None,LEXICON,[STEM-IV],laTam,lTim,IV,[KEV] to strike the face with the hands in grief or despair,pos:verb asp:i vox:a mod:i,,,intrans yi#,4,well-formedness:OK
78,79,None,LEXICON,[STEM-IV],>am~,}im~,IV,[KEV] to lead people in prayer,pos:verb asp:i vox:a mod:i,,,trans y#,0,well-formedness:OK
79,80,None,LEXICON,[STEM-IV],lawaY,lw,IV,"[KEV] to bend+to twist, wrench",pos:verb asp:i vox:a mod:i,,,trans yi# #-iy,0,well-formedness:OK
80,81,None,LEXICON,[STEM-IV],SaraE,SriE,IV,"[KEV] to throw down, fell s.o.",pos:verb asp:i vox:a mod:i,,,trans yi#,0,well-formedness:OK
81,82,None,LEXICON,[STEM-IV],rahan,rhin,IV,"[KEV] to pawn, deposit as security+to mortgage",pos:verb asp:i vox:a mod:i,,,trans yi#,0,well-formedness:OK
82,83,None,LEXICON,[STEM-IV],zaEal,zEal,IV,[KEV] to be a little angry or mad+[MEERA] to get upset,pos:verb asp:i vox:a mod:i,,,intrans yi#,5,well-formedness:OK
83,84,None,LEXICON,[STEM-IV],bAl,buwl,IV,[KEV] to urinate,pos:verb asp:i vox:a mod:i,,,intrans y#,4,well-formedness:OK
84,85,None,LEXICON,[STEM-IV],dahan,dhin,IV,"[KEV] to oil, grease+to rub, massage",pos:verb asp:i vox:a mod:i,,,trans yi#,0,well-formedness:OK
85,86,None,LEXICON,[STEM-IV],laqaT,lqiT,IV,"[KEV] to pick up, pick out",pos:verb asp:i vox:a mod:i,,,trans yi#,0,well-formedness:OK
86,87,None,LEXICON,[STEM-IV],HabaY,Hb,IV,"[KEV] to crawl, creep",pos:verb asp:i vox:a mod:i,,,trans yi# #-iy,0,well-formedness:OK
87,88,None,LEXICON,[STEM-IV],Zalam,Zlim,IV,"[KEV] to oppress, be tyrannical to, do wrong+to treat unjustly, do wrong to s.o.",pos:verb asp:i vox:a mod:i,,,trans yi#,-1,well-formedness:OK
88,89,None,LEXICON,[STEM-IV],dawaY,dw,IV,"[KEV] to boom, resound, ring out+to drone",pos:verb asp:i vox:a mod:i,,,trans ya#  #-iy,0,well-formedness:OK
89,90,None,LEXICON,[STEM-IV],TaHan,THan,IV,"[KEV] to mill, grind",pos:verb asp:i vox:a mod:i,,,trans yi#,0,well-formedness:OK
90,91,None,LEXICON,[STEM-IV],sanad,snid,IV,"[KEV] to support, provide support for, prop up",pos:verb asp:i vox:a mod:i,,,trans yi#,0,well-formedness:OK
91,92,None,LEXICON,[STEM-IV],Ha*af,H*if,IV,"[KEV] to throw, throw away, cast, hurl+to delete, omit, drop, take, take away",pos:verb asp:i vox:a mod:i,,,trans yi#,0,well-formedness:OK
92,93,None,LEXICON,[STEM-IV],ra>af,r>af,IV,"[KEV] to show mercy, be kind, merciful",pos:verb asp:i vox:a mod:i,,,intrans yi#,5,well-formedness:OK
93,95,None,LEXICON,[STEM-IV],samaH,smaH,IV,"[KEV] to permit, allow, grant permission",pos:verb asp:i vox:a mod:i,,,intrans yi#,4,well-formedness:OK
94,96,None,LEXICON,[STEM-IV],xaraj,xrij,IV,"[KEV] to go out, walk out+to come out, emerge from+to drive or ride out, go out (in a vehicle)+to disagree with, disobey",pos:verb asp:i vox:a mod:i,,,intrans yi#,4,well-formedness:OK
95,97,None,LEXICON,[STEM-IV],Eaqad,Eqid,IV,"[KEV] to hold (a meeting, a session, etc.)+to conclude, effect a transaction+to sign a marriage contract with+to knot, tie",pos:verb asp:i vox:a mod:i,,,trans yi#,0,well-formedness:OK
96,98,None,LEXICON,[STEM-IV],jA,j,IV,"[KEV] to come, come to+to come in order to do s.th.+to befall, descend upon+to come to, come one's way+to fit, be big enough",pos:verb asp:i vox:a mod:i,,,trans yi# #-iy,-3,well-formedness:OK
97,99,None,LEXICON,[STEM-IV],maSaE,mSaE,IV,[MEERA] to take sth off harshly,pos:verb asp:i vox:a mod:i,,,trans yi#,0,well-formedness:OK
