,LINE,ROOT,DEFINE,CLASS,LEMMA,FORM,BW,GLOSS,FEAT,COND-T,COND-F,COND-S,INTRANS_SCORE,STATUS
0,1,None,LEXICON,[STEM-PV],tbax$a$,tbax$a$,PV,[KEV] to be tipped+to be bribed,pos:verb asp:p vox:a mod:i,,,intrans,4,well-formedness:OK
1,2,None,LEXICON,[STEM-PV],bax$a$,bax$a$,PV,"[KEV] to tip s.o., give a tip to s.o.+to bribe",pos:verb asp:p vox:a mod:i,,,trans,0,well-formedness:OK
2,3,None,LEXICON,[STEM-PV],maSTar,maSTar,PV,[KEV] to draw lines (on a sheet of paper) with a ruler,pos:verb asp:p vox:a mod:i,,,trans,0,well-formedness:OK
3,4,None,LEXICON,[STEM-PV],EarmaT,EarmaT,PV,"[KEV] to have a ravenous appetite, to eat ravenously",pos:verb asp:p vox:a mod:i,,,trans,0,well-formedness:OK
4,5,None,LEXICON,[STEM-PV],tlagwan,tlagwan,PV,[MEERA] to walk slowly,pos:verb asp:p vox:a mod:i,,,#n trans,0,well-formedness:OK
5,6,None,LEXICON,[STEM-PV],jazaY,jaz,PV,"[KEV] to reward, give",pos:verb asp:p vox:a mod:i,,,trans #-ay,0,well-formedness:OK
6,7,None,LEXICON,[STEM-PV],TabaE,Taba#E,PV,[KEV] to drown+to sink+to type+to print,pos:verb asp:p vox:a mod:i,,,trans,0,well-formedness:OK
7,8,None,LEXICON,[STEM-PV],walaE,wala#E,PV,[KEV] to love s.o.,pos:verb asp:p vox:a mod:i,,,intrans,4,well-formedness:OK
8,9,None,LEXICON,[STEM-PV],Hakam,Hakam,PV,"[KEV] to govern, rule+to sentence s.o.+to pass judgment, express an opinion, judge+to deliver a judgment, rule+to be due, come due, arrive (prayer time)",pos:verb asp:p vox:a mod:i,,,trans,-2,well-formedness:OK
9,10,None,LEXICON,[STEM-PV],zaT~,zaT~,PV,[MEERA] to excessively eat,pos:verb asp:p vox:a mod:i,,,trans gem,0,well-formedness:OK
10,11,None,LEXICON,[STEM-PV],TA$,Ti$,PV,"[KEV] to boil over+to be or become furious, very upset",pos:verb asp:p vox:a mod:i,c-suff,,intrans hollow,5,well-formedness:OK
11,12,None,LEXICON,[STEM-PV],TA$,TA$,PV,"[KEV] to boil over+to be or become furious, very upset",pos:verb asp:p vox:a mod:i,n-suff||v-suff,,intrans hollow,5,well-formedness:OK
12,13,None,LEXICON,[STEM-PV],EA*,Ei*,PV,"[KEV] (used when something evil, shameful, etc. , is mentioned) God forbid!",pos:verb asp:p vox:a mod:i,c-suff,,trans,0,well-formedness:OK
13,14,None,LEXICON,[STEM-PV],EA*,EA*,PV,"[KEV] (used when something evil, shameful, etc. , is mentioned) God forbid!",pos:verb asp:p vox:a mod:i,n-suff||v-suff,,trans,0,well-formedness:OK
14,15,None,LEXICON,[STEM-PV],qadar,qada#r,PV,"[KEV] to be able to, be capable of+to have power over s.o., be master of",pos:verb asp:p vox:a mod:i,,,intrans,5,well-formedness:OK
15,16,None,LEXICON,[STEM-PV],TAr,Tir,PV,"[KEV] to fly off, fly away, take off+to fly up",pos:verb asp:p vox:a mod:i,c-suff,,intrans hollow,4,well-formedness:OK
16,17,None,LEXICON,[STEM-PV],TAr,TAr,PV,"[KEV] to fly off, fly away, take off+to fly up",pos:verb asp:p vox:a mod:i,n-suff||v-suff,,intrans hollow,4,well-formedness:OK
17,18,None,LEXICON,[STEM-PV],jagam,jagam,PV,[KEV] to gulp,pos:verb asp:p vox:a mod:i,,,trans,0,well-formedness:OK
18,19,None,LEXICON,[STEM-PV],daEas,daEa#s,PV,"[KEV] to knock down, run over+to tread underfoot, trample down",pos:verb asp:p vox:a mod:i,,,trans,0,well-formedness:OK
19,20,None,LEXICON,[STEM-PV],Earak,Earak,PV,[KEV] to rub,pos:verb asp:p vox:a mod:i,,,trans,0,well-formedness:OK
20,21,None,LEXICON,[STEM-PV],nahaY,nah,PV,[KEV] to tell s.o. not to do s.th.,pos:verb asp:p vox:a mod:i,,,trans #-ay,0,well-formedness:OK
21,22,None,LEXICON,[STEM-PV],naSaH,naSa#H,PV,"[KEV] to advise, counsel s.o.",pos:verb asp:p vox:a mod:i,,,trans,0,well-formedness:OK
22,23,None,LEXICON,[STEM-PV],Hamad,Hamad,PV,"[KEV] to praise, commend, laud",pos:verb asp:p vox:a mod:i,,,trans,0,well-formedness:OK
23,24,None,LEXICON,[STEM-PV],kad~,kad~,PV,"[KEV] to work hard, labor, toil",pos:verb asp:p vox:a mod:i,,,trans gem,0,well-formedness:OK
24,236,None,LEXICON,[STEM-PV],bAH-u,biH,PV,"[KEV] to be revealed, leaked out+to reveal",pos:verb asp:p vox:a mod:i,c-suff,,intrans,5,well-formedness:OK
25,26,None,LEXICON,[STEM-PV],nataf,nataf,PV,"[KEV] to pluck, pull out (feathers)",pos:verb asp:p vox:a mod:i,,,trans,0,well-formedness:OK
26,27,None,LEXICON,[STEM-PV],gAr,gir,PV,"[KEV] to invade, attack, raid",pos:verb asp:p vox:a mod:i,c-suff,,trans hollow,0,well-formedness:OK
27,28,None,LEXICON,[STEM-PV],gAr,gAr,PV,"[KEV] to invade, attack, raid",pos:verb asp:p vox:a mod:i,n-suff||v-suff,,trans hollow,0,well-formedness:OK
28,29,None,LEXICON,[STEM-PV],TAb,Tib,PV,"[KEV] to be or become pleasant, enjoyable, agreeable+to heal, recover (from an illness)",pos:verb asp:p vox:a mod:i,c-suff,,intrans hollow,5,well-formedness:OK
29,30,None,LEXICON,[STEM-PV],TAb,TAb,PV,"[KEV] to be or become pleasant, enjoyable, agreeable+to heal, recover (from an illness)",pos:verb asp:p vox:a mod:i,n-suff||v-suff,,intrans hollow,5,well-formedness:OK
30,32,None,LEXICON,[STEM-PV],xaTaY,xaT,PV,"[KEV] to make a mistake, commit an error",pos:verb asp:p vox:a mod:i,,,trans #-ay,0,well-formedness:OK
31,33,None,LEXICON,[STEM-PV],baT~,baT~,PV,"[KEV] to knock out, gouge out+to pop (a balloon)",pos:verb asp:p vox:a mod:i,,,trans gem,0,well-formedness:OK
32,34,None,LEXICON,[STEM-PV],da$~,da$~,PV,"[KEV] to enter, go in+to report for duty, go to work+to drop in on s.o.",pos:verb asp:p vox:a mod:i,,,trans gem,0,well-formedness:OK
33,35,None,LEXICON,[STEM-PV],$AE,$iE,PV,"[KEV] to spread, become known or widespread",pos:verb asp:p vox:a mod:i,c-suff,,intrans hollow,4,well-formedness:OK
34,36,None,LEXICON,[STEM-PV],$AE,$AE,PV,"[KEV] to spread, become known or widespread",pos:verb asp:p vox:a mod:i,n-suff||v-suff,,intrans hollow,4,well-formedness:OK
35,37,None,LEXICON,[STEM-PV],TAE,TiE,PV,"[KEV] to obey, be obedient+to heed+[MEERA] to agree",pos:verb asp:p vox:a mod:i,c-suff,,intrans hollow,3,well-formedness:OK
36,38,None,LEXICON,[STEM-PV],TAE,TAE,PV,"[KEV] to obey, be obedient+to heed+[MEERA] to agree",pos:verb asp:p vox:a mod:i,n-suff||v-suff,,intrans hollow,3,well-formedness:OK
37,39,None,LEXICON,[STEM-PV],EAm,Eim,PV,[KEV] to swim+to float,pos:verb asp:p vox:a mod:i,c-suff,,trans,0,well-formedness:OK
38,40,None,LEXICON,[STEM-PV],EAm,EAm,PV,[KEV] to swim+to float,pos:verb asp:p vox:a mod:i,n-suff||v-suff,,trans,0,well-formedness:OK
39,41,None,LEXICON,[STEM-PV],qabal,qaba#l,PV,[KEV] to accept+to agree to s.th.+to admit,pos:verb asp:p vox:a mod:i,,,trans,0,well-formedness:OK
40,42,None,LEXICON,[STEM-PV],fAt,fit,PV,"[KEV] to go, pass+to pass, go by",pos:verb asp:p vox:a mod:i,c-suff,,#t trans,0,well-formedness:OK
