,LINE,ROOT,PATTERN,PATTERN_ABSTRACT,DEFINE,CLASS,BW,LEMMA,FORM,GLOSS,COND-T,COND-S,D3SEG,D3TOK,D2SEG,D2TOK,D1SEG,D1TOK,ATBSEG,ATBTOK,UD,CATIB6,FEAT,POS,FEAT_OLD,STATUS,COMMENTS,NOTES,#CLASS
0,1,m.r.>,NTWS,NTWS,LEXICON,[STEM-ACCUSATIVE],NOUN,{imoru&,{imor,man,MS||MD,#a>,,,,,,,,,NOUN,NOM,pos:noun gen:- num:- rat:r cas:a,noun,pos:noun gen:- num:- rat:r cas:a,,,,[STEM-NOM]
1,2,m.r.>,NTWS,NTWS,LEXICON,[STEM-GENITIVE],NOUN,{imoru&,{imori},man,MS||MD,,,,,,,,,,NOUN,NOM,pos:noun gen:- num:- rat:r cas:g,noun,pos:noun gen:- num:- rat:r cas:g,,,,[STEM-NOM]
2,3,m.r.>,NTWS,NTWS,LEXICON,[STEM-NOMINATIVE],NOUN,{imoru&,{imor,man,MS||MD,#u&,,,,,,,,,NOUN,NOM,pos:noun gen:- num:- rat:r cas:n,noun,pos:noun gen:- num:- rat:r cas:n,,,,[STEM-NOM]
3,4,m.r.>,NTWS,NTWS,LEXICON,[STEM-ACCUSATIVE],NOUN_PROP,{imoru&,{imor,man,MS||MD,#a>,,,,,,,,,PROPN,NOM,pos:noun_prop gen:- num:- rat:r cas:a,noun_prop,pos:noun_prop gen:- num:- rat:r cas:a,,,,[STEM-NOM]
4,5,m.r.>,NTWS,NTWS,LEXICON,[STEM-GENITIVE],NOUN_PROP,{imoru&,{imori},man,MS||MD,,,,,,,,,,PROPN,NOM,pos:noun_prop gen:- num:- rat:r cas:g,noun_prop,pos:noun_prop gen:- num:- rat:r cas:g,,,,[STEM-NOM]
5,6,m.r.>,NTWS,NTWS,LEXICON,[STEM-NOMINATIVE],NOUN_PROP,{imoru&,{imor,man,MS||MD,#u&,,,,,,,,,PROPN,NOM,pos:noun_prop gen:- num:- rat:r cas:n,noun_prop,pos:noun_prop gen:- num:- rat:r cas:n,,,,[STEM-NOM]
6,7,s.m.y,NTWS,NTWS,LEXICON,[STEM-CONJ],bi/PREP+{isom/NOUN+i/CASE_DEF_GEN,{isom,bisomi,in/by_the_name_of,,,bi+_somi,bi+_{isomi,bi+_somi,bi+_{isomi,,,bi+_somi,bi+_{isomi,ADP+NOUN,PRT+NOM,pos:noun prc1:bi_prep gen:m num:s stt:c cas:g,noun,pos:noun prc1:bi_prep gen:m num:s stt:c cas:g,,,,[STEM-NOM]
7,8,*.w.y,NTWS,NTWS,LEXICON,[STEM-CONJ-PREP],ABBREV,*,*,DH.;25th,,,,,,,,,,,NOUN,NOM,pos:abbrev,abbrev,pos:abbrev,,,,[STEM-BASE]
8,9,*.w.y,NTWS,NTWS,LEXICON,[STEM-CONJ-PREP],DEM_PRON_MS,*a`lika,*a`lika,that;those,,,,,,,,,,,DET,NOM,pos:pron_dem rat:n gen:m num:s cas:u stt:i,pron_dem,pos:pron_dem rat:n gen:m num:s cas:u stt:i,,,,[STEM-BASE]
9,10,*.w.y,NTWS,NTWS,LEXICON,[STEM-CONJ-PREP],DEM_PRON_F,*a`lika,tiloka,that;those,,,,,,,,,,,DET,NOM,pos:pron_dem rat:n gen:f num:s cas:u stt:i,pron_dem,pos:pron_dem rat:n gen:f num:s cas:u stt:i,,,,[STEM-BASE]
10,11,*.w.y,NTWS,NTWS,LEXICON,[STEM-CONJ-PREP],DEM_PRON_MP,*a`lika,*a`likum%m,that;those,,,,,,,,,,,DET,NOM,pos:pron_dem rat:n gen:m num:p cas:u stt:i,pron_dem,pos:pron_dem rat:n gen:m num:p cas:u stt:i,,,,[STEM-BASE]
11,12,*.w.y,NTWS,NTWS,LEXICON,[STEM-CONJ-PREP],DEM_PRON_FS,*a`lika,tilokum%m,that;those,,,,,,,,,,,DET,NOM,pos:pron_dem rat:n gen:f num:s cas:u stt:i,pron_dem,pos:pron_dem rat:n gen:f num:s cas:u stt:i,,,,[STEM-BASE]
12,13,*.w.y,NTWS,NTWS,LEXICON,[STEM-CONJ-PREP],DEM_PRON_D,*a`lika,*a`likumaA,that;those,,,,,,,,,,,DET,NOM,pos:pron_dem rat:n gen:- num:d cas:u stt:i,pron_dem,pos:pron_dem rat:n gen:- num:d cas:u stt:i,,,,[STEM-BASE]
13,14,*.w.y,NTWS,NTWS,LEXICON,[STEM-CONJ-PREP],DEM_PRON_MS,*a`lika,*a`likun~a,that;those,,,,,,,,,,,DET,NOM,pos:pron_dem rat:n gen:f num:p cas:u stt:i,pron_dem,pos:pron_dem rat:n gen:f num:p cas:u stt:i,,,,[STEM-BASE]
14,15,*.w.y,NTWS,NTWS,LEXICON,[STEM-CONJ-PREP],DEM_PRON_MS,*aA,*aA,this;that;these;those,,,,,,,,,,,DET,NOM,pos:pron_dem rat:n gen:m num:s cas:u stt:i,pron_dem,pos:pron_dem rat:n gen:m num:s cas:u stt:i,,,,[STEM-BASE]
15,16,*.w.y,NTWS,NTWS,LEXICON,[STEM-CONJ],DEM_PRON_MD,*aA,*aAna,this;that;these;those,,,,,,,,,,,DET,NOM,pos:pron_dem rat:n gen:m num:d cas:n stt:i,pron_dem,pos:pron_dem rat:n gen:m num:d cas:n stt:i,,,,[STEM-BASE]
16,17,*.w.y,NTWS,NTWS,LEXICON,[STEM-CONJ-PREP],DEM_PRON_MD,*aA,*ayna,this;that;these;those,,,,,,,,,,,DET,NOM,pos:pron_dem rat:n gen:m num:d cas:g stt:i,pron_dem,pos:pron_dem rat:n gen:m num:d cas:g stt:i,,,,[STEM-BASE]
17,18,*.w.y,NTWS,NTWS,LEXICON,[STEM-CONJ],DEM_PRON_MD,*aA,*ayna,this;that;these;those,,,,,,,,,,,DET,NOM,pos:pron_dem rat:n gen:m num:d cas:a stt:i,pron_dem,pos:pron_dem rat:n gen:m num:d cas:a stt:i,,,,[STEM-BASE]
18,19,*.w.y,NTWS,NTWS,LEXICON,[STEM-CONJ],DEM_PRON_FD,*aA,taAni,this;that;these;those,,,,,,,,,,,DET,NOM,pos:pron_dem rat:n gen:f num:d cas:n stt:i,pron_dem,pos:pron_dem rat:n gen:f num:d cas:n stt:i,,,,[STEM-BASE]
19,20,*.w.y,NTWS,NTWS,LEXICON,[STEM-CONJ],DEM_PRON_FD,*aA,tayoni,this;that;these;those,,,,,,,,,,,DET,NOM,pos:pron_dem rat:n gen:f num:d cas:a stt:i,pron_dem,pos:pron_dem rat:n gen:f num:d cas:a stt:i,,,,[STEM-BASE]
