,PATTERN,COND-T,COND-S,#LEMMA,#FORM,MATCH,SUB,COND-T-PASS,COND-S-PASS,Test,Color,Comments,STATUS
0,{i1o2a3~,v-suff,a-# gem,{i$oqar~_1,$oqar~,(.).(.).(.)~,$1o$2a$3~,v-suff,u-# gem,$oqar~,0,,DONE
1,{i1o2a3~,c-suff,a-# gem,{i$oqar~_1,$oqarir,(.).(.).(.).(.),$1o$2a$3a$4,c-suff,u-# gem,$oqarar,0,,DONE
2,{i1owa3~,v-suff,a-# gem,{iEowaj~_1,Eowaj~,(.).(.).(.)~,$1o$2a$3~,v-suff,u-# gem,Eowaj~,1,,DONE
3,{i1owa3~,c-suff,a-# gem,{iEowaj~_1,Eowajij,(.).(.).(.).(.),$1o$2a$3a$4,c-suff,u-# gem,Eowajaj,1,,DONE
4,{i1oya3~,v-suff,a-# gem,{iboyaD~_1,boyaD~,(.).(.).(.)~,$1o$2a$3~,v-suff,u-# gem,boyaD~,0,,DONE
5,{i1oya3~,c-suff,a-# gem,{iboyaD~_1,boyaDaD,(.).(.).(.).(.),$1o$2a$3a$4,c-suff,u-# gem,boyaDaD,0,,DONE
6,{i1o2a3a4~,v-suff,a-# gem,{i$omaxar~_1,$omaxir~,(.).(.).(.).(.)~,$1o$2a$3a$4~,v-suff,u-# gem,$omaxar~,1,,DONE
7,{i1o2a3a4~,c-suff,a-# gem,{i$omaxar~_1,$omaxorir,(.).(.).(.).(.).(.),$1o$2a$3o$4a$5,c-suff,u-# gem,$omaxorar,1,,DONE
8,{i1o2a>a4~,v-suff,a-# gem,{i$oma>az~_1,$oma}iz~,(.).(.).(.).(.)~,$1o$2a>a$4~,v-suff,u-# gem,$oma>az~,0,,DONE
9,{i1o2a>a4~,c-suff,a-# gem,{i$oma>az~_1,$oma>oziz,(.).(.).(.).(.).(.),$1o$2a$3o$4a$5,c-suff,u-# gem,$oma>ozaz,0,,DONE
10,{i1o2a>a4~,v-suff,a-# #n gem,{iToma>an~_1,Toma}in~,(.).(.).(.).(.)~,$1o$2a>a$4~,v-suff,u-# #n gem,Toma>an~,0,,DONE
11,{i1o2a>a4~,c-suff,a-# #n gem,{iToma>an~_1,Toma>onin,(.).(.).(.).(.).(.),$1o$2a$3o$4a$5,c-suff,u-# #n gem,Toma>onan,0,,DONE
12,{i1o2aAo4~,v-suff,a-# gem,{iSohaAb~_1,SohaAb~,(.).(.)aA(.)~,$1o$2aA$3~,v-suff,u-# gem,SohaAb~,1,,DONE
13,{i1o2aAo4~,c-suff,a-# gem,{iSohaAb~_1,SohaAbab,(.).(.)aA(.).(.),$1o$2aA$3a$4,c-suff,u-# gem,SohaAbab,1,,DONE
14,{i1o2ano3a4,,a-#,{iqoEanosas_1,qoEanosis,(.).(.).(.).(.).(.),$1o$2a$3o$4a$5,,u-#,qoEanosas,0,,DONE
15,{i1o2awo2a3,,a-#,{iEo$awo$ab_1,Eo$awo$ib,(.).(.).(.).(.).(.),$1o$2a$3o$4a$5,,u-#,Eo$awo$ab,1,,DONE
16,{i1o2awo2a3,,a-# #n,{igodawodan_1,godawodin,(.).(.).(.).(.).(.),$1o$2a$3o$4a$5,,u-# #n,godawodan,1,,DONE
17,{i1ota2a3,,a-#,{ibotaEav_1,botaEiv,(.).(.).(.).(.),$1o$2a$3a$4,,u-#,botaEav,0,,DONE
18,{i1ota2a3,,a-# #n,{iDoTaban_1,DoTabin,(.).(.).(.).(.),$1o$2a$3a$4,,u-# #n,DoTaban,0,,DONE
19,{i1ota2a>,,a-#,{ibotada>_1,botadi},(.).(.).(.).(.),$1o$2a$3,,u-# #-a>,botad,1,,DONE
20,{i1ota2aY,,a-# #-iy,{irotamaY_1,rotam,(.).(.).(.),$1o$2a$3,,u-# #-aY,rotam,0,,DONE
21,{i1ota2~,v-suff,a-# gem,{i$otaT~_1,$otaT~,(.).(.).(.)~,$1o$2a$3~,v-suff,u-# gem,$otaT~,1,,DONE
22,{i1ota2~,c-suff,a-# gem,{i$otaT~_1,$otaTiT,(.).(.).(.).(.),$1o$2a$3a$4,c-suff,u-# gem,$otaTaT,1,,DONE
23,{i1ota2~,v-suff,a-# #n gem,{ifotan~_1,fotan~,(.).(.).(.)~,$1o$2a$3~,v-suff,u-# #n gem,fotan~,1,,DONE
24,{i1ota2~,c-suff,a-# #n gem,{ifotan~_1,fotanin,(.).(.).(.).(.),$1o$2a$3a$4,c-suff,u-# #n gem,fotanan,1,,DONE
25,{i1ota>a3,,a-#,{ibota>as_1,bota}is,(.).(.).(.).(.),$1o$2a>a$4,,u-#,bota>as,0,,DONE
26,{i1ota>aY,,a-# #-}iy,{irota>aY_1,rota,(.).(.).,$1o$2a>,,u-# #-aY,rota>,1,,DONE
27,{i1otaAo3,v-suff,a-#,{iEotaAD_1,EotaAD,(.).(.)aA(.),$1o$2aA$3,v-suff,u-#,EotaAD,0,,DONE
28,{i1otaAo3,c-suff,a-#,{iEotaAD_1,EotaD,(.).(.).(.),$1o$2a$3,c-suff,u-#,EotaD,0,,DONE
29,{i1otaAo3,c-suff,a-# #n,{ixotaAn_1,xotan,(.).(.).(.),$1o$2a$3,c-suff,u-# #n,xotan,0,,DONE
30,{i1otaAo3,v-suff,a-# #n,{ixotaAn_1,xotaAn,(.).(.)aA(.),$1o$2aA$3,v-suff,u-# #n,xotaAn,0,,DONE
31,{i1otaAo>,,a-# #-A',{isotaA'_1,st,(.)(.),$1$2,,u-# #-A',st,1,,DONE
32,{i1otawa3,,a-#,{iEotawar_1,Eotawir,(.).(.).(.).(.),$1o$2a$3a$4,,u-#,Eotawar,0,,DONE
33,{i1otawaY,,a-# #-iy,{iHotawaY_1,Hotaw,(.).(.).(.).(.),$1o$2a$3a$4,,u-# #-aY,Hotaw,1,,DONE
34,{it~a2a3,,a-#,{it~a$aH_1,t~a$iH,(.)~.(.).(.),$1~a$2a$3,,u-#,t~a$aH,0,,DONE
35,{i1~a2a3,,a-#,{it~a$aH_1,t~a$iH,(.)~.(.).(.),$1~a$2a$3,,u-#,t~a$aH,1,,DONE
36,{it~a2a>,,a-#,{it~aka>_1,t~aki},(.)~.(.).(.),$1~a$2,,u-# #-a>,t~ak,1,,DONE
37,{it~a2aY,,a-# #-iy,{it~aqaY_1,t~aq,(.)~.(.),$1~a$2,,u-# #-aY,t~aq,0,,DONE
38,{i1~a2aY,,a-# #-iy,{it~aqaY_1,t~aq,(.)~.(.),$1~a$2,,u-# #-aY,t~aq,1,,DONE
39,{it~a>a3,,a-#,{it~a>ad_1,t~a}id,(.)~.(.).(.),$1~a>a$3,,u-#,t~a>ad,1,,DONE
40,{it~aAo3,c-suff,a-#,{id~aAH_1,d~aH,(.)~.(.),$1~a$2,c-suff,u-#,d~aH,0,,DONE
41,{it~aAo3,v-suff,a-#,{id~aAH_1,d~aAH,(.)~aA(.),$1~aA$2,v-suff,u-#,d~aAH,0,,DONE
42,{i>ota2a3,,a-# >-# #n,{i}otaman_1,tamin,(.).(.).(.),$1a$2a$3,,u-# >-# #n,taman,1,,DONE
43,{ino1a2a3,,a-#,{inobasaT_1,nobasiT,(.).(.).(.).(.),$1o$2a$3a$4,,u-#,nobasaT,0,,DONE
44,{ino1a2a3,,a-# #n,{inodafan_1,nodafin,(.).(.).(.).(.),$1o$2a$3a$4,,u-# #n,nodafan,0,,DONE
45,{ino1a2a>,,a-#,{inokafa>_1,nokafi},(.).(.).(.).(.),$1o$2a$3a>,,u-#,nokafa>,1,,DONE
46,{ino1a2aY,,a-# #-iy,{inobanaY_1,noban,(.).(.).(.),$1o$2a$3,,u-# #-aY,noban,0,,DONE
47,{ino1a2~,v-suff,a-# gem,{ino$al~_1,no$al~,(.).(.).(.)~,$1o$2a$3~,v-suff,u-# gem,no$al~,1,,DONE
48,{ino1a2~,c-suff,a-# gem,{ino$al~_1,no$alil,(.).(.).(.).(.),$1o$2a$3a$4,c-suff,u-# gem,no$alal,1,,DONE
49,{ino1a>aY,,a-# #-}iy,{inota>aY_1,nota,(.).(.).,$1o$2a,,u-# #->ay,nota,0,,DONE
50,{ino1aAo3,v-suff,a-#,{inobaAE_1,nobaAE,(.).(.)aA(.),$1o$2aA$3,v-suff,u-#,nobaAE,1,,DONE
51,{ino1aAo3,c-suff,a-#,{inobaAE_1,nobaE,(.).(.).(.),$1o$2a$3,c-suff,u-#,nobaE,1,,DONE
52,{ino1awa3,,a-#,{inohawas_1,nohawis,(.).(.).(.).(.),$1o$2a$3a$4,,u-#,nohawas,0,,DONE
53,{ino1awaY,,a-# #-iy,{inoDawaY_1,noDaw,(.).(.).(.),$1o$2a$3,,u-# #-aY,noDaw,1,,DONE
54,{isota1a2~,v-suff,a-# gem,{isotadaq~_1,sotadiq~,(.).(.).(.).(.)~,$1o$2a$3a$4~,v-suff,u-# gem,sotadaq~,0,,DONE
55,{isota1a2~,c-suff,a-# gem,{isotadaq~_1,sotadoqiq,(.).(.).(.).(.).(.),$1o$2a$3o$4a$5,c-suff,u-# gem,sotadoqaq,0,,DONE
56,{isota1a2~,v-suff,a-# #n gem,{isotakan~_1,sotakin~,(.).(.).(.).(.)~,$1o$2a$3a$4~,v-suff,u-# #n gem,sotakan~,0,,DONE
57,{isota1a2~,c-suff,a-# #n gem,{isotakan~_1,sotakonin,(.).(.).(.).(.).(.),$1o$2a$3o$4a$5,c-suff,u-# #n gem,sotakonan,0,,DONE
58,{isota1aAo3,v-suff,a-#,{isotaTaAE_1,sotaTiyE,(.).(.).(.).(.)(.),$1o$2a$3aA$5,v-suff,u-#,sotaTaAE,1,,DONE
59,{isota1aAo3,c-suff,a-#,{isotaTaAE_1,sotaTiE,(.).(.).(.).(.),$1o$2a$3a$4,c-suff,u-#,sotaTaE,1,,DONE
60,{isota1aAo3,v-suff,a-# #n,{isotabaAn_1,sotabiyn,(.).(.).(.).(.)(.),$1o$2a$3aA$5,v-suff,u-# #n,sotabaAn,1,,DONE
61,{isota1aAo3,c-suff,a-# #n,{isotabaAn_1,sotabin,(.).(.).(.).(.),$1o$2a$3a$4,c-suff,u-# #n,sotaban,1,,DONE
62,1aAya>,,u-#,haAya>_1,haAyi},(.)aA(.).(.),$1aA$2a>,,u-#,haAya>,0,,DONE
63,{isota1o2a3,,a-#,{isotaTorad_1,sotaTorid,(.).(.).(.).(.).(.),$1o$2a$3o$4a$5,,u-#,sotaTorad,1,,DONE
64,{isota1o2a3,,a-# #n,{isotaboTan_1,sotaboTin,(.).(.).(.).(.).(.),$1o$2a$3o$4a$5,,u-# #n,sotaboTan,1,,DONE
65,{isota1o2a>,,a-#,{isotabora>_1,sotabori},(.).(.).(.).(.).(.),$1o$2a$3o$4a>,,u-#,sotabora>,0,,DONE
66,{isota1o2aY,,a-# #-iy,{isota*okaY_1,sota*ok,(.).(.).(.).(.),$1o$2a$3o$4,,u-# #-aY,sota*ok,1,,DONE
67,{isota1o>a3,,a-#,{isota$o>am_1,sota$o}im,(.).(.).(.).(.).(.),$1o$2a$3o>a$5,,u-#,sota$o>am,0,,DONE
68,{isota1owa3,,a-#,{isotagowar_1,sotagowir,(.).(.).(.).(.).(.),$1o$2a$3o$4a$5,,u-#,sotagowar,1,,DONE
69,{isota1owa3,,a-# #n,{isotahowan_1,sotahowin,(.).(.).(.).(.).(.),$1o$2a$3o$4a$5,,u-# #n,sotahowan,1,,DONE
