,LINE,EXCLUDE,DEFINE,VARIANT,CLASS,SCOPE,PREFIX,STEM,SUFFIX,PREFIX-SHORT,STEM-SHORT,SUFFIX-SHORT,
0,,,,,,,,,,,,,
1,1,PV,ORDER,MSA,VERBAL,pos:verb,[QUES] [CONJ] [VPART.P],[STEM-PV] [PVBuff],[PVSuff] [PRON.V] [PRON2],[P],[P],[P],Perfective
2,,,,,,,,,,,,,
3,2,IV IND,ORDER,MSA,VERBAL,pos:verb,[QUES] [CONJ] [VPART.I] [IVPref.1P] [IVPreBuff],[STEM-IV] [IVBuff],[IVSuff.I.1P] [PRON.V] [PRON2],[I1P.I],[I],[I1P.I],Imperfective+indicative
4,3,IV IND,ORDER,MSA,VERBAL,pos:verb,[QUES] [CONJ] [VPART.I] [IVPref.1S] [IVPreBuff],[STEM-IV] [IVBuff],[IVSuff.I.1S] [PRON.V] [PRON2],[I1S.I],[I],[I1S.I],
5,4,IV IND,ORDER,MSA,VERBAL,pos:verb,[QUES] [CONJ] [VPART.I] [IVPref.2D] [IVPreBuff],[STEM-IV] [IVBuff],[IVSuff.I.2D] [PRON.V] [PRON2],[I2D.I],[I],[I2D.I],
6,5,IV IND,ORDER,MSA,VERBAL,pos:verb,[QUES] [CONJ] [VPART.I] [IVPref.2FP] [IVPreBuff],[STEM-IV] [IVBuff],[IVSuff.I.2FP] [PRON.V] [PRON2],[I2FP.I],[I],[I2FP.I],
7,6,IV IND,ORDER,MSA,VERBAL,pos:verb,[QUES] [CONJ] [VPART.I] [IVPref.2FS] [IVPreBuff],[STEM-IV] [IVBuff],[IVSuff.I.2FS] [PRON.V] [PRON2],[I2FS.I],[I],[I2FS.I],
8,7,IV IND,ORDER,MSA,VERBAL,pos:verb,[QUES] [CONJ] [VPART.I] [IVPref.2MP] [IVPreBuff],[STEM-IV] [IVBuff],[IVSuff.I.2MP] [PRON.V] [PRON2],[I2MP.I],[I],[I2MP.I],
9,8,IV IND,ORDER,MSA,VERBAL,pos:verb,[QUES] [CONJ] [VPART.I] [IVPref.2MS] [IVPreBuff],[STEM-IV] [IVBuff],[IVSuff.I.2MS] [PRON.V] [PRON2],[I2MS.I],[I],[I2MS.I],
10,9,IV IND,ORDER,MSA,VERBAL,pos:verb,[QUES] [CONJ] [VPART.I] [IVPref.3FD] [IVPreBuff],[STEM-IV] [IVBuff],[IVSuff.I.3FD] [PRON.V] [PRON2],[I3FD.I],[I],[I3FD.I],
11,10,IV IND,ORDER,MSA,VERBAL,pos:verb,[QUES] [CONJ] [VPART.I] [IVPref.3FP] [IVPreBuff],[STEM-IV] [IVBuff],[IVSuff.I.3FP] [PRON.V] [PRON2],[I3FP.I],[I],[I3FP.I],
12,11,IV IND,ORDER,MSA,VERBAL,pos:verb,[QUES] [CONJ] [VPART.I] [IVPref.3FS] [IVPreBuff],[STEM-IV] [IVBuff],[IVSuff.I.3FS] [PRON.V] [PRON2],[I3FS.I],[I],[I3FS.I],
13,12,IV IND,ORDER,MSA,VERBAL,pos:verb,[QUES] [CONJ] [VPART.I] [IVPref.3MD] [IVPreBuff],[STEM-IV] [IVBuff],[IVSuff.I.3MD] [PRON.V] [PRON2],[I3MD.I],[I],[I3MD.I],
14,13,IV IND,ORDER,MSA,VERBAL,pos:verb,[QUES] [CONJ] [VPART.I] [IVPref.3MP] [IVPreBuff],[STEM-IV] [IVBuff],[IVSuff.I.3MP] [PRON.V] [PRON2],[I3MP.I],[I],[I3MP.I],
15,14,IV IND,ORDER,MSA,VERBAL,pos:verb,[QUES] [CONJ] [VPART.I] [IVPref.3MS] [IVPreBuff],[STEM-IV] [IVBuff],[IVSuff.I.3MS] [PRON.V] [PRON2],[I3MS.I],[I],[I3MS.I],
16,15,IV SUB,ORDER,MSA,VERBAL,pos:verb,[QUES] [CONJ] [VPART.S] [IVPref.1P] [IVPreBuff],[STEM-IV] [IVBuff],[IVSuff.S.1P] [PRON.V] [PRON2],[I1P.S],[I],[I1P.S],Imperfective+subjunctive
17,16,IV SUB,ORDER,MSA,VERBAL,pos:verb,[QUES] [CONJ] [VPART.S] [IVPref.1S] [IVPreBuff],[STEM-IV] [IVBuff],[IVSuff.S.1S] [PRON.V] [PRON2],[I1S.S],[I],[I1S.S],
18,17,IV SUB,ORDER,MSA,VERBAL,pos:verb,[QUES] [CONJ] [VPART.S] [IVPref.2D] [IVPreBuff],[STEM-IV] [IVBuff],[IVSuff.S.2D] [PRON.V] [PRON2],[I2D.S],[I],[I2D.S],
19,18,IV SUB,ORDER,MSA,VERBAL,pos:verb,[QUES] [CONJ] [VPART.S] [IVPref.2FP] [IVPreBuff],[STEM-IV] [IVBuff],[IVSuff.S.2FP] [PRON.V] [PRON2],[I2FP.S],[I],[I2FP.S],
20,19,IV SUB,ORDER,MSA,VERBAL,pos:verb,[QUES] [CONJ] [VPART.S] [IVPref.2FS] [IVPreBuff],[STEM-IV] [IVBuff],[IVSuff.S.2FS] [PRON.V] [PRON2],[I2FS.S],[I],[I2FS.S],
21,20,IV SUB,ORDER,MSA,VERBAL,pos:verb,[QUES] [CONJ] [VPART.S] [IVPref.2MP] [IVPreBuff],[STEM-IV] [IVBuff],[IVSuff.S.2MP] [PRON.V] [PRON2],[I2MP.S],[I],[I2MP.S],
22,21,IV SUB,ORDER,MSA,VERBAL,pos:verb,[QUES] [CONJ] [VPART.S] [IVPref.2MS] [IVPreBuff],[STEM-IV] [IVBuff],[IVSuff.S.2MS] [PRON.V] [PRON2],[I2MS.S],[I],[I2MS.S],
23,22,IV SUB,ORDER,MSA,VERBAL,pos:verb,[QUES] [CONJ] [VPART.S] [IVPref.3FD] [IVPreBuff],[STEM-IV] [IVBuff],[IVSuff.S.3FD] [PRON.V] [PRON2],[I3FD.S],[I],[I3FD.S],
24,23,IV SUB,ORDER,MSA,VERBAL,pos:verb,[QUES] [CONJ] [VPART.S] [IVPref.3FP] [IVPreBuff],[STEM-IV] [IVBuff],[IVSuff.S.3FP] [PRON.V] [PRON2],[I3FP.S],[I],[I3FP.S],
25,24,IV SUB,ORDER,MSA,VERBAL,pos:verb,[QUES] [CONJ] [VPART.S] [IVPref.3FS] [IVPreBuff],[STEM-IV] [IVBuff],[IVSuff.S.3FS] [PRON.V] [PRON2],[I3FS.S],[I],[I3FS.S],
26,25,IV SUB,ORDER,MSA,VERBAL,pos:verb,[QUES] [CONJ] [VPART.S] [IVPref.3MD] [IVPreBuff],[STEM-IV] [IVBuff],[IVSuff.S.3MD] [PRON.V] [PRON2],[I3MD.S],[I],[I3MD.S],
27,26,IV SUB,ORDER,MSA,VERBAL,pos:verb,[QUES] [CONJ] [VPART.S] [IVPref.3MP] [IVPreBuff],[STEM-IV] [IVBuff],[IVSuff.S.3MP] [PRON.V] [PRON2],[I3MP.S],[I],[I3MP.S],
28,27,IV SUB,ORDER,MSA,VERBAL,pos:verb,[QUES] [CONJ] [VPART.S] [IVPref.3MS] [IVPreBuff],[STEM-IV] [IVBuff],[IVSuff.S.3MS] [PRON.V] [PRON2],[I3MS.S],[I],[I3MS.S],
29,28,IV JUS,ORDER,MSA,VERBAL,pos:verb,[QUES] [CONJ] [VPART.J] [IVPref.1P] [IVPreBuff],[STEM-IV] [IVBuff],[IVSuff.J.1P] [PRON.V] [PRON2],[I1P.J],[I],[I1P.J],Imperfective+jussive
30,29,IV JUS,ORDER,MSA,VERBAL,pos:verb,[QUES] [CONJ] [VPART.J] [IVPref.1S] [IVPreBuff],[STEM-IV] [IVBuff],[IVSuff.J.1S] [PRON.V] [PRON2],[I1S.J],[I],[I1S.J],
31,30,IV JUS,ORDER,MSA,VERBAL,pos:verb,[QUES] [CONJ] [VPART.J] [IVPref.2D] [IVPreBuff],[STEM-IV] [IVBuff],[IVSuff.J.2D] [PRON.V] [PRON2],[I2D.J],[I],[I2D.J],
32,31,IV JUS,ORDER,MSA,VERBAL,pos:verb,[QUES] [CONJ] [VPART.J] [IVPref.2FP] [IVPreBuff],[STEM-IV] [IVBuff],[IVSuff.J.2FP] [PRON.V] [PRON2],[I2FP.J],[I],[I2FP.J],
33,32,IV JUS,ORDER,MSA,VERBAL,pos:verb,[QUES] [CONJ] [VPART.J] [IVPref.2FS] [IVPreBuff],[STEM-IV] [IVBuff],[IVSuff.J.2FS] [PRON.V] [PRON2],[I2FS.J],[I],[I2FS.J],
34,33,IV JUS,ORDER,MSA,VERBAL,pos:verb,[QUES] [CONJ] [VPART.J] [IVPref.2MP] [IVPreBuff],[STEM-IV] [IVBuff],[IVSuff.J.2MP] [PRON.V] [PRON2],[I2MP.J],[I],[I2MP.J],
35,34,IV JUS,ORDER,MSA,VERBAL,pos:verb,[QUES] [CONJ] [VPART.J] [IVPref.2MS] [IVPreBuff],[STEM-IV] [IVBuff],[IVSuff.J.2MS] [PRON.V] [PRON2],[I2MS.J],[I],[I2MS.J],
36,35,IV JUS,ORDER,MSA,VERBAL,pos:verb,[QUES] [CONJ] [VPART.J] [IVPref.3FD] [IVPreBuff],[STEM-IV] [IVBuff],[IVSuff.J.3FD] [PRON.V] [PRON2],[I3FD.J],[I],[I3FD.J],
37,36,IV JUS,ORDER,MSA,VERBAL,pos:verb,[QUES] [CONJ] [VPART.J] [IVPref.3FP] [IVPreBuff],[STEM-IV] [IVBuff],[IVSuff.J.3FP] [PRON.V] [PRON2],[I3FP.J],[I],[I3FP.J],
38,37,IV JUS,ORDER,MSA,VERBAL,pos:verb,[QUES] [CONJ] [VPART.J] [IVPref.3FS] [IVPreBuff],[STEM-IV] [IVBuff],[IVSuff.J.3FS] [PRON.V] [PRON2],[I3FS.J],[I],[I3FS.J],
39,38,IV JUS,ORDER,MSA,VERBAL,pos:verb,[QUES] [CONJ] [VPART.J] [IVPref.3MD] [IVPreBuff],[STEM-IV] [IVBuff],[IVSuff.J.3MD] [PRON.V] [PRON2],[I3MD.J],[I],[I3MD.J],
