SIGNATURE	LEMMA	DIAC	QC	COMMENTS	STATUS
VERB.I1S.AI	kAn	Aakuwn	OK		
VERB.I1P.AI	kAn	nikuwn	OK		
VERB.I2MS.AI	kAn	tikuwn	OK		
VERB.I2FS.AI	kAn	tikuwniy	OK		
VERB.I2P.AI	kAn	tikuwnuwA	OK		
VERB.I3MS.AI	kAn	yikuwn	OK	yukuwn	
VERB.I3FS.AI	kAn	tikuwn	OK	tukuwn	
VERB.I3P.AI	kAn	yikuwnuwA	OK		
VERB.I1S.AI.E0	kAn		OK		
VERB.I1P.AI.E0	kAn		OK		
VERB.I2MS.AI.E0	kAn		OK		
VERB.I2FS.AI.E0	kAn		OK		
VERB.I2P.AI.E0	kAn		OK		
VERB.I3MS.AI.E0	kAn		OK		
VERB.I3FS.AI.E0	kAn		OK		
VERB.I3P.AI.E0	kAn		OK		
VERB.I1S.AI	qAl	Aaquwl	OK		
VERB.I1P.AI	qAl	niquwl	OK		
VERB.I2MS.AI	qAl	tiquwl	OK		
VERB.I2FS.AI	qAl	tiquwliy	OK		
VERB.I2P.AI	qAl	tiquwluwA	OK		
VERB.I3MS.AI	qAl	yiquwl	OK	yuquwl	
VERB.I3FS.AI	qAl	tiquwl	OK	tuquwl	
VERB.I3P.AI	qAl	yiquwluwA	OK		
VERB.I1S.AI.E0	qAl	Aaquwluh	OK		
VERB.I1P.AI.E0	qAl	niquwluh	OK		
VERB.I2MS.AI.E0	qAl	tiquwluh	OK		
VERB.I2FS.AI.E0	qAl	tiquwliyuh	PROB		
VERB.I2P.AI.E0	qAl	tiquwluwuh	PROB		
VERB.I3MS.AI.E0	qAl	yiquwluh	OK		
VERB.I3FS.AI.E0	qAl	tiquwluh	OK		
VERB.I3P.AI.E0	qAl	yiquwluwuh	PROB		
VERB.I1S.AI	xal~aY	Aaxal~iy	OK		
VERB.I1P.AI	xal~aY	nixal~iy	OK		
VERB.I2MS.AI	xal~aY	tixal~iy	OK		
VERB.I2FS.AI	xal~aY	tixal~iy	OK		
VERB.I2P.AI	xal~aY	tixal~uwA	OK		
VERB.I3MS.AI	xal~aY	yixal~iy	OK		
VERB.I3FS.AI	xal~aY	tixal~iy	OK		
VERB.I3P.AI	xal~aY	yixal~uwA	OK		
VERB.I1S.AI.E0	xal~aY	Aaxal~iyuh	PROB		
VERB.I1P.AI.E0	xal~aY	nixal~iyuh	PROB		
VERB.I2MS.AI.E0	xal~aY	tixal~iyuh	PROB		
VERB.I2FS.AI.E0	xal~aY	tixal~iyuh	PROB		
VERB.I2P.AI.E0	xal~aY	tixal~uwuh	PROB		
VERB.I3MS.AI.E0	xal~aY	yixal~iyuh	PROB		
VERB.I3FS.AI.E0	xal~aY	tixal~iyuh	PROB		
VERB.I3P.AI.E0	xal~aY	yixal~uwuh	PROB		
VERB.I1S.AI	jih	Aajiy	OK		
VERB.I1P.AI	jih	nijiy	OK		
VERB.I2MS.AI	jih	tijiy	OK		
VERB.I2FS.AI	jih	tijiy	OK		
VERB.I2P.AI	jih	tijuwA	OK		
VERB.I3MS.AI	jih	yijiy	OK		
VERB.I3FS.AI	jih	tijiy	OK		
VERB.I3P.AI	jih	yijuwA	OK		
VERB.I1S.AI.E0	jih		OK		
VERB.I1P.AI.E0	jih		OK		
VERB.I2MS.AI.E0	jih		OK		
VERB.I2FS.AI.E0	jih		OK		
VERB.I2P.AI.E0	jih		OK		
VERB.I3MS.AI.E0	jih		OK		
VERB.I3FS.AI.E0	jih		OK		
VERB.I3P.AI.E0	jih		OK		
VERB.I1S.AI	Hab~	AaHib~	OK		
VERB.I1P.AI	Hab~	niHib~	OK		
VERB.I2MS.AI	Hab~	tiHib~	OK		
VERB.I2FS.AI	Hab~	tiHib~iy	OK		
VERB.I2P.AI	Hab~	tiHib~uwA	OK		
VERB.I3MS.AI	Hab~	yiHib~	OK		
VERB.I3FS.AI	Hab~	tiHib~	OK		
VERB.I3P.AI	Hab~	yiHib~uwA	OK		
VERB.I1S.AI.E0	Hab~	AaHib~uh	OK		
VERB.I1P.AI.E0	Hab~	niHib~uh	OK		
VERB.I2MS.AI.E0	Hab~	tiHib~uh	OK		
VERB.I2FS.AI.E0	Hab~	tiHib~iyuh	PROB		
VERB.I2P.AI.E0	Hab~	tiHib~uwuh	PROB		
VERB.I3MS.AI.E0	Hab~	yiHib~uh	OK		
VERB.I3FS.AI.E0	Hab~	tiHib~uh	OK		
VERB.I3P.AI.E0	Hab~	yiHib~uwuh	PROB		
VERB.I1S.AI	>axoTa>	AaxoTa>	OK		
VERB.I1P.AI	>axoTa>	nixoTa>	OK		
VERB.I2MS.AI	>axoTa>	tixoTa>	OK		
VERB.I2FS.AI	>axoTa>	tixoTa}iy	OK		
VERB.I2P.AI	>axoTa>	tixoTa&uwA	OK		
VERB.I3MS.AI	>axoTa>	yixoTa>	OK		
VERB.I3FS.AI	>axoTa>	tixoTa>	OK		
VERB.I3P.AI	>axoTa>	yixoTa&uwA	OK		
VERB.I1S.AI.E0	>axoTa>		OK		
VERB.I1P.AI.E0	>axoTa>		OK		
VERB.I2MS.AI.E0	>axoTa>		OK		
VERB.I2FS.AI.E0	>axoTa>		OK		
VERB.I2P.AI.E0	>axoTa>		OK		
VERB.I3MS.AI.E0	>axoTa>		OK		
VERB.I3FS.AI.E0	>axoTa>		OK		
VERB.I3P.AI.E0	>axoTa>		OK		
VERB.I1P.AI	tam~	nitim~	OK		
VERB.I2MS.AI	tam~	titim~	OK		
VERB.I2FS.AI	tam~	titim~iy	OK		
VERB.I2P.AI	tam~	titim~uwA	OK		
VERB.I3MS.AI	tam~	yitim~	OK		
VERB.I3FS.AI	tam~	titim~	OK		
VERB.I3P.AI	tam~	yitim~uwA	OK		
VERB.I1S.AI.E0	tam~		OK		
VERB.I1P.AI.E0	tam~		OK		
VERB.I2MS.AI.E0	tam~		OK		
VERB.I2FS.AI.E0	tam~		OK		
VERB.I2P.AI.E0	tam~		OK		
VERB.I3MS.AI.E0	tam~		OK		
VERB.I3FS.AI.E0	tam~		OK		
VERB.I3P.AI.E0	tam~		OK		
VERB.I1S.AI	bada>	Aabda>	OK		
VERB.I1P.AI	bada>	nibda>	OK		
VERB.I2MS.AI	bada>	tibda>	OK		
VERB.I2FS.AI	bada>	tibda}iy	OK		
VERB.I2P.AI	bada>	tibda&uwA	OK		
VERB.I3MS.AI	bada>	yibda>	OK		
VERB.I3FS.AI	bada>	tibda>	OK		
VERB.I3P.AI	bada>	yibda&uwA	OK		
VERB.I1S.AI.E0	bada>	Aabda>uh	OK		
VERB.I1P.AI.E0	bada>	nibda>uh	OK		
VERB.I2MS.AI.E0	bada>	tibda>uh	OK		
VERB.I2FS.AI.E0	bada>	tibda}iyuh	PROB		
VERB.I2P.AI.E0	bada>	tibda&uwuh	PROB		
VERB.I3MS.AI.E0	bada>	yibda>uh	OK		
VERB.I3FS.AI.E0	bada>	tibda>uh	OK		
VERB.I3P.AI.E0	bada>	yibda&uwuh	PROB		
VERB.I1S.AI	>asA'	Aasiy'	OK		
VERB.I1P.AI	>asA'	nisiy'	OK		
VERB.I2MS.AI	>asA'	tisiy'	OK		
VERB.I2FS.AI	>asA'	tisiy}iy	OK		
VERB.I2P.AI	>asA'	tisiy}uwA	OK		
VERB.I3MS.AI	>asA'	yisiy'	OK		
VERB.I3FS.AI	>asA'	tisiy'	OK		
VERB.I3P.AI	>asA'	yisiy}uwA	OK		
VERB.I1S.AI.E0	>asA'		OK		
VERB.I1P.AI.E0	>asA'		OK		
VERB.I2MS.AI.E0	>asA'		OK		
VERB.I2FS.AI.E0	>asA'		OK		
VERB.I2P.AI.E0	>asA'		OK		
VERB.I3MS.AI.E0	>asA'		OK		
VERB.I3FS.AI.E0	>asA'		OK		
VERB.I3P.AI.E0	>asA'		OK		
VERB.I1S.AI	>aDA'	AaDiy'	OK		
VERB.I1P.AI	>aDA'	niDiy'	OK		
VERB.I2MS.AI	>aDA'	tiDiy'	OK		
VERB.I2FS.AI	>aDA'	tiDiy}iy	OK		
VERB.I2P.AI	>aDA'	tiDiy}uwA	OK		
VERB.I3MS.AI	>aDA'	yiDiy'	OK		
VERB.I3FS.AI	>aDA'	tiDiy'	OK		
VERB.I3P.AI	>aDA'	yiDiy}uwA	OK		
VERB.I1S.AI.E0	>aDA'	AaDiy}uh	OK		
VERB.I1P.AI.E0	>aDA'	niDiy}uh	OK		
VERB.I2MS.AI.E0	>aDA'	tiDiy}uh	OK		
VERB.I2FS.AI.E0	>aDA'	tiDiy}iyuh	PROB		
VERB.I2P.AI.E0	>aDA'	tiDiy}uwuh	PROB		
VERB.I3MS.AI.E0	>aDA'	yiDiy}uh	OK		
VERB.I3FS.AI.E0	>aDA'	tiDiy}uh	OK		
VERB.I3P.AI.E0	>aDA'	yiDiy}uwuh	PROB		
VERB.I1S.AI	kal		PROB		
VERB.I1P.AI	kal	nAkul	OK		
VERB.I2MS.AI	kal	tAkul	OK		
VERB.I2FS.AI	kal	tAkuliy	PROB		
VERB.I2P.AI	kal	tAkuluwA	PROB		
VERB.I3MS.AI	kal	yAkul	OK		
VERB.I3FS.AI	kal	tAkul	OK		
VERB.I3P.AI	kal	yAkuluwA	PROB		
VERB.I1S.AI.E0	kal		OK		
VERB.I1P.AI.E0	kal		OK		
VERB.I2MS.AI.E0	kal		OK		
VERB.I2FS.AI.E0	kal		OK		
VERB.I2P.AI.E0	kal		OK		
VERB.I3MS.AI.E0	kal		OK		
VERB.I3FS.AI.E0	kal		OK		
VERB.I3P.AI.E0	kal		OK		
VERB.I1S.AI	rad~		PROB		
VERB.I1P.AI	rad~	nurud~	OK		
VERB.I2MS.AI	rad~	turud~	OK		
VERB.I2FS.AI	rad~	turud~iy	OK		
VERB.I2P.AI	rad~	turud~uwA	OK		
VERB.I3MS.AI	rad~	yurud~	OK		
VERB.I3FS.AI	rad~	turud~	OK		
VERB.I3P.AI	rad~	yurud~uwA	OK		
VERB.I1P.AI.E0	rad~	nurud~uh	OK		
VERB.I2MS.AI.E0	rad~	turud~uh	OK		
VERB.I2FS.AI.E0	rad~	turud~iyuh	PROB		
VERB.I2P.AI.E0	rad~	turud~uwuh	PROB		
VERB.I3MS.AI.E0	rad~	yurud~uh	OK		
VERB.I3FS.AI.E0	rad~	turud~uh	OK		
VERB.I3P.AI.E0	rad~	yurud~uwuh	PROB		
VERB.I1S.AI	Aitoman~aY	Aatoman~aY	OK		
VERB.I1P.AI	Aitoman~aY	nitoman~aY	OK		
VERB.I2MS.AI	Aitoman~aY	titoman~aY	OK		
VERB.I2FS.AI	Aitoman~aY	titoman~iy	OK		
