SIGNATURE	LEMMA	DIAC	QC	COMMENTS	STATUS
VERB.P1S.AI	|dim	|dimt	OK		
VERB.P1P.AI	|dim	|dimnA	OK		
VERB.P2MS.AI	|dim	|dimt	OK		
VERB.P2FS.AI	|dim	|dimtiy	OK		
VERB.P2P.AI	|dim	|dimtuwA	OK		
VERB.P3MS.AI	|dim	|dim	OK		
VERB.P3FS.AI	|dim	|dimit	PROB		
VERB.P3P.AI	|dim	|dimuwA	PROB		
VERB.P1S.AI.E0	|dim		OK		
VERB.P1P.AI.E0	|dim		OK		
VERB.P2MS.AI.E0	|dim		OK		
VERB.P2FS.AI.E0	|dim		OK		
VERB.P2P.AI.E0	|dim		OK		
VERB.P3MS.AI.E0	|dim		OK		
VERB.P3FS.AI.E0	|dim		OK		
VERB.P3P.AI.E0	|dim		OK		
VERB.P1S.AI	|xi*	|xi*~t	PROB		
VERB.P1P.AI	|xi*	|xi*~nA	PROB		
VERB.P2MS.AI	|xi*	|xi*~t	PROB		
VERB.P2FS.AI	|xi*	|xi*~tiy	PROB		
VERB.P2P.AI	|xi*	|xi*~tuwA	PROB		
VERB.P3MS.AI	|xi*	|xi*~	PROB		
VERB.P3FS.AI	|xi*	|xi*~it	PROB		
VERB.P3P.AI	|xi*	|xi*~uwA	PROB		
VERB.P1S.AI.E0	|xi*		PROB	TRANS IN LEX	
VERB.P1P.AI.E0	|xi*		PROB	TRANS IN LEX	
VERB.P2MS.AI.E0	|xi*		PROB	TRANS IN LEX	
VERB.P2FS.AI.E0	|xi*		PROB	TRANS IN LEX	
VERB.P2P.AI.E0	|xi*		PROB	TRANS IN LEX	
VERB.P3MS.AI.E0	|xi*		PROB	TRANS IN LEX	
VERB.P3FS.AI.E0	|xi*		PROB	TRANS IN LEX	
VERB.P3P.AI.E0	|xi*		PROB	TRANS IN LEX	
VERB.P1S.AI	|min	|min~t	PROB		
VERB.P1P.AI	|min	|min~A	OK		
VERB.P2MS.AI	|min	|min~t	PROB		
VERB.P2FS.AI	|min	|min~tiy	PROB		
VERB.P2P.AI	|min	|min~tuwA	PROB		
VERB.P3MS.AI	|min	|min~	PROB		
VERB.P3FS.AI	|min	|min~it	PROB	آمْنِت	
VERB.P3P.AI	|min	|min~uwA	PROB		
VERB.P1S.AI.E0	|min		OK		
VERB.P1P.AI.E0	|min		OK		
VERB.P2MS.AI.E0	|min		OK		
VERB.P2FS.AI.E0	|min		OK		
VERB.P2P.AI.E0	|min		OK		
VERB.P3MS.AI.E0	|min		OK		
VERB.P3FS.AI.E0	|min		OK		
VERB.P3P.AI.E0	|min		OK		
VERB.P1S.AI	|n	>unt	OK		
VERB.P1P.AI	|n	>un~A	OK		
VERB.P2MS.AI	|n	>unt	OK		
VERB.P2FS.AI	|n	>untiy	OK		
VERB.P2P.AI	|n	>untuwA	OK		
VERB.P3MS.AI	|n	|n	OK		
VERB.P3FS.AI	|n	|nit	OK		
VERB.P3P.AI	|n	|nuwA	OK		
VERB.P1S.AI.E0	|n		OK		
VERB.P1P.AI.E0	|n		OK		
VERB.P2MS.AI.E0	|n		OK		
VERB.P2FS.AI.E0	|n		OK		
VERB.P2P.AI.E0	|n		OK		
VERB.P3MS.AI.E0	|n		OK		
VERB.P3FS.AI.E0	|n		OK		
VERB.P3P.AI.E0	|n		OK		
VERB.P1S.AI	>abAH	>abaHt	OK		
VERB.P1P.AI	>abAH	>abaHnA	OK		
VERB.P2MS.AI	>abAH	>abaHt	OK		
VERB.P2FS.AI	>abAH	>abaHtiy	OK		
VERB.P2P.AI	>abAH	>abaHtuwA	OK		
VERB.P3MS.AI	>abAH	>abAH	OK		
VERB.P3FS.AI	>abAH	>abAHit	OK		
