SIGNATURE	LEMMA	DIAC	QC	COMMENTS	STATUS
VERB.P1S.AI	>ak~ad	>ak~adtu	OK		
VERB.P1P.AI	>ak~ad	>ak~adnA	OK		
VERB.P2MS.AI	>ak~ad	>ak~adta	OK		
VERB.P2FS.AI	>ak~ad	>ak~adti	OK		
VERB.P2D.AI	>ak~ad	>ak~adtumA	OK		
VERB.P2MP.AI	>ak~ad	>ak~adtum	OK		
VERB.P2FP.AI	>ak~ad	>ak~adtun~a	OK		
VERB.P3MS.AI	>ak~ad	>ak~ada	OK		
VERB.P3FS.AI	>ak~ad	>ak~adat	OK		
VERB.P3MD.AI	>ak~ad	>ak~adA	OK		
VERB.P3FD.AI	>ak~ad	>ak~adatA	OK		
VERB.P3MP.AI	>ak~ad	>ak~aduwA	OK		
VERB.P3FP.AI	>ak~ad	>ak~adna	OK		
VERB.P1S.PI	>ak~ad	>uk~idtu	OK		
VERB.P1P.PI	>ak~ad	>uk~idnA	OK		
VERB.P2MS.PI	>ak~ad	>uk~idta	OK		
VERB.P2FS.PI	>ak~ad	>uk~idti	OK		
VERB.P2D.PI	>ak~ad	>uk~idtumA	OK		
VERB.P2MP.PI	>ak~ad	>uk~idtum	OK		
VERB.P2FP.PI	>ak~ad	>uk~idtun~a	OK		
VERB.P3MS.PI	>ak~ad	>uk~ida	OK		
VERB.P3FS.PI	>ak~ad	>uk~idat	OK		
VERB.P3MD.PI	>ak~ad	>uk~idA	OK		
VERB.P3FD.PI	>ak~ad	>uk~idatA	OK		
VERB.P3MP.PI	>ak~ad	>uk~iduwA	OK		
VERB.P3FP.PI	>ak~ad	>uk~idna	OK		
VERB.P1S.AI.E0	>ak~ad	>ak~adtuhu	OK		
VERB.P1P.AI.E0	>ak~ad	>ak~adnAhu	OK		
VERB.P2MS.AI.E0	>ak~ad	>ak~adtahu	OK		
VERB.P2FS.AI.E0	>ak~ad	>ak~adtihi	OK		
VERB.P2D.AI.E0	>ak~ad	>ak~adtumAhu	OK		
VERB.P2MP.AI.E0	>ak~ad	>ak~adtumuwhu	OK		
VERB.P2FP.AI.E0	>ak~ad	>ak~adtun~ahu	OK		
VERB.P3MS.AI.E0	>ak~ad	>ak~adahu	OK		
VERB.P3FS.AI.E0	>ak~ad	>ak~adathu	OK		
VERB.P3MD.AI.E0	>ak~ad	>ak~adAhu	OK		
VERB.P3FD.AI.E0	>ak~ad	>ak~adatAhu	OK		
VERB.P3MP.AI.E0	>ak~ad	>ak~aduwhu	OK		
VERB.P3FP.AI.E0	>ak~ad	>ak~adnahu	OK		
VERB.P1S.PI.E0	>ak~ad		OK		
VERB.P1P.PI.E0	>ak~ad		OK		
VERB.P2MS.PI.E0	>ak~ad		OK		
VERB.P2FS.PI.E0	>ak~ad		OK		
VERB.P2D.PI.E0	>ak~ad		OK		
VERB.P2MP.PI.E0	>ak~ad		OK		
VERB.P2FP.PI.E0	>ak~ad		OK		
VERB.P3MS.PI.E0	>ak~ad		OK		
VERB.P3FS.PI.E0	>ak~ad		OK		
VERB.P3MD.PI.E0	>ak~ad		OK		
VERB.P3FD.PI.E0	>ak~ad		OK		
VERB.P3MP.PI.E0	>ak~ad		OK		
VERB.P3FP.PI.E0	>ak~ad		OK		
VERB.P1S.AI	{isotamar~	Aisotamorartu	OK		
VERB.P1P.AI	{isotamar~	AisotamorarnA	OK		
VERB.P2MS.AI	{isotamar~	Aisotamorarta	OK		
VERB.P2FS.AI	{isotamar~	Aisotamorarti	OK		
VERB.P2D.AI	{isotamar~	AisotamorartumA	OK		
VERB.P2MP.AI	{isotamar~	Aisotamorartum	OK		
VERB.P2FP.AI	{isotamar~	Aisotamorartun~a	OK		
VERB.P3MS.AI	{isotamar~	Aisotamar~a	OK		
VERB.P3FS.AI	{isotamar~	Aisotamar~at	OK		
VERB.P3MD.AI	{isotamar~	Aisotamar~A	OK		
VERB.P3FD.AI	{isotamar~	Aisotamar~atA	OK		
VERB.P3MP.AI	{isotamar~	Aisotamar~uwA	OK		
VERB.P3FP.AI	{isotamar~	Aisotamorarna	OK		
VERB.P1S.PI	{isotamar~	Ausotumorirtu	OK		
VERB.P1P.PI	{isotamar~	AusotumorirnA	OK		
VERB.P2MS.PI	{isotamar~	Ausotumorirta	OK		
VERB.P2FS.PI	{isotamar~	Ausotumorirti	OK		
VERB.P2D.PI	{isotamar~	AusotumorirtumA	OK		
VERB.P2MP.PI	{isotamar~	Ausotumorirtum	OK		
VERB.P2FP.PI	{isotamar~	Ausotumorirtun~a	OK		
VERB.P3MS.PI	{isotamar~	Ausotumorira	PROB		
VERB.P3FS.PI	{isotamar~	Ausotumorirat	PROB		
VERB.P3MD.PI	{isotamar~	AusotumorirA	PROB		
VERB.P3FD.PI	{isotamar~	AusotumoriratA	PROB		
VERB.P3MP.PI	{isotamar~	AusotumoriruwA	PROB		
VERB.P3FP.PI	{isotamar~	Ausotumorirna	OK		
VERB.P1S.AI.E0	{isotamar~	Aisotamorartuhu	OK		
VERB.P1P.AI.E0	{isotamar~	AisotamorarnAhu	OK		
VERB.P2MS.AI.E0	{isotamar~	Aisotamorartahu	OK		
VERB.P2FS.AI.E0	{isotamar~	Aisotamorartihi	OK		
VERB.P2D.AI.E0	{isotamar~	AisotamorartumAhu	OK		
VERB.P2MP.AI.E0	{isotamar~	Aisotamorartumuwhu	OK		
VERB.P2FP.AI.E0	{isotamar~	Aisotamorartun~ahu	OK		
VERB.P3MS.AI.E0	{isotamar~	Aisotamar~ahu	OK		
VERB.P3FS.AI.E0	{isotamar~	Aisotamar~athu	OK		
VERB.P3MD.AI.E0	{isotamar~	Aisotamar~Ahu	OK		
VERB.P3FD.AI.E0	{isotamar~	Aisotamar~atAhu	OK		
VERB.P3MP.AI.E0	{isotamar~	Aisotamar~uwhu	OK		
VERB.P3FP.AI.E0	{isotamar~	Aisotamorarnahu	OK		
VERB.P1S.PI.E0	{isotamar~		OK		
VERB.P1P.PI.E0	{isotamar~		OK		
VERB.P2MS.PI.E0	{isotamar~		OK		
VERB.P2FS.PI.E0	{isotamar~		OK		
VERB.P2D.PI.E0	{isotamar~		OK		
VERB.P2MP.PI.E0	{isotamar~		OK		
VERB.P2FP.PI.E0	{isotamar~		OK		
VERB.P3MS.PI.E0	{isotamar~		OK		
VERB.P3FS.PI.E0	{isotamar~		OK		
VERB.P3MD.PI.E0	{isotamar~		OK		
VERB.P3FD.PI.E0	{isotamar~		OK		
VERB.P3MP.PI.E0	{isotamar~		OK		
VERB.P3FP.PI.E0	{isotamar~		OK		
VERB.P1S.AI	>aEolan	>aEolantu	OK		
VERB.P1P.AI	>aEolan	>aEolan~A	OK		
VERB.P2MS.AI	>aEolan	>aEolanta	OK		
VERB.P2FS.AI	>aEolan	>aEolanti	OK		
VERB.P2D.AI	>aEolan	>aEolantumA	OK		
VERB.P2MP.AI	>aEolan	>aEolantum	OK		
VERB.P2FP.AI	>aEolan	>aEolantun~a	OK		
VERB.P3MS.AI	>aEolan	>aEolana	OK		
VERB.P3FS.AI	>aEolan	>aEolanat	OK		
VERB.P3MD.AI	>aEolan	>aEolanA	OK		
VERB.P3FD.AI	>aEolan	>aEolanatA	OK		
VERB.P3MP.AI	>aEolan	>aEolanuwA	OK		
VERB.P3FP.AI	>aEolan	>aEolan~a	OK		
VERB.P1S.PI	>aEolan	>uEolintu	OK		
VERB.P1P.PI	>aEolan	>uEolin~A	OK		
VERB.P2MS.PI	>aEolan	>uEolinta	OK		
VERB.P2FS.PI	>aEolan	>uEolinti	OK		
VERB.P2D.PI	>aEolan	>uEolintumA	OK		
VERB.P2MP.PI	>aEolan	>uEolintum	OK		
VERB.P2FP.PI	>aEolan	>uEolintun~a	OK		
VERB.P3MS.PI	>aEolan	>uEolina	OK		
VERB.P3FS.PI	>aEolan	>uEolinat	OK		
VERB.P3MD.PI	>aEolan	>uEolinA	OK		
VERB.P3FD.PI	>aEolan	>uEolinatA	OK		
VERB.P3MP.PI	>aEolan	>uEolinuwA	OK		
