SIGNATURE	LEMMA	DIAC	QC	COMMENTS	STATUS
NOM.MS.D.P0	|liy	Al|liy	OK		
NOM.MS.I	|liy	|liy	OK		
NOM.MS.C	|liy	|liy	OK		
NOM.MS.D.P0.E0	|liy		OK		
NOM.MS.C.E0	|liy		OK		
NOM.MD.D.P0	|liy	Al|liy~ayon	OK		
NOM.MD.I	|liy	|liy~ayon	OK		
NOM.MD.C	|liy	|liy~ayon	OK		
NOM.MD.D.P0.E0	|liy		OK		
NOM.MD.C.E0	|liy		OK		
NOM.MP.D.P0	|liy	Al|liyn	PROB		
NOM.MP.I	|liy	|liyn	PROB		
NOM.MP.C	|liy	|liyn	PROB		
NOM.MP.D.P0.E0	|liy		OK		
NOM.MP.C.E0	|liy		OK		
NOM.FS.D.P0	|liy	Al|liy~ap	OK		
NOM.FS.I	|liy	|liy~ap	OK		
NOM.FS.C	|liy	|liy~ip	OK		
NOM.FS.D.P0.E0	|liy		OK		
NOM.FS.C.E0	|liy		OK		
NOM.FD.D.P0	|liy	Al|liy~tayon	OK		
NOM.FD.I	|liy	|liy~tayon	OK		
NOM.FD.C	|liy	|liy~tayon	OK		
NOM.FD.D.P0.E0	|liy		OK		
NOM.FD.C.E0	|liy		OK		
NOM.FP.D.P0	|liy	Al|liy~At	OK		
NOM.FP.I	|liy	|liy~At	OK		
NOM.FP.C	|liy	|liy~At	OK		
NOM.FP.D.P0.E0	|liy		OK		
NOM.FP.C.E0	|liy		OK		
NOM.MS.D.P0	muSir~	AlmuSir~	OK		
NOM.MS.I	muSir~	muSir~	OK		
NOM.MS.C	muSir~	muSir~	OK		
NOM.MS.D.P0.E0	muSir~		OK		
NOM.MS.C.E0	muSir~		OK		
NOM.MD.D.P0	muSir~	AlmuSir~ayon	OK		
NOM.MD.I	muSir~	muSir~ayon	OK		
NOM.MD.C	muSir~	muSir~ayon	OK		
NOM.MD.D.P0.E0	muSir~		OK		
NOM.MD.C.E0	muSir~		OK		
NOM.MP.D.P0	muSir~	AlmuSir~iyn	OK		
NOM.MP.I	muSir~	muSir~iyn	OK		
NOM.MP.C	muSir~	muSir~iyn	OK		
NOM.MP.D.P0.E0	muSir~		OK		
NOM.MP.C.E0	muSir~		OK		
NOM.FS.D.P0	muSir~	AlmuSir~ap	OK		
NOM.FS.I	muSir~	muSir~ap	OK		
NOM.FS.C	muSir~	muSir~ip	OK		
NOM.FS.D.P0.E0	muSir~		OK		
NOM.FS.C.E0	muSir~		OK		
NOM.FD.D.P0	muSir~	AlmuSir~itayon	OK		
NOM.FD.I	muSir~	muSir~itayon	OK		
NOM.FD.C	muSir~	muSir~itayon	OK		
NOM.FD.D.P0.E0	muSir~		OK		
NOM.FD.C.E0	muSir~		OK		
NOM.FP.D.P0	muSir~	AlmuSir~At	OK		
NOM.FP.I	muSir~	muSir~At	OK		
NOM.FP.C	muSir~	muSir~At	OK		
NOM.FP.D.P0.E0	muSir~		OK		
NOM.FP.C.E0	muSir~		OK		
NOM.MS.D.P0	bA*il	AlbA*il'	PROB	INSERTED HAMZA	
NOM.MS.I	bA*il	bA*il'	PROB	INSERTED HAMZA	
NOM.MS.C	bA*il	bA*il'	PROB	INSERTED HAMZA	
NOM.MS.D.P0.E0	bA*il		OK		
NOM.MS.C.E0	bA*il		OK		
NOM.MD.D.P0	bA*il		OK		
NOM.MD.I	bA*il		PROB		
NOM.MD.C	bA*il		PROB		
NOM.MD.D.P0.E0	bA*il		OK		
NOM.MD.C.E0	bA*il		OK		
NOM.MP.D.P0	bA*il	AlbA*il}iyn	PROB	wrong´cond-s 	
NOM.MP.I	bA*il	bA*il}iyn	PROB	wrong´cond-s 	
NOM.MP.C	bA*il	bA*il}iyn	PROB	wrong´cond-s 	
NOM.MP.D.P0.E0	bA*il		OK		
NOM.MP.C.E0	bA*il		OK		
NOM.FS.D.P0	bA*il	AlbA*il'ap	PROB	wrong´cond-s 	
NOM.FS.I	bA*il	bA*il'ap	PROB	wrong´cond-s 	
NOM.FS.C	bA*il	bA*il'ip	PROB	wrong´cond-s 	
NOM.FS.D.P0.E0	bA*il		OK		
NOM.FS.C.E0	bA*il		OK		
NOM.FD.D.P0	bA*il	AlbA*il'itayon	PROB	wrong´cond-s 	
NOM.FD.I	bA*il	bA*il'itayon	PROB	wrong´cond-s 	
NOM.FD.C	bA*il	bA*il'itayon	PROB	wrong´cond-s 	
NOM.FD.D.P0.E0	bA*il		OK		
NOM.FD.C.E0	bA*il		OK		
NOM.FP.D.P0	bA*il	AlbA*il'At	PROB	wrong´cond-s 	
NOM.FP.I	bA*il	bA*il'At	PROB	wrong´cond-s 	
NOM.FP.C	bA*il	bA*il'At	PROB	wrong´cond-s 	
NOM.FP.D.P0.E0	bA*il		OK		
NOM.FP.C.E0	bA*il		OK		
NOM.MS.D.P0	muEab~a>	AlmuEab~a>a>	PROB	WRONG STEM	
NOM.MS.I	muEab~a>	muEab~a>a>	PROB	WRONG STEM	
NOM.MS.C	muEab~a>	muEab~a>a>	PROB	WRONG STEM	
NOM.MS.D.P0.E0	muEab~a>		OK		
NOM.MS.C.E0	muEab~a>		OK		
NOM.MD.D.P0	muEab~a>		OK		
NOM.MD.I	muEab~a>		PROB		
