SIGNATURE	LEMMA	DIAC	QC	COMMENTS	STATUS
NOM.MS.DN.P0	{id~iEA'	AlAid~iEA'u	OK		
NOM.MS.DG.P0	{id~iEA'	AlAid~iEA'i	OK		
NOM.MS.DA.P0	{id~iEA'	AlAid~iEA'a	OK		
NOM.MS.IN	{id~iEA'	Aid~iEA'N	OK		
NOM.MS.IG	{id~iEA'	Aid~iEA'K	OK		
NOM.MS.IA	{id~iEA'	Aid~iEA'AF	OK		
NOM.MS.CN	{id~iEA'	Aid~iEA'u	OK		
NOM.MS.CG	{id~iEA'	Aid~iEA'i	OK		
NOM.MS.CA	{id~iEA'	Aid~iEA'a	OK		
NOM.MS.CN.E0	{id~iEA'	Aid~iEA&uhu	OK		
NOM.MS.CG.E0	{id~iEA'	Aid~iEA}ihi	OK		
NOM.MS.CA.E0	{id~iEA'	Aid~iEA'ahu	OK		
NOM.FP.DN.P0	{i$otirATiy~ap	AlAi$otirATiy~Atu	OK		
NOM.FP.DG.P0	{i$otirATiy~ap	AlAi$otirATiy~Ati	OK		
NOM.FP.DA.P0	{i$otirATiy~ap	AlAi$otirATiy~Ati	OK		
NOM.FP.IN	{i$otirATiy~ap	Ai$otirATiy~AtN	OK		
NOM.FP.IG	{i$otirATiy~ap	Ai$otirATiy~AtK	OK		
NOM.FP.IA	{i$otirATiy~ap	Ai$otirATiy~AtK	OK		
NOM.FP.CN	{i$otirATiy~ap	Ai$otirATiy~Atu	OK		
NOM.FP.CG	{i$otirATiy~ap	Ai$otirATiy~Ati	OK		
NOM.FP.CA	{i$otirATiy~ap	Ai$otirATiy~Ati	OK		
NOM.FP.CN.E0	{i$otirATiy~ap	Ai$otirATiy~Atuhu	OK		
NOM.FP.CG.E0	{i$otirATiy~ap	Ai$otirATiy~Atihi	OK		
NOM.FP.CA.E0	{i$otirATiy~ap	Ai$otirATiy~Atihi	OK		
NOM.MS.DN.P0	{ibotidA'	AlAibotidA'u	OK		
NOM.MS.DG.P0	{ibotidA'	AlAibotidA'i	OK		
NOM.MS.DA.P0	{ibotidA'	AlAibotidA'a	OK		
NOM.MS.IN	{ibotidA'	AibotidA'N	OK		
NOM.MS.IG	{ibotidA'	AibotidA'K	OK		
NOM.MS.IA	{ibotidA'	AibotidA'F	OK		
NOM.MS.CN	{ibotidA'	AibotidA'u	OK		
NOM.MS.CG	{ibotidA'	AibotidA'i	OK		
NOM.MS.CA	{ibotidA'	AibotidA'a	OK		
NOM.MS.CN.E0	{ibotidA'	AibotidA&uhu	OK		
NOM.MS.CG.E0	{ibotidA'	AibotidA}ihi	OK		
NOM.MS.CA.E0	{ibotidA'	AibotidA'ahu	OK		
NOM.MD.DN.P0	{ibotidA'	AlAibotidA'Ani	OK		
NOM.MD.DG.P0	{ibotidA'	AlAibotidA'ayoni	OK		
NOM.MD.DA.P0	{ibotidA'	AlAibotidA'ayoni	OK		
NOM.MD.IN	{ibotidA'	AibotidA'Ani	OK		
NOM.MD.IG	{ibotidA'	AibotidA'ayoni	OK		
NOM.MD.IA	{ibotidA'	AibotidA'ayoni	OK		
NOM.MD.CN	{ibotidA'	AibotidA'A	OK		
NOM.MD.CG	{ibotidA'	AibotidA'ayo	OK		
NOM.MD.CA	{ibotidA'	AibotidA'ayo	OK		
NOM.MD.CN.E0	{ibotidA'	AibotidA'Ahu	OK		
NOM.MD.CG.E0	{ibotidA'	AibotidA'ayohi	OK		
NOM.MD.CA.E0	{ibotidA'	AibotidA'ayohi	OK		
NOM.MP.DN.P0	{ibotidA'	AlAibotidA'Atu	OK		
NOM.MP.DG.P0	{ibotidA'	AlAibotidA'Ati	OK		
NOM.MP.DA.P0	{ibotidA'	AlAibotidA'Ati	OK		
NOM.MP.IN	{ibotidA'	AibotidA'AtN	OK		
NOM.MP.IG	{ibotidA'	AibotidA'AtK	OK		
NOM.MP.IA	{ibotidA'	AibotidA'AtK	OK		
NOM.MP.CN	{ibotidA'	AibotidA'Atu	OK		
NOM.MP.CG	{ibotidA'	AibotidA'Ati	OK		
NOM.MP.CA	{ibotidA'	AibotidA'Ati	OK		
NOM.MP.CN.E0	{ibotidA'	AibotidA'Atuhu	OK		
NOM.MP.CG.E0	{ibotidA'	AibotidA'Atihi	OK		
NOM.MP.CA.E0	{ibotidA'	AibotidA'Atihi	OK		
NOM.MP.DN.P0	{isom	Al>asAmiy	OK		
NOM.MP.DG.P0	{isom	Al>asAmiy	OK		
NOM.MP.DA.P0	{isom	Al>asAmiya	OK		
NOM.MP.IN	{isom	>asAmK	OK		
NOM.MP.IG	{isom	>asAmiya	OK	Is this considered a اسم منقوص?	
NOM.MP.IA	{isom	>asAmiya	OK	ممنوع نت الصرف +اسم منقوص	
NOM.MP.CN	{isom	>asAmiy	OK		
NOM.MP.CG	{isom	>asAmiy	OK		
NOM.MP.CA	{isom	>asAmiya	OK	ممنوع نت الصرف +اسم منقوص	
NOM.MP.CN.E0	{isom	>asAmiyhi	OK		
NOM.MP.CG.E0	{isom	>asAmiyhi	OK		
NOM.MP.CA.E0	{isom	>asAmiyahu	OK		
NOM.FS.DN.P0	qiv~A'ap	Alqiv~A'apu	OK		
NOM.FS.DG.P0	qiv~A'ap	Alqiv~A'api	OK		
NOM.FS.DA.P0	qiv~A'ap	Alqiv~A'apa	OK		
NOM.FS.IN	qiv~A'ap	qiv~A'apN	OK		
NOM.FS.IG	qiv~A'ap	qiv~A'apK	OK		
NOM.FS.IA	qiv~A'ap	qiv~A'apF	OK		
NOM.FS.CN	qiv~A'ap	qiv~A'apu	OK		
NOM.FS.CG	qiv~A'ap	qiv~A'api	OK		
NOM.FS.CA	qiv~A'ap	qiv~A'apa	OK		
NOM.FS.CN.E0	qiv~A'ap	qiv~A'atuhu	OK		
NOM.FS.CG.E0	qiv~A'ap	qiv~A'atihi	OK		
NOM.FS.CA.E0	qiv~A'ap	qiv~A'atahu	OK		
NOM.FD.DN.P0	qiv~A'ap	Alqiv~A'atAni	OK		
NOM.FD.DG.P0	qiv~A'ap	Alqiv~A'atayoni	OK		
NOM.FD.DA.P0	qiv~A'ap	Alqiv~A'atayoni	OK		
NOM.FD.IN	qiv~A'ap	qiv~A'atAni	OK		
NOM.FD.IG	qiv~A'ap	qiv~A'atayoni	OK		
NOM.FD.IA	qiv~A'ap	qiv~A'atayoni	OK		
NOM.FD.CN	qiv~A'ap	qiv~A'atA	OK		
NOM.FD.CG	qiv~A'ap	qiv~A'atayo	OK		
NOM.FD.CA	qiv~A'ap	qiv~A'atayo	OK		
NOM.FD.CN.E0	qiv~A'ap	qiv~A'atAhu	OK		
NOM.FD.CG.E0	qiv~A'ap	qiv~A'atayohi	OK		
NOM.FD.CA.E0	qiv~A'ap	qiv~A'atayohi	OK		
NOM.FP.DN.P0	qiv~A'ap	Alqiv~A'Atu	OK		
NOM.FP.DG.P0	qiv~A'ap	Alqiv~A'Ati	OK		
NOM.FP.DA.P0	qiv~A'ap	Alqiv~A'Ati	OK		
NOM.FP.IN	qiv~A'ap	qiv~A'AtN	OK		
NOM.FP.IG	qiv~A'ap	qiv~A'AtK	OK		
NOM.FP.IA	qiv~A'ap	qiv~A'AtK	OK		
NOM.FP.CN	qiv~A'ap	qiv~A'Atu	OK		
NOM.FP.CG	qiv~A'ap	qiv~A'Ati	OK		
NOM.FP.CA	qiv~A'ap	qiv~A'Ati	OK		
NOM.FP.CN.E0	qiv~A'ap	qiv~A'Atuhu	OK		
NOM.FP.CG.E0	qiv~A'ap	qiv~A'Atihi	OK		
NOM.FP.CA.E0	qiv~A'ap	qiv~A'Atihi	OK		
NOM.MS.DN.P0	*uw	Al*~u	PROB	FIVE NOUNS	
NOM.MS.DG.P0	*uw	Al*~i	PROB	FIVE NOUNS	
NOM.MS.DA.P0	*uw	Al*~a	PROB	FIVE NOUNS	
NOM.MS.IN	*uw	*N	PROB	FIVE NOUNS	
NOM.MS.IG	*uw	*K	PROB	FIVE NOUNS	
NOM.MS.IA	*uw	*AF	PROB	FIVE NOUNS	
NOM.MS.CN	*uw	*uw	PROB	FIVE NOUNS	
NOM.MS.CG	*uw	*iy	PROB	FIVE NOUNS	
NOM.MS.CA	*uw	*A	OK		
NOM.MS.CN.E0	*uw	*uwhu	OK		
NOM.MS.CG.E0	*uw	*iyhu	OK		
NOM.MS.CA.E0	*uw	*Ahu	OK		
NOM.MS.DN.P0	*akA	Al*~akA	OK		
NOM.MS.DG.P0	*akA	Al*~akA	OK		
NOM.MS.DA.P0	*akA	Al*~akA	OK		
NOM.MS.IN	*akA	*akAF	OK		
NOM.MS.IG	*akA	*akAF	OK		
NOM.MS.IA	*akA	*akAF	OK		
NOM.MS.CN	*akA	*akA	OK		
NOM.MS.CG	*akA	*akA	OK		
NOM.MS.CA	*akA	*akA	OK		
NOM.MS.CN.E0	*akA	*akAhu	OK		
NOM.MS.CG.E0	*akA	*akAhu	OK		
NOM.MS.CA.E0	*akA	*akAhu	OK		
NOM.MD.DN.P0	*akA	Al*~akawAni	OK		
NOM.MD.DG.P0	*akA	Al*~akawayoni	OK		
NOM.MD.DA.P0	*akA	Al*~akawayoni	OK		
NOM.MD.IN	*akA	*akawAni	OK		
NOM.MD.IG	*akA	*akawayoni	OK		
NOM.MD.IA	*akA	*akawayoni	OK		
NOM.MD.CN	*akA	*akawA	OK		
NOM.MD.CG	*akA	*akawayo	OK		
NOM.MD.CA	*akA	*akawayo	OK		
NOM.MD.CN.E0	*akA	*akawAhu	OK		
NOM.MD.CG.E0	*akA	*akawayohi	OK		
NOM.MD.CA.E0	*akA	*akawayohi	OK		
NOM.MP.DN.P0	*akA	Al*~akawAtu	OK		
NOM.MP.DG.P0	*akA	Al*~akawAti	OK		
NOM.MP.DA.P0	*akA	Al*~akawAti	OK		
NOM.MP.IN	*akA	*akawAtN	OK		
NOM.MP.IG	*akA	*akawAtK	OK		
NOM.MP.IA	*akA	*akawAtK	OK		
NOM.MP.CN	*akA	*akawAtu	OK		
NOM.MP.CG	*akA	*akawAti	OK		
NOM.MP.CA	*akA	*akawAti	OK		
NOM.MP.CN.E0	*akA	*akawAtuhu	OK		
NOM.MP.CG.E0	*akA	*akawAtihi	OK		
NOM.MP.CA.E0	*akA	*akawAtihi	OK		
NOM.FP.DN.P0	*At	Al*~awAtu	OK		
NOM.FP.DG.P0	*At	Al*~awAti	OK		
NOM.FP.DA.P0	*At	Al*~awAta	OK		
NOM.FP.IN	*At	*awAtN	OK		
NOM.FP.IG	*At	*awAtK	OK		
NOM.FP.IA	*At	*awAtAF	OK		
NOM.FP.CN	*At	*awAtu	OK		
NOM.FP.CG	*At	*awAti	OK		
NOM.FP.CA	*At	*awAta	OK		
NOM.FP.CN.E0	*At	*awAtuhu	OK		
NOM.FP.CG.E0	*At	*awAtihi	OK		
NOM.FP.CA.E0	*At	*awAtahu	OK		
NOM.MP.DN.P0	gAz	AlgAzAtu	OK		
NOM.MP.DG.P0	gAz	AlgAzAti	OK		
NOM.MP.DA.P0	gAz	AlgAzAti	OK		
NOM.MP.IN	gAz	gAzAtN	OK		
NOM.MP.IG	gAz	gAzAtK	OK		
NOM.MP.IA	gAz	gAzAtK	OK		
NOM.MP.CN	gAz	gAzAtu	OK		
NOM.MP.CG	gAz	gAzAti	OK		
NOM.MP.CA	gAz	gAzAti	OK		
NOM.MP.CN.E0	gAz	gAzAtuhu	OK		
NOM.MP.CG.E0	gAz	gAzAtihi	OK		
NOM.MP.CA.E0	gAz	gAzAtihi	OK		
NOM.FS.DN.P0	<ibisotiymuwluwjiyA	Al<ibisotiymuwluwjiyA	OK		
NOM.FS.DG.P0	<ibisotiymuwluwjiyA	Al<ibisotiymuwluwjiyA	OK		
NOM.FS.DA.P0	<ibisotiymuwluwjiyA	Al<ibisotiymuwluwjiyA	OK		
NOM.FS.IN	<ibisotiymuwluwjiyA	<ibisotiymuwluwjiyA	OK		
NOM.FS.IG	<ibisotiymuwluwjiyA	<ibisotiymuwluwjiyA	OK		
NOM.FS.IA	<ibisotiymuwluwjiyA	<ibisotiymuwluwjiyA	OK		
NOM.FS.CN	<ibisotiymuwluwjiyA	<ibisotiymuwluwjiyA	OK		
NOM.FS.CG	<ibisotiymuwluwjiyA	<ibisotiymuwluwjiyA	OK		
NOM.FS.CA	<ibisotiymuwluwjiyA	<ibisotiymuwluwjiyA	OK		
NOM.FS.CN.E0	<ibisotiymuwluwjiyA	<ibisotiymuwluwjiyAhu	OK		
NOM.FS.CG.E0	<ibisotiymuwluwjiyA	<ibisotiymuwluwjiyAhu	OK		
NOM.FS.CA.E0	<ibisotiymuwluwjiyA	<ibisotiymuwluwjiyAhu	OK		
NOM.MS.DN.P0	<ibol	Al<ibolu	OK		
NOM.MS.DG.P0	<ibol	Al<iboli	OK		
NOM.MS.DA.P0	<ibol	Al<ibola	OK		
NOM.MS.IN	<ibol	<ibolN	OK		
NOM.MS.IG	<ibol	<ibolK	OK		
NOM.MS.IA	<ibol	<ibolAF	OK		
NOM.MS.CN	<ibol	<ibolu	OK		
NOM.MS.CG	<ibol	<iboli	OK		
NOM.MS.CA	<ibol	<ibola	OK		
NOM.MS.CN.E0	<ibol	<iboluhu	OK		
NOM.MS.CG.E0	<ibol	<ibolihi	OK		
NOM.MS.CA.E0	<ibol	<ibolahu	OK		
NOM.MS.DN.P0	<iboliys	Al<iboliysu	OK		
NOM.MS.DG.P0	<iboliys	Al<iboliysi	OK		
NOM.MS.DA.P0	<iboliys	Al<iboliysa	OK		
NOM.MS.IN	<iboliys	<iboliysu	OK		
NOM.MS.IG	<iboliys	<iboliysa	OK		
NOM.MS.IA	<iboliys	<iboliysa	OK		
NOM.MS.CN	<iboliys	<iboliysu	OK		
NOM.MS.CG	<iboliys	<iboliysi	OK		
NOM.MS.CA	<iboliys	<iboliysa	OK		
NOM.MS.CN.E0	<iboliys	<iboliysuhu	OK		
NOM.MS.CG.E0	<iboliys	<iboliysihi	OK		
