SIGNATURE	LEMMA	DIAC	QC	COMMENTS	STATUS
NOM.MS.DN.P0	kuwn	Alkuwnu	OK		
NOM.MS.DG.P0	kuwn	Alkuwni	OK		
NOM.MS.DA.P0	kuwn	Alkuwna	OK		
NOM.MS.IN	kuwn	kuwnu	OK		
NOM.MS.IG	kuwn	kuwna	OK		
NOM.MS.IA	kuwn	kuwna	OK		
NOM.MS.CN	kuwn	kuwnu	OK		
NOM.MS.CG	kuwn	kuwni	OK		
NOM.MS.CA	kuwn	kuwna	OK		
NOM.MS.DN.P0.E0	kuwn		OK		
NOM.MS.DG.P0.E0	kuwn		OK		
NOM.MS.DA.P0.E0	kuwn		OK		
NOM.MS.CN.E0	kuwn	kuwnuhu	OK		
NOM.MS.CG.E0	kuwn	kuwnihi	OK		
NOM.MS.CA.E0	kuwn	kuwnahu	OK		
NOM.FS.DN.P0	wafA'	AlwafA'u	OK		
NOM.FS.DG.P0	wafA'	AlwafA'i	OK		
NOM.FS.DA.P0	wafA'	AlwafA'a	OK		
NOM.FS.IN	wafA'	wafA'u	OK		
NOM.FS.IG	wafA'	wafA'a	OK		
NOM.FS.IA	wafA'	wafA'F	PROB		
NOM.FS.CN	wafA'	wafA'u	OK		
NOM.FS.CG	wafA'	wafA'i	OK		
NOM.FS.CA	wafA'	wafA'a	OK		
NOM.FS.DN.P0.E0	wafA'		OK		
NOM.FS.DG.P0.E0	wafA'		OK		
NOM.FS.DA.P0.E0	wafA'		OK		
NOM.FS.CN.E0	wafA'	wafA&uhu	OK		
NOM.FS.CG.E0	wafA'	wafA}ihi	OK		
NOM.FS.CA.E0	wafA'	wafA'ahu	OK		
NOM.FS.DN.P0	>asomA'	Al>asomA'u	OK		
NOM.FS.DG.P0	>asomA'	Al>asomA'i	OK		
NOM.FS.DA.P0	>asomA'	Al>asomA'a	OK		
NOM.FS.IN	>asomA'	>asomA'u	OK		
NOM.FS.IG	>asomA'	>asomA'a	OK		
NOM.FS.IA	>asomA'	>asomA'F	PROB		
NOM.FS.CN	>asomA'	>asomA'u	OK		
NOM.FS.CG	>asomA'	>asomA'i	OK		
NOM.FS.CA	>asomA'	>asomA'a	OK		
NOM.FS.DN.P0.E0	>asomA'		OK		
NOM.FS.DG.P0.E0	>asomA'		OK		
NOM.FS.DA.P0.E0	>asomA'		OK		
NOM.FS.CN.E0	>asomA'	>asomA&uhu	OK		
NOM.FS.CG.E0	>asomA'	>asomA}ihi	OK		
NOM.FS.CA.E0	>asomA'	>asomA'ahu	OK		
NOM.MS.DN.P0	<isorA'	Al<isorA'u	OK		
