SIGNATURE	LEMMA	DIAC	QC	COMMENTS	STATUS
OTHER....	*`lika	tiloka	OK		
OTHER...P1_bi_prep	*`lika	bitiloka	OK		
OTHER...P1_li_prep	*`lika	litiloka	OK		
OTHER...P2	*`lika	watiloka	OK		
OTHER...P12_bi_prep	*`lika	wabitiloka	OK		
OTHER...P12_li_prep	*`lika	walitiloka	OK		
OTHER...E0	*`lika		OK		
OTHER...P1.E0_bi_prep	*`lika		OK		
OTHER...P1.E0_li_prep	*`lika		OK		
OTHER...P2.E0	*`lika		OK		
OTHER...P12.E0_bi_prep	*`lika		OK		
OTHER...P12.E0_li_prep	*`lika		OK		
OTHER....	mAxalA	mAxalA	OK		
OTHER...P1_bi_prep	mAxalA		OK		
OTHER...P1_li_prep	mAxalA		OK		
OTHER...P2	mAxalA	wamAxalA	OK		
OTHER...P12_bi_prep	mAxalA		OK		
OTHER...P12_li_prep	mAxalA		OK		
OTHER...E0	mAxalA	mAxalAhu	OK		
OTHER...P1.E0_bi_prep	mAxalA		OK		
OTHER...P1.E0_li_prep	mAxalA		OK		
OTHER...P2.E0	mAxalA	wamAxalAhu	OK		
OTHER...P12.E0_bi_prep	mAxalA		OK		
OTHER...P12.E0_li_prep	mAxalA		OK		
OTHER....	bi	bi	OK		
OTHER...P1_bi_prep	bi		OK		
OTHER...P1_li_prep	bi		OK		
OTHER...P2	bi	wabi	OK		
OTHER...P12_bi_prep	bi		OK		
OTHER...P12_li_prep	bi		OK		
OTHER...E0	bi	bihi	OK		
OTHER...P1.E0_bi_prep	bi		OK		
OTHER...P1.E0_li_prep	bi		OK		
OTHER...P2.E0	bi	wabihi	OK		
OTHER...P12.E0_bi_prep	bi		OK		
OTHER...P12.E0_li_prep	bi		OK		
OTHER....	li		OK		
OTHER...P1_bi_prep	li		OK		
OTHER...P1_li_prep	li		OK		
OTHER...P2	li		OK		
OTHER...P12_bi_prep	li		OK		
OTHER...P12_li_prep	li		OK		
OTHER...E0	li		OK		
OTHER...P1.E0_bi_prep	li		OK		
OTHER...P1.E0_li_prep	li		OK		
OTHER...P2.E0	li		OK		
OTHER...P12.E0_bi_prep	li		OK		
OTHER...P12.E0_li_prep	li		OK		
OTHER....	<il~A	<il~A	OK		
OTHER...P1_bi_prep	<il~A		OK		
OTHER...P1_li_prep	<il~A		OK		
OTHER...P2	<il~A	wa<il~A	OK		
OTHER...P12_bi_prep	<il~A		OK		
OTHER...P12_li_prep	<il~A		OK		
OTHER...E0	<il~A		OK		
OTHER...P1.E0_bi_prep	<il~A		OK		
OTHER...P1.E0_li_prep	<il~A		OK		
OTHER...P2.E0	<il~A		OK		
OTHER...P12.E0_bi_prep	<il~A		OK		
OTHER...P12.E0_li_prep	<il~A		OK		
OTHER....	km		PROB		
OTHER...P1_bi_prep	km		OK		
OTHER...P1_li_prep	km		OK		
OTHER...P2	km		OK		
OTHER...P12_bi_prep	km		OK		
OTHER...P12_li_prep	km		OK		
OTHER...E0	km		OK		
OTHER...P1.E0_bi_prep	km		OK		
OTHER...P1.E0_li_prep	km		OK		
OTHER...P2.E0	km		OK		
OTHER...P12.E0_bi_prep	km		OK		
OTHER...P12.E0_li_prep	km		OK		
OTHER....	>uHayolaY		PROB		
OTHER...P1_bi_prep	>uHayolaY		OK		
OTHER...P1_li_prep	>uHayolaY		OK		
OTHER...P2	>uHayolaY		OK		
OTHER...P12_bi_prep	>uHayolaY		OK		
OTHER...P12_li_prep	>uHayolaY		OK		
OTHER...E0	>uHayolaY		OK		
OTHER...P1.E0_bi_prep	>uHayolaY		OK		
OTHER...P1.E0_li_prep	>uHayolaY		OK		
OTHER...P2.E0	>uHayolaY		OK		
OTHER...P12.E0_bi_prep	>uHayolaY		OK		
OTHER...P12.E0_li_prep	>uHayolaY		OK		
OTHER....	>alA	>alA	OK		
OTHER...P1_bi_prep	>alA		OK		
OTHER...P1_li_prep	>alA		OK		
OTHER...P2	>alA		OK		
OTHER...P12_bi_prep	>alA		OK		
OTHER...P12_li_prep	>alA		OK		
OTHER...E0	>alA		OK		
OTHER...P1.E0_bi_prep	>alA		OK		
OTHER...P1.E0_li_prep	>alA		OK		
OTHER...P2.E0	>alA		OK		
OTHER...P12.E0_bi_prep	>alA		OK		
OTHER...P12.E0_li_prep	>alA		OK		
OTHER....	>ayo	>ayo	OK		
OTHER...P1_bi_prep	>ayo		OK		
OTHER...P1_li_prep	>ayo		OK		
OTHER...P2	>ayo		OK		
OTHER...P12_bi_prep	>ayo		OK		
OTHER...P12_li_prep	>ayo		OK		
OTHER...E0	>ayo		OK		
OTHER...P1.E0_bi_prep	>ayo		OK		
OTHER...P1.E0_li_prep	>ayo		OK		
OTHER...P2.E0	>ayo		OK		
OTHER...P12.E0_bi_prep	>ayo		OK		
OTHER...P12.E0_li_prep	>ayo		OK		
OTHER....	fa	fa	OK		
OTHER...P1_bi_prep	fa		OK		
OTHER...P1_li_prep	fa		OK		
OTHER...P2	fa		OK		
OTHER...P12_bi_prep	fa		OK		
OTHER...P12_li_prep	fa		OK		
OTHER...E0	fa		OK		
OTHER...P1.E0_bi_prep	fa		OK		
OTHER...P1.E0_li_prep	fa		OK		
OTHER...P2.E0	fa		OK		
OTHER...P12.E0_bi_prep	fa		OK		
OTHER...P12.E0_li_prep	fa		OK		
OTHER....	fiy		PROB	fiymA?	
OTHER...P1_bi_prep	fiy		OK		
OTHER...P1_li_prep	fiy		OK		
OTHER...P2	fiy		PROB	fiymA?	
OTHER...P12_bi_prep	fiy		OK		
OTHER...P12_li_prep	fiy		OK		
OTHER...E0	fiy		OK		
OTHER...P1.E0_bi_prep	fiy		OK		
OTHER...P1.E0_li_prep	fiy		OK		
OTHER...P2.E0	fiy		OK		
OTHER...P12.E0_bi_prep	fiy		OK		
OTHER...P12.E0_li_prep	fiy		OK		
OTHER....	|na}i*K	|na}i*K	OK		
OTHER...P1_bi_prep	|na}i*K		OK		
OTHER...P1_li_prep	|na}i*K		OK		
OTHER...P2	|na}i*K	wa|na}i*K	OK		
OTHER...P12_bi_prep	|na}i*K		OK		
OTHER...P12_li_prep	|na}i*K		OK		
OTHER...E0	|na}i*K		OK		
OTHER...P1.E0_bi_prep	|na}i*K		OK		
OTHER...P1.E0_li_prep	|na}i*K		OK		
OTHER...P2.E0	|na}i*K		OK		
OTHER...P12.E0_bi_prep	|na}i*K		OK		
OTHER...P12.E0_li_prep	|na}i*K		OK		
OTHER....	>a	>a	OK		
OTHER...P1_bi_prep	>a		OK		
OTHER...P1_li_prep	>a		OK		
OTHER...P2	>a	wa>a	OK		
OTHER...P12_bi_prep	>a		OK		
OTHER...P12_li_prep	>a		OK		
OTHER...E0	>a		OK		
OTHER...P1.E0_bi_prep	>a		OK		
OTHER...P1.E0_li_prep	>a		OK		
OTHER...P2.E0	>a		OK		
OTHER...P12.E0_bi_prep	>a		OK		
OTHER...P12.E0_li_prep	>a		OK		
OTHER....	>ajal		PROB		
OTHER...P1_bi_prep	>ajal		OK		
OTHER...P1_li_prep	>ajal		OK		
OTHER...P2	>ajal		PROB	CONJ	
OTHER...P12_bi_prep	>ajal		OK		
OTHER...P12_li_prep	>ajal		OK		
OTHER...E0	>ajal		OK		
OTHER...P1.E0_bi_prep	>ajal		OK		
OTHER...P1.E0_li_prep	>ajal		OK		
OTHER...P2.E0	>ajal		OK		
OTHER...P12.E0_bi_prep	>ajal		OK		
OTHER...P12.E0_li_prep	>ajal		OK		
OTHER....	>amo	>amo	OK		
OTHER...P1_bi_prep	>amo		OK		
OTHER...P1_li_prep	>amo		OK		
OTHER...P2	>amo	wa>amo	OK		
OTHER...P12_bi_prep	>amo		OK		
OTHER...P12_li_prep	>amo		OK		
OTHER...E0	>amo		OK		
OTHER...P1.E0_bi_prep	>amo		OK		
OTHER...P1.E0_li_prep	>amo		OK		
OTHER...P2.E0	>amo		OK		
OTHER...P12.E0_bi_prep	>amo		OK		
OTHER...P12.E0_li_prep	>amo		OK		
OTHER....	>am~A	>am~A	OK		
OTHER...P1_bi_prep	>am~A		OK		
OTHER...P1_li_prep	>am~A		OK		
OTHER...P2	>am~A	wa>am~A	OK		
OTHER...P12_bi_prep	>am~A		OK		
OTHER...P12_li_prep	>am~A		OK		
OTHER...E0	>am~A		OK		
OTHER...P1.E0_bi_prep	>am~A		OK		
OTHER...P1.E0_li_prep	>am~A		OK		
OTHER...P2.E0	>am~A		OK		
OTHER...P12.E0_bi_prep	>am~A		OK		
OTHER...P12.E0_li_prep	>am~A		OK		
OTHER....	>an~a	>an~a	OK		
OTHER...P1_bi_prep	>an~a	bi>an~a	OK		
OTHER...P1_li_prep	>an~a	li>an~a	OK		
