LINE	STATUS	COUNT	SIGNATURE	LEMMA	DIAC_AR	DIAC	FREQ	QC	COMMENTS	PATTERN	STEM	BW	GLOSS	COND-S	COND-T	PREF-CAT	STEM-CAT	SUFF-CAT	FEATS	DEBUG	COLOR
1	OK-ONE	1	NOM.MS.DN.P0	{id~iEA'	الاِدِّعاءُ	AlAid~iEA'u	112			None	[{id~iEA]	Al/DET+{id~iEA/NOUN+'/STEM+u/CASE_DEF_NOM	allegation;claim;prosecution	[#A'@w]	[MS]	P:[Nom.Art]_[CS:-]_[CT:-]_[CF:li/PREP+li/PREP]	X:[Nom]_[CS:#A'@w]_[CT:MS||MD||FP]_[CF:-]	S:[DN]_[CS:MS+u-suff]_[CT:#A'@w+MS]_[CF:#A'+#A'-w+#A}iy+#a>+#aA+#aA-Ap-w+#aA-Ap-y+#aY-Ap-y+#aY-Ap-y||#aA-Ap-w||#aA||Mono+#iy+#iy||#A}iy+#o'-con+#o'-dis+#u&+#w'+FS||FD+MD||FP+MP+enc0+enc0]	pos:noun gen:m num:s cas:n enc0:0 prc0:Al_det prc1:0 prc2:0 prc3:0	OK M0 PS0 PP0	0
2	OK-ONE	1	NOM.MS.DG.P0	{id~iEA'	الاِدِّعاءِ	AlAid~iEA'i	112			None	[{id~iEA]	Al/DET+{id~iEA/NOUN+'/STEM+i/CASE_DEF_GEN	allegation;claim;prosecution	[#A'@w]	[MS]	P:[Nom.Pr.Art]_[CS:-]_[CT:-]_[CF:li/PREP+li/PREP]	X:[Nom]_[CS:#A'@w]_[CT:MS||MD||FP]_[CF:-]	S:[DG]_[CS:MS+i-suff]_[CT:#A'@w+MS]_[CF:#A'+#A'-w+#A}iy+#a>+#aA+#aA-Ap-w+#aA-Ap-y+#aY-Ap-y+#aY-Ap-y||#aA-Ap-w||#aA||Mono+#iy+#iy||#A}iy+#o'-con+#o'-dis+#u&+#w'+FS||FD+MD||FP+MP+enc0+enc0]	pos:noun gen:m num:s cas:g enc0:0 prc0:Al_det prc1:0 prc2:0 prc3:0	OK M0 PS0 PP0	1
3	OK-ONE	1	NOM.MS.DA.P0	{id~iEA'	الاِدِّعاءَ	AlAid~iEA'a	112			None	[{id~iEA]	Al/DET+{id~iEA/NOUN+'/STEM+a/CASE_DEF_ACC	allegation;claim;prosecution	[#A'@w]	[MS]	P:[Nom.Art]_[CS:-]_[CT:-]_[CF:li/PREP+li/PREP]	X:[Nom]_[CS:#A'@w]_[CT:MS||MD||FP]_[CF:-]	S:[DA]_[CS:MS+a-suff]_[CT:#A'@w+MS]_[CF:#A'+#A'-w+#A}iy+#a>+#aA+#aA-Ap-w+#aA-Ap-y+#aY-Ap-y+#aY-Ap-y||#aA-Ap-w||#aA||Mono+#iy+#o'-con+#o'-dis+#u&+#w'+FS||FD+MD||FP+MP+enc0+enc0]	pos:noun gen:m num:s cas:a enc0:0 prc0:Al_det prc1:0 prc2:0 prc3:0	OK M0 PS0 PP0	0
4	OK-ONE	1	NOM.MS.IN	{id~iEA'	اِدِّعاءٌ	Aid~iEA'N	112			None	[{id~iEA]	{id~iEA/NOUN+'/STEM+N/CASE_INDEF_NOM	allegation;claim;prosecution	[#A'@w]	[MS]	P:[Nom]_[CS:-]_[CT:-]_[CF:-]	X:[Nom]_[CS:#A'@w]_[CT:MS||MD||FP]_[CF:-]	S:[IN]_[CS:MS+u-suff]_[CT:#A'@w+MS]_[CF:#A'+#A'-w+#A}iy+#a>+#aA+#aA-Ap-w+#aA-Ap-y+#aA||Mono+#aY-Ap-y+#aY-Ap-y||#aA-Ap-w+#dip+#iy+#iy||#A}iy+#o'-con+#o'-dis+#u&+#w'+FS||FD+MD||FP+MP+enc0+enc0]	pos:noun gen:m num:s cas:n enc0:0 prc0:0 prc1:0 prc2:0 prc3:0	FSE0 M0 OK PP0 PS0	1
5	OK-ONE	1	NOM.MS.IG	{id~iEA'	اِدِّعاءٍ	Aid~iEA'K	112			None	[{id~iEA]	{id~iEA/NOUN+'/STEM+K/CASE_INDEF_GEN	allegation;claim;prosecution	[#A'@w]	[MS]	P:[Nom.Pr]_[CS:-]_[CT:-]_[CF:-]	X:[Nom]_[CS:#A'@w]_[CT:MS||MD||FP]_[CF:-]	S:[IG]_[CS:MS+i-suff]_[CT:#A'@w+MS]_[CF:#A'+#A'-w+#A}iy+#a>+#aA+#aA-Ap-w+#aA-Ap-y+#aA||Mono+#aY-Ap-y+#aY-Ap-y||#aA-Ap-w+#dip+#iy+#o'-con+#o'-dis+#u&+#w'+FS||FD+MD||FP+MP+enc0+enc0]	pos:noun gen:m num:s cas:g enc0:0 prc0:0 prc1:0 prc2:0 prc3:0	FSE0 M0 OK PP0 PS0	0
6	OK-ONE	1	NOM.MS.IA	{id~iEA'	اِدِّعاءاً	Aid~iEA'AF	112			None	[{id~iEA]	{id~iEA/NOUN+'/STEM+AF/CASE_INDEF_ACC	allegation;claim;prosecution	[#A'@w]	[MS]	P:[Nom]_[CS:-]_[CT:-]_[CF:-]	X:[Nom]_[CS:#A'@w]_[CT:MS||MD||FP]_[CF:-]	S:[IA]_[CS:MS+MS-AF+a-suff]_[CT:#A'@w+MS]_[CF:#A'+#A'-w+#A'||#A'-w||#a>+#A}iy+#a>+#aA+#aA-Ap-w+#aA-Ap-y+#aA||Mono+#aY-Ap-y+#aY-Ap-y||#aA-Ap-w+#dip+#iy+#o'-con+#o'-dis+#u&+#w'+FS||FD+MD||FP+MP+enc0+enc0]	pos:noun gen:m num:s cas:a enc0:0 prc0:0 prc1:0 prc2:0 prc3:0	FSE0 M0 OK PP0 PS0	1
7	OK-ONE	1	NOM.MS.CN	{id~iEA'	اِدِّعاءُ	Aid~iEA'u	112			None	[{id~iEA]	{id~iEA/NOUN+'/STEM+u/CASE_DEF_NOM	allegation;claim;prosecution	[#A'@w]	[MS]	P:[Nom]_[CS:-]_[CT:-]_[CF:-]	X:[Nom]_[CS:#A'@w]_[CT:MS||MD||FP]_[CF:-]	S:[CN.Pron]_[CS:MS+u-suff]_[CT:#A'@w+MS]_[CF:#A'+#A'-w+#A}iy+#a>+#aA+#aA-Ap-w+#aA-Ap-y+#aY-Ap-y+#aY-Ap-y||#aA-Ap-w||#aA||Mono+#iy+#iy||#A}iy+#o'-con+#o'-dis+#u&+#w'+FIVE-NOUNS+FS||FD+MD||FP+MP+POSS_PRON-iy+POSS_PRON-iy+enc0+enc0]	pos:noun gen:m num:s cas:n enc0:0 prc0:0 prc1:0 prc2:0 prc3:0	FSE0 M0 OK PP0 PS0	0
8	OK-ONE	1	NOM.MS.CG	{id~iEA'	اِدِّعاءِ	Aid~iEA'i	112			None	[{id~iEA]	{id~iEA/NOUN+'/STEM+i/CASE_DEF_GEN	allegation;claim;prosecution	[#A'@w]	[MS]	P:[Nom.Pr]_[CS:-]_[CT:-]_[CF:-]	X:[Nom]_[CS:#A'@w]_[CT:MS||MD||FP]_[CF:-]	S:[CG.Pron]_[CS:#^i+MS+i-suff]_[CT:#A'@w+MS]_[CF:#A'+#A'-w+#A}iy+#a>+#aA+#aA-Ap-w+#aA-Ap-y+#aY-Ap-y+#aY-Ap-y||#aA-Ap-w||#aA||Mono+#iy+#iy||#A}iy+#o'-con+#o'-dis+#u&+#w'+FIVE-NOUNS+FS||FD+MD||FP+MP+POSS_PRON-iy+POSS_PRON-iy+enc0+enc0]	pos:noun gen:m num:s cas:g enc0:0 prc0:0 prc1:0 prc2:0 prc3:0	FSE0 M0 OK PP0 PS0	1
9	OK-ONE	1	NOM.MS.CA	{id~iEA'	اِدِّعاءَ	Aid~iEA'a	112			None	[{id~iEA]	{id~iEA/NOUN+'/STEM+a/CASE_DEF_ACC	allegation;claim;prosecution	[#A'@w]	[MS]	P:[Nom]_[CS:-]_[CT:-]_[CF:-]	X:[Nom]_[CS:#A'@w]_[CT:MS||MD||FP]_[CF:-]	S:[CA.Pron]_[CS:MS+a-suff]_[CT:#A'@w+MS]_[CF:#A'+#A'-w+#A}iy+#a>+#aA+#aA-Ap-w+#aA-Ap-y+#aY-Ap-y+#aY-Ap-y||#aA-Ap-w||#aA||Mono+#iy+#o'-con+#o'-dis+#u&+#w'+FIVE-NOUNS+FS||FD+MD||FP+MP+POSS_PRON-iy+POSS_PRON-iy+enc0+enc0]	pos:noun gen:m num:s cas:a enc0:0 prc0:0 prc1:0 prc2:0 prc3:0	FSE0 M0 OK PP0 PS0	0
10	OK-ZERO-E0-DEFINITE	0	NOM.MS.DN.P0.E0	{id~iEA'			112			None	[{id~iEA]			[#A'@w]	[MS]					FSE0 PS0 PP0	1
11	OK-ZERO-E0-DEFINITE	0	NOM.MS.DG.P0.E0	{id~iEA'			112			None	[{id~iEA]			[#A'@w]	[MS]					FSE0 PS0 PP0	0
12	OK-ZERO-E0-DEFINITE	0	NOM.MS.DA.P0.E0	{id~iEA'			112			None	[{id~iEA]			[#A'@w]	[MS]					FSE0 PS0 PP0	1
