LINE	STATUS	COUNT	SIGNATURE	LEMMA	DIAC_AR	DIAC	FREQ	QC	COMMENTS	PATTERN	STEM	BW	GLOSS	COND-S	COND-T	PREF-CAT	STEM-CAT	SUFF-CAT	FEATS	DEBUG	COLOR
1	OK-ONE	1	NOM.MS.DN	Ealiy~	عَلِيُّ	Ealiy~u	6535			None	[Ealiy~]	Ealiy~/ADJ+u/CASE_DEF_NOM	supreme;high	[-]	[MS]	P:[Nom.Art]_[CS:-]_[CT:-]_[CF:-]	X:[Nom]_[CS:-]_[CT:MS||MD||MP||FS||FD||FP]_[CF:-]	S:[DN]_[CS:MS+u-suff]_[CT:-]_[CF:#aY-Ap-y||#A-Ap-w||#aA||Mono+#iy||#A}iy]	pos:adj gen:m num:s cas:n enc0:0 prc0:0 prc1:0 prc2:0 prc3:0	FSE0 M0 OK PS0	0
2	OK-ONE	1	NOM.MS.DG	Ealiy~	عَلِيِّ	Ealiy~i	6535			None	[Ealiy~]	Ealiy~/ADJ+i/CASE_DEF_GEN	supreme;high	[-]	[MS]	P:[Nom.Pr.Art]_[CS:-]_[CT:-]_[CF:-]	X:[Nom]_[CS:-]_[CT:MS||MD||MP||FS||FD||FP]_[CF:-]	S:[DG]_[CS:MS+i-suff]_[CT:-]_[CF:#aY-Ap-y||#A-Ap-w||#aA||Mono+#iy||#A}iy]	pos:adj gen:m num:s cas:g enc0:0 prc0:0 prc1:0 prc2:0 prc3:0	FSE0 M0 OK PS0	1
3	OK-ONE	1	NOM.MS.DA	Ealiy~	عَلِيَّ	Ealiy~a	6535			None	[Ealiy~]	Ealiy~/ADJ+a/CASE_DEF_ACC	supreme;high	[-]	[MS]	P:[Nom.Art]_[CS:-]_[CT:-]_[CF:-]	X:[Nom]_[CS:-]_[CT:MS||MD||MP||FS||FD||FP]_[CF:-]	S:[DA]_[CS:MS+a-suff]_[CT:-]_[CF:#aY-Ap-y||#A-Ap-w||#aA||Mono]	pos:adj gen:m num:s cas:a enc0:0 prc0:0 prc1:0 prc2:0 prc3:0	FSE0 M0 OK PS0	0
4	OK-ONE	1	NOM.MS.IN	Ealiy~	عَلِيٌّ	Ealiy~N	6535			None	[Ealiy~]	Ealiy~/ADJ+N/CASE_INDEF_NOM	supreme;high	[-]	[MS]	P:[Nom]_[CS:-]_[CT:-]_[CF:-]	X:[Nom]_[CS:-]_[CT:MS||MD||MP||FS||FD||FP]_[CF:-]	S:[IN]_[CS:MS+u-suff]_[CT:-]_[CF:#aA||Mono+#aY-Ap-y||#A-Ap-w+#iy||#A}iy+@dip]	pos:adj gen:m num:s cas:n enc0:0 prc0:0 prc1:0 prc2:0 prc3:0	FSE0 M0 OK PS0	1
5	OK-ONE	1	NOM.MS.IG	Ealiy~	عَلِيٍّ	Ealiy~K	6535			None	[Ealiy~]	Ealiy~/ADJ+K/CASE_INDEF_GEN	supreme;high	[-]	[MS]	P:[Nom.Pr]_[CS:-]_[CT:-]_[CF:-]	X:[Nom]_[CS:-]_[CT:MS||MD||MP||FS||FD||FP]_[CF:-]	S:[IG]_[CS:MS+i-suff]_[CT:-]_[CF:#aA||Mono+#aY-Ap-y||#A-Ap-w+@dip]	pos:adj gen:m num:s cas:g enc0:0 prc0:0 prc1:0 prc2:0 prc3:0	FSE0 M0 OK PS0	0
6	OK-ONE	1	NOM.MS.IA	Ealiy~	عَلِيّاً	Ealiy~AF	6535			None	[Ealiy~]	Ealiy~/ADJ+AF/CASE_INDEF_ACC	supreme;high	[-]	[MS]	P:[Nom]_[CS:-]_[CT:-]_[CF:-]	X:[Nom]_[CS:-]_[CT:MS||MD||MP||FS||FD||FP]_[CF:-]	S:[IA]_[CS:AF-suff+MS+a-suff]_[CT:-]_[CF:#A'||#A'wy||#a>+#aA||Mono+#aY-Ap-y||#A-Ap-w+@dip]	pos:adj gen:m num:s cas:a enc0:0 prc0:0 prc1:0 prc2:0 prc3:0	FSE0 M0 OK PS0	1
7	OK-ONE	1	NOM.MS.CN	Ealiy~	عَلِيُّ	Ealiy~u	6535			None	[Ealiy~]	Ealiy~/ADJ+u/CASE_DEF_NOM	supreme;high	[-]	[MS]	P:[Nom]_[CS:-]_[CT:-]_[CF:-]	X:[Nom]_[CS:-]_[CT:MS||MD||MP||FS||FD||FP]_[CF:-]	S:[CN.Pron]_[CS:MS+u-suff]_[CT:-]_[CF:#aY-Ap-y||#aA-Ap-w||#aA||Mono+#iy||#A}iy+C:POSSPRON-iy+C:POSS_PRON-iy]	pos:adj gen:m num:s cas:n enc0:0 prc0:0 prc1:0 prc2:0 prc3:0	FSE0 M0 OK PS0	0
8	OK-ONE	1	NOM.MS.CG	Ealiy~	عَلِيِّ	Ealiy~i	6535			None	[Ealiy~]	Ealiy~/ADJ+i/CASE_DEF_GEN	supreme;high	[-]	[MS]	P:[Nom.Pr]_[CS:-]_[CT:-]_[CF:-]	X:[Nom]_[CS:-]_[CT:MS||MD||MP||FS||FD||FP]_[CF:-]	S:[CG.Pron]_[CS:C:i#+MS+i-suff]_[CT:-]_[CF:#aY-Ap-y||#aA-Ap-w||#aA||Mono+#iy||#A}iy+C:POSSPRON-iy+C:POSS_PRON-iy]	pos:adj gen:m num:s cas:g enc0:0 prc0:0 prc1:0 prc2:0 prc3:0	FSE0 M0 OK PS0	1
9	OK-ONE	1	NOM.MS.CA	Ealiy~	عَلِيَّ	Ealiy~a	6535			None	[Ealiy~]	Ealiy~/ADJ+a/CASE_DEF_ACC	supreme;high	[-]	[MS]	P:[Nom]_[CS:-]_[CT:-]_[CF:-]	X:[Nom]_[CS:-]_[CT:MS||MD||MP||FS||FD||FP]_[CF:-]	S:[CA.Pron]_[CS:MS+a-suff]_[CT:-]_[CF:#aY-Ap-y||#aA-Ap-w||#aA||Mono+C:POSSPRON-iy+C:POSS_PRON-iy]	pos:adj gen:m num:s cas:a enc0:0 prc0:0 prc1:0 prc2:0 prc3:0	FSE0 M0 OK PS0	0
10	OK-ZERO-E0-DEFINITE	0	NOM.MS.DN.E0	Ealiy~			6535			None	[Ealiy~]			[-]	[MS]					FSE0 M0 PS0	1
