,LINE,ROOT,PATTERN,PATTERN_ABSTRACT,DEFINE,CLASS,LEMMA,FORM,COND-T,COND-S,GLOSS,FEAT,STATUS,SIGNATURE_LEMMA,QC_LEMMA_PARADIGM,COMMENTS,NOTES,SIGNATURE_STEM,QC_STEM_PARADIGM
0,1,*.k.w,>a1o2,>a1o2a3,LEXICON,[STEM-NOM],>a*okaY,>a*ok,MS||MD,#dip #aY-Ap-y,more/most_delicious;smarter/smartest,pos:adj_comp gen:- num:- rat:n cas:u,DONE,[MS||MD] [-] [-] stem:0,OK,,,>a1o2a3#dip #aY-Ap-yMS||MD--,OK
1,2,$.d.d,>a1a2~,>a1o2a3,LEXICON,[STEM-NOM],>a$ad~,>a$ad~,MS||MD,#dip,more/most_intense;stronger/strongest,pos:adj_comp gen:- num:- rat:n cas:u,DONE,[MS||MD] [-] [-] stem:0,OK,,,>a1o2a3#dipMS||MD--,OK
2,3,$.b.h,>a1o2a3,>a1o2a3,LEXICON,[STEM-NOM],>a$obah,>a$obah,MS||MD,#dip,more/most_similar,pos:adj_comp gen:- num:- rat:n cas:u,DONE,[MS||MD] [-] [-] stem:0,OK,,,>a1o2a3#dipMS||MD--,OK
3,4,$.h.r,>a1o2a3,>a1o2a3,LEXICON,[STEM-NOM],>a$ohar,>a$ohar,MS||MD,#dip,more/most_famous;more/most_well-known,pos:adj_comp gen:- num:- rat:n cas:u,DONE,[MS||MD] [-] [-] stem:0,OK,,,>a1o2a3#dipMS||MD--,OK
4,5,$.m.l,>a1o2a3,>a1o2a3,LEXICON,[STEM-NOM],>a$omal,>a$omal,MS||MD,#dip,more/most_comprehensive,pos:adj_comp gen:- num:- rat:n cas:u,DONE,[MS||MD] [-] [-] stem:0,OK,,,>a1o2a3#dipMS||MD--,OK
5,6,$.q.w,>a1o2,>a1o2a3,LEXICON,[STEM-NOM],>a$oqaY,>a$oq,MS||MD,#dip #aY-Ap-y,most_wretched,pos:adj_comp gen:- num:- rat:n cas:u,DONE,[MS||MD] [-] [-] stem:0,OK,,,>a1o2a3#dip #aY-Ap-yMS||MD--,OK
6,7,$.r.f,>a1o2a3,>a1o2a3,LEXICON,[STEM-NOM],>a$oraf,>a$oraf,MS||MD,#dip,more/most_noble/honorable,pos:adj_comp gen:- num:- rat:n cas:u,DONE,[MS||MD] [-] [-] stem:0,OK,,,>a1o2a3#dipMS||MD--,OK
7,8,$.T.r,>a1o2a3,>a1o2a3,LEXICON,[STEM-NOM],>a$oTar,>a$oTar,MS||MD,#dip,more_intelligent,pos:adj_comp gen:- num:- rat:n cas:u,DONE,[MS||MD] [-] [-] stem:0,OK,,,>a1o2a3#dipMS||MD--,OK
8,9,$.y.k,>a1o2a3,>a1o2a3,LEXICON,[STEM-NOM],>a$oyak,>a$oyak,MS||MD,#dip,more/most_chic,pos:adj_comp gen:- num:- rat:n cas:u,DONE,[MS||MD] [-] [-] stem:0,OK,,,>a1o2a3#dipMS||MD--,OK
9,10,b.$.E,>a1o2a3,>a1o2a3,LEXICON,[STEM-NOM],>abo$aE,>abo$aE,MS||MD,#dip,uglier/ugliest,pos:adj_comp gen:- num:- rat:n cas:u,DONE,[MS||MD] [-] [-] stem:0,OK,,,>a1o2a3#dipMS||MD--,OK
10,11,b.d.E,>a1o2a3,>a1o2a3,LEXICON,[STEM-NOM],>abodaE,>abodaE,MS||MD,#dip,more/most_amazing,pos:adj_comp gen:- num:- rat:n cas:u,DONE,[MS||MD] [-] [-] stem:0,OK,,,>a1o2a3#dipMS||MD--,OK
11,12,b.E.d,>a1aA2i3,>a1A2i3,LEXICON,[STEM-NOM],>aboEad,>abaAEid,MS,#dip,farther;farthest,pos:adj_comp gen:m num:p rat:n cas:u,DONE,[MS||MD||MP]-[MS||MD||FP]-[MS] [-]-[f]-[m] [-]-[-]-[p] stem:0-1-2,OK~,,,>a1A2i3#dipMSmp,OK
12,13,b.E.d,>a1o2a3,>a1o2a3,LEXICON,[STEM-NOM],>aboEad,>aboEad,MS||MD||MP,#dip,farther;farthest,pos:adj_comp gen:- num:- rat:n cas:u,DONE,[MS||MD||MP]-[MS||MD||FP]-[MS] [-]-[f]-[m] [-]-[-]-[p] stem:0-1-2,OK~,,,>a1o2a3#dipMS||MD||MP--,OK
