,LINE,ROOT,PATTERN,INTERDIGITATION,STATUS_PATTERN,COUNT_PATTERN,PATTERN_ABSTRACT,COUNT_PATTERN_ABSTRACT,STATUS,DEFINE,CLASS,LEMMA,FORM,QC,COND-T,COND-S,GLOSS,#GLOSS_OLD,FEAT,POS,GEN,NUM,RAT,CAS,SIGNATURE_LEMMA,QC_LEMMA_PARADIGM,COMMENTS,NOTES,SIGNATURE_STEM,QC_STEM_PARADIGM
0,1,>.l.f,{i}oti2aA3iy~,{i}otilaAfiy~,DONE,2,{i1oti2A3+iy~,62,DONE,LEXICON,[STEM-ADJ],{i}otilaAfiy~,{i}otilaAfiy~,OK,MS||MD||MP||FS||FD||FP,_,coalition,coalition,pos:adj gen:- num:- rat:n cas:u,adj,-,-,n,u,[MS||MD||MP||FS||FD||FP] [-] [-] stem:0,OK,,,{i1oti2A3+iy~_MS||MD||MP||FS||FD||FP--,OK
1,2,>.m.n,{i}oti2aA3iy~,{i}otimaAniy~,DONE,2,{i1oti2A3+iy~,62,DONE,LEXICON,[STEM-ADJ],{i}otimaAniy~,{i}otimaAniy~,OK,MS||MD||MP||FS||FD||FP,_,credit;fiduciary,fiduciary;credit,pos:adj gen:- num:- rat:n cas:u,adj,-,-,n,u,[MS||MD||MP||FS||FD||FP] [-] [-] stem:0,OK,,,{i1oti2A3+iy~_MS||MD||MP||FS||FD||FP--,OK
2,3,$.E.l,{i1oti2aA3iy~,{i$otiEaAliy~,DONE,45,{i1oti2A3+iy~,62,DONE,LEXICON,[STEM-ADJ],{i$otiEaAliy~,{i$otiEaAliy~,OK,MS||MD||MP||FS||FD||FP,_,combustible;flammable,combustible;flammable,pos:adj gen:- num:- rat:n cas:u,adj,-,-,n,u,[MS||MD||MP||FS||FD||FP] [-] [-] stem:0,OK,,,{i1oti2A3+iy~_MS||MD||MP||FS||FD||FP--,OK
3,4,$.q.q,{i1oti2aA3iy~,{i$otiqaAqiy~,DONE,45,{i1oti2A3+iy~,62,DONE,LEXICON,[STEM-ADJ],{i$otiqaAqiy~,{i$otiqaAqiy~,OK,MS||MD||MP||FS||FD||FP,_,derivational,derivational,pos:adj gen:- num:- rat:n cas:u,adj,-,-,n,u,[MS||MD||MP||FS||FD||FP] [-] [-] stem:0,OK,,,{i1oti2A3+iy~_MS||MD||MP||FS||FD||FP--,OK
4,5,$.r.E,{i1oti2aA3iy~,{i$otiraAEiy~,DONE,45,{i1oti2A3+iy~,62,DONE,LEXICON,[STEM-ADJ],{i$otiraAEiy~,{i$otiraAEiy~,OK,MS||MD||MP||FS||FD||FP,_,legislative,legislative,pos:adj gen:- num:- rat:n cas:u,adj,-,-,n,u,[MS||MD||MP||FS||FD||FP] [-] [-] stem:0,OK,,,{i1oti2A3+iy~_MS||MD||MP||FS||FD||FP--,OK
5,6,$.r.k,{i1oti2aA3iy~,{i$otiraAkiy~,DONE,45,{i1oti2A3+iy~,62,DONE,LEXICON,[STEM-ADJ],{i$otiraAkiy~,{i$otiraAkiy~,OK,MS||MD||MP||FS||FD||FP,_,socialist,socialist,pos:adj gen:- num:- rat:n cas:u,adj,-,-,n,u,[MS||MD||MP||FS||FD||FP] [-] [-] stem:0,OK,,,{i1oti2A3+iy~_MS||MD||MP||FS||FD||FP--,OK
6,7,b.d.>,{i1oti2aA}iy~,{ibotidaA}iy~,DONE,5,{i1oti2A3+iy~,62,DONE,LEXICON,[STEM-ADJ],{ibotidaA}iy~,{ibotidaA}iy~,OK,MS||MD||MP||FS||FD||FP,_,elementary;preparatory,elementary;preparatory,pos:adj gen:- num:- rat:n cas:u,adj,-,-,n,u,[MS||MD||MP||FS||FD||FP] [-] [-] stem:0,OK,,,{i1oti2A3+iy~_MS||MD||MP||FS||FD||FP--,OK
7,8,b.d.E,{i1oti2aA3iy~,{ibotidaAEiy~,DONE,45,{i1oti2A3+iy~,62,DONE,LEXICON,[STEM-ADJ],{ibotidaAEiy~,{ibotidaAEiy~,OK,MS||MD||MP||FS||FD||FP,_,innovative,innovative,pos:adj gen:- num:- rat:n cas:u,adj,-,-,n,u,[MS||MD||MP||FS||FD||FP] [-] [-] stem:0,OK,,,{i1oti2A3+iy~_MS||MD||MP||FS||FD||FP--,OK
8,9,b.k.r,{i1oti2aA3iy~,{ibotikaAriy~,DONE,45,{i1oti2A3+iy~,62,DONE,LEXICON,[STEM-ADJ],{ibotikaAriy~,{ibotikaAriy~,OK,MS||MD||MP||FS||FD||FP,_,inventive;original,original;inventive,pos:adj gen:- num:- rat:n cas:u,adj,-,-,n,u,[MS||MD||MP||FS||FD||FP] [-] [-] stem:0,OK,,,{i1oti2A3+iy~_MS||MD||MP||FS||FD||FP--,OK
9,10,b.z.z,{i1oti2aA3iy~,{ibotizaAziy~,DONE,45,{i1oti2A3+iy~,62,DONE,LEXICON,[STEM-ADJ],{ibotizaAziy~,{ibotizaAziy~,OK,MS||MD||MP||FS||FD||FP,_,embezzling;extorting,embezzling;extorting,pos:adj gen:- num:- rat:n cas:u,adj,-,-,n,u,[MS||MD||MP||FS||FD||FP] [-] [-] stem:0,OK,,,{i1oti2A3+iy~_MS||MD||MP||FS||FD||FP--,OK
