,LINE,ROOT,PATTERN,INTERDIGIT,STATUS_PATTERN,COUNT_PATTERN,PATTERN_ABSTRACT_WIP,PATTERN_ABSTRACT,COUNT_PATTERN_ABSTRACT,STATUS_PATTERN_ABSTRACT,DEFINE,CLASS,LEMMA,FORM,COND-T,COND-S,GLOSS,FEAT,POS,GEN,NUM,RAT,CAS,STATUS,COMMENTS,NOTES
0,1,>.l.f,@a2o3,@alof,DONE,1,1a2o3,1a2o3,16,DONE,LEXICON,[STEM-NOM],>alof,>alof,MS,,thousandth,pos:adj_num gen:- num:- rat:n cas:n,adj_num,-,-,n,n,DONE,,
1,2,r.b.E,@a1o2a3ami},@arobaEami},DONE,1,>a1o2a3+ami}+ap,>a1o2a3,1,DONE,LEXICON,[STEM-NOM],>arobaEami}ap,>arobaEami},FS,X100,four-hundredth,pos:adj_num gen:- num:- rat:n cas:a,adj_num,-,-,n,a,DONE,,
2,3,r.b.E,@a1o2a3amiA},@arobaEamiA},DONE,1,>a1o2a3+amiA}+ap,>a1o2a3,1,DONE,LEXICON,[STEM-NOM],>arobaEamiA}ap,>arobaEamiA},FS,X100,four-hundredth,pos:adj_num gen:- num:- rat:n cas:a,adj_num,-,-,n,a,DONE,,
3,4,r.b.E,@a1o2a3imi},@arobaEimi},DONE,1,>a1o2a3+imi}+ap,>a1o2a3,1,DONE,LEXICON,[STEM-NOM],>arobaEami}ap,>arobaEimi},FS,X100,four-hundredth,pos:adj_num gen:- num:- rat:n cas:g,adj_num,-,-,n,g,DONE,,
4,5,r.b.E,@a1o2a3imiA},@arobaEimiA},DONE,1,>a1o2a3+imiA}+ap,>a1o2a3,1,DONE,LEXICON,[STEM-NOM],>arobaEamiA}ap,>arobaEimiA},FS,X100,four-hundredth,pos:adj_num gen:- num:- rat:n cas:g,adj_num,-,-,n,g,DONE,,
5,6,r.b.E,@a1o2a3umi},@arobaEumi},DONE,1,>a1o2a3+umi}+ap,>a1o2a3,1,DONE,LEXICON,[STEM-NOM],>arobaEami}ap,>arobaEumi},FS,X100,four-hundredth,pos:adj_num gen:- num:- rat:n cas:n,adj_num,-,-,n,n,DONE,,
6,7,r.b.E,@a1o2a3umiA},@arobaEumiA},DONE,1,>a1o2a3+umiA}+ap,>a1o2a3,1,DONE,LEXICON,[STEM-NOM],>arobaEamiA}ap,>arobaEumiA},FS,X100,four-hundredth,pos:adj_num gen:- num:- rat:n cas:n,adj_num,-,-,n,n,DONE,,
7,8,r.b.E,@a1o2a3,@arobaE,DONE,1,>a1o2a3,>a1o2a3,1,DONE,LEXICON,[STEM-NOM],>arobaEuwn,>arobaE,MP,#MP-uwn,fortieth,pos:adj_num gen:- num:- rat:n cas:u,adj_num,-,-,n,u,DONE,,
8,9,w.>.l,@a1~a3,@aw~al,DONE,1,>a1o2a3,>a1o2a3,1,DONE,LEXICON,[STEM-NOM],>aw~al,>aw~al,MS||MD||MP,,first,pos:adj_num gen:- num:- rat:n cas:u,adj_num,-,-,n,u,DONE,,
9,10,w.>.l,@a1aA}i3,@awaA}il,DONE,1,>a1A2i3,>a1A2i3,1,DONE,LEXICON,[STEM-NOM],>aw~al,>awaA}il,MS,#dip,first,pos:adj_num gen:- num:- rat:n cas:u,adj_num,-,-,n,u,DONE,,
10,11,w.>.l,@u1a3,@uwal,DONE,1,>u1a3,>a1o2a3,1,DONE,LEXICON,[STEM-NOM],>aw~al,>uwal,MS,,first,pos:adj_num gen:f num:p rat:n cas:u,adj_num,f,p,n,u,DONE,,
11,12,w.>.l,@u13,@uwl,DONE,1,>u13,>a1o2a3,1,DONE,LEXICON,[STEM-NOM],>aw~al,>uwl,MS||MD||FP,#aY-Ap-y,first,pos:adj_num gen:f num:- rat:n cas:u,adj_num,f,-,n,u,DONE,,
12,13,b.l.y.n,1i2o3uw4,biloyuw4,DONE,3,3,,1i2o3uw4,DONE,LEXICON,[STEM-NOM],biloyuwn,biloyuwn,MS||MD,,billionth,pos:noun_num gen:- num:- rat:n cas:u,noun_num,-,-,n,u,DONE,,
