,PATTERN,COND-T,COND-S,#LEMMA,#FORM,MATCH,SUB,COND-T-PASS,COND-S-PASS,Test,Color,Comments,STATUS
0,{i>o2a3~,c-suff,gem,{i}otam~,{i}otamam,{i(.).(.).(.).(.),{u&o$2u$3i$4,c-suff,gem,{u&otumim,0,,DONE
1,{i>o2a3~,v-suff,gem,{i}otam~,{i}otam~,{i(.).(.).(.)~,{u&o$2u$3~,v-suff,gem,{u&otum~,0,,DONE
2,{i>ota2a3,,#n,{i}otalaf,{i}otalaf,{i(.).(.).(.).(.),{u&o$2u$3i$4,,#n,{u&otulif,1,,DONE
3,{i>ota2a3,,,{i}otalaf,{i}otalaf,{i(.).(.).(.).(.),{u&o$2u$3i$4,,,{u&otulif,1,,DONE
4,{it~a>a3,,,{it~a>ad,{it~a>ad,{i(.)~.(.).(.),{u$1~u}i$3,,,{ut~u}id,0,,DONE
5,{it~a2a>,,#-a>,{id~afa>,{id~af,{i(.)~.(.),{u$1~u$2i},,,{ud~ufi},1,,DONE
6,{it~a2a3,,,{it~aEaZ,{it~aEaZ,{i(.)~.(.).(.),{u$1~u$2i$3,,,{ut~uEiZ,0,,DONE
7,{it~a2aY,,#-ay,{im~aHaY,{im~aH,{i(.)~.(.),{u$1~u$2,,#-iy,{um~uH,1,,DONE
8,{it~aAo3,c-suff,,{id~aAH,{id~aH,{i(.)~.(.),{u$1~i$2,c-suff,hollow,{ud~iH,0,,DONE
9,{it~aAo3,v-suff,,{id~aAH,{id~aAH,{i(.)~aA(.),{u$1~iy$2,v-suff,hollow,{ud~iyH,0,,DONE
10,{i1o2a>a4~,c-suff,,{iToma>an~,{iToma>onan,{i(.).(.).(.).(.).(.),{u$1o$2u&o$4i$5,c-suff,hollow,{uTomu&onin,1,,DONE
11,{i1o2a>a4~,v-suff,,{iToma>an~,{iToma>an~,{i(.).(.).(.).(.)~,{u$1o$2u&i$4~,v-suff,hollow,{uTomu&in~,1,,DONE
12,{i1o2a>a4~,c-suff,#n,{iToma>an~,{iToma>onan,{i(.).(.).(.).(.).(.),{u$1o$2u&o$4i$5,c-suff,#n hollow,{uTomu&onin,1,,DONE
13,{i1o2a>a4~,v-suff,#n,{iToma>an~,{iToma>an~,{i(.).(.).(.).(.)~,{u$1o$2u&i$4~,v-suff,#n hollow,{uTomu&in~,1,,DONE
14,{i1o2a3~,c-suff,gem,{izoraq~,{izoraqaq,{i(.).(.).(.).(.),{u$1o$2u$3i$4,c-suff,gem,{uzoruqiq,0,,DONE
15,{i1o2a3~,v-suff,gem,{izoraq~,{izoraq~,{i(.).(.).(.)~,{u$1o$2u$3~,v-suff,gem,{uzoruq~,0,,DONE
16,{i1o2a3a4~,c-suff,gem,{izomahar~,{izomahorar,{i(.).(.).(.).(.).(.),{u$1o$2u$3o$4i$5,c-suff,gem,{uzomuhorir,1,,DONE
17,{i1o2a3a4~,v-suff,gem,{izomahar~,{izomahar~,{i(.).(.).(.).(.)~,{u$1o$2u$3i$4~,v-suff,gem,{uzomuhir~,1,,DONE
18,{i1o2aAo4~,c-suff,gem,{iSohaAb~,{iSohaAbab,{i(.).(.)aA(.).(.),{u$1o$2uw$3i$4,c-suff,gem,{uSohuwbib,0,,DONE
19,{i1o2aAo4~,v-suff,gem,{iSohaAb~,{iSohaAb~,{i(.).(.)aA(.)~,{u$1o$2uw$3~,v-suff,gem,{uSohuwb~,0,,DONE
20,{i1o2ano3a4,,,{iqoEanosas,{iqoEanosas,{i(.).(.).(.).(.).(.),{u$1o$2u$3o$4i$5,,,{uqoEunosis,1,,DONE
21,{i1o2awo2a3,,#n,{igoraworaq,{igoraworaq,{i(.).(.).(.).(.).(.),{u$1o$2u$3o$4i$5,,#n,{ugoruworiq,0,,DONE
