,LINE,PATTERN_ABSTRACT,ROOT,DEFINE,CLASS,LEMMA,FORM,BW,GLOSS,FEAT,COND-T,COND-S,COMMENTS,STATUS
0,1,{isota1o2a3,*.>.b,LEXICON,[STEM-IV],{isota*o>ab,sota*o}ib,IV,be_wolflike;be_lupine,pos:verb asp:i vox:a,,a-# intrans,,
1,2,{isota1o2a3,*.>.b,LEXICON,[STEM-IV],{isota*o>ab,sota*o>ab,IV_PASS,be_wolflike;be_lupine,pos:verb asp:i vox:p,,u-# intrans,,
2,3,1a2o3a4,*.b.*.b,LEXICON,[STEM-IV],*abo*ab,*abo*ib,IV,swing;dangle,pos:verb asp:i vox:a,,u-# trans,,
3,4,ta1a2o3a4,*.b.*.b,LEXICON,[STEM-IV],ta*abo*ab,ta*abo*ab,IV,oscillate;fluctuate;waver,pos:verb asp:i vox:a,,a-# trans,,
4,5,1a2o3a4,*.b.*.b,LEXICON,[STEM-IV],*abo*ab,*abo*ab,IV_PASS,swing;dangle,pos:verb asp:i vox:p,,u-# intrans,,
5,6,ta1a2o3a4,*.b.*.b,LEXICON,[STEM-IV],ta*abo*ab,ta*abo*ab,IV_PASS,oscillate;fluctuate;waver,pos:verb asp:i vox:p,,u-# intrans,,
6,7,1a2a3,*.b.b,LEXICON,[STEM-IV],*ab~-u,*ub~,IV,drive_away;defend,pos:verb asp:i vox:a,v-suff,a-# gem trans,,
7,8,1a2a3,*.b.b,LEXICON,[STEM-IV],*ab~-u,*obub,IV,drive_away;defend,pos:verb asp:i vox:a,c-suff,a-# gem trans,,
8,9,1a2a3,*.b.b,LEXICON,[STEM-IV],*ab~-u,*ab~,IV_PASS,drive_away;defend,pos:verb asp:i vox:p,v-suff,u-# gem intrans,,
9,10,1a2a3,*.b.b,LEXICON,[STEM-IV],*ab~-u,*obab,IV_PASS,drive_away;defend,pos:verb asp:i vox:p,c-suff,u-# gem intrans,,
10,11,1a2~a3,*.b.H,LEXICON,[STEM-IV],*ab~aH,*ab~iH,IV,slaughter;massacre;sacrifice,pos:verb asp:i vox:a,,u-# trans,,
11,12,1a2a3,*.b.H,LEXICON,[STEM-IV],*abaH-a,*obaH,IV,slaughter;massacre;sacrifice,pos:verb asp:i vox:a,,a-# trans,,
12,13,1a2~a3,*.b.H,LEXICON,[STEM-IV],*ab~aH,*ab~aH,IV_PASS,slaughter;massacre;sacrifice,pos:verb asp:i vox:p,,u-# intrans,,
13,14,1a2a3,*.b.H,LEXICON,[STEM-IV],*abaH-a,*obaH,IV_PASS,slaughter;massacre;sacrifice,pos:verb asp:i vox:p,,u-# intrans,,
14,15,1a2a3,*.b.l,LEXICON,[STEM-IV],*abal-u,*obul,IV,wilt;fade;waste_away,pos:verb asp:i vox:a,,a-# trans,,
15,16,1a2a3,*.b.l,LEXICON,[STEM-IV],*abul-u,*obul,IV,wilt;fade;waste_away,pos:verb asp:i vox:a,,a-# trans,,
16,17,1a2a3,*.b.l,LEXICON,[STEM-IV],*abal-u,*obal,IV_PASS,wilt;fade;waste_away,pos:verb asp:i vox:p,,u-# intrans,,
17,18,1a2a3,*.b.l,LEXICON,[STEM-IV],*abul-u,*obal,IV_PASS,wilt;fade;waste_away,pos:verb asp:i vox:p,,u-# intrans,,
18,19,1a2a3,*.E.n,LEXICON,[STEM-IV],*aEin-a,*oEan,IV,submit;yield;obey,pos:verb asp:i vox:a,,a-# #n trans,,
19,20,>a1o2a3,*.E.n,LEXICON,[STEM-IV],>a*oEan,*oEin,IV,submit;yield;obey,pos:verb asp:i vox:a,,u-# #n trans,,
20,21,1a2a3,*.E.n,LEXICON,[STEM-IV],*aEin-a,*oEan,IV_PASS,submit;yield;obey,pos:verb asp:i vox:p,,u-# #n intrans,,
21,22,>a1o2a3,*.E.n,LEXICON,[STEM-IV],>a*oEan,*oEan,IV_PASS,submit;yield;obey,pos:verb asp:i vox:p,,u-# #n intrans,,
22,23,1a2a3,*.E.q,LEXICON,[STEM-IV],*aEaq-a,*oEaq,IV,frighten;startle,pos:verb asp:i vox:a,,a-# trans,,
23,24,1a2a3,*.E.q,LEXICON,[STEM-IV],*aEaq-a,*oEaq,IV_PASS,frighten;startle,pos:verb asp:i vox:p,,u-# intrans,,
24,25,{ino1a2a3,*.E.r,LEXICON,[STEM-IV],{ino*aEar,no*aEir,IV,panic,pos:verb asp:i vox:a,,a-# trans,,
25,26,1a2a3,*.E.r,LEXICON,[STEM-IV],*aEar-a,*oEar,IV,frighten,pos:verb asp:i vox:a,,a-# trans,,
26,27,1a2a3,*.E.r,LEXICON,[STEM-IV],*aEir-a,*oEar,IV,be_frightened,pos:verb asp:i vox:a,,a-# intrans,,
27,28,>a1o2a3,*.E.r,LEXICON,[STEM-IV],>a*oEar,*oEir,IV,frighten,pos:verb asp:i vox:a,,u-# trans,,
28,29,ta1a2~3,*.E.r,LEXICON,[STEM-IV],ta*aE~ar,ta*aE~ar,IV,panic,pos:verb asp:i vox:a,,a-# trans,,
29,30,{ino1a2a3,*.E.r,LEXICON,[STEM-IV],{ino*aEar,no*aEar,IV_PASS,panic,pos:verb asp:i vox:p,,u-# intrans,,
30,31,1a2a3,*.E.r,LEXICON,[STEM-IV],*aEar-a,*oEar,IV_PASS,frighten,pos:verb asp:i vox:p,,u-# intrans,,
31,32,1a2a3,*.E.r,LEXICON,[STEM-IV],*aEir-a,*oEar,IV_PASS,be_frightened,pos:verb asp:i vox:p,,u-# intrans,,
32,33,>a1o2a3,*.E.r,LEXICON,[STEM-IV],>a*oEar,*oEar,IV_PASS,frighten,pos:verb asp:i vox:p,,u-# intrans,,
33,34,ta1a2~3,*.E.r,LEXICON,[STEM-IV],ta*aE~ar,ta*aE~ar,IV_PASS,panic,pos:verb asp:i vox:p,,u-# intrans,,
34,35,1a2~a3,*.h.b,LEXICON,[STEM-IV],*ah~ab,*ah~ib,IV,gild,pos:verb asp:i vox:a,,u-# trans,,
35,36,1a2a3,*.h.b,LEXICON,[STEM-IV],*ahab-a,*ohab,IV,go;depart;take_(with),pos:verb asp:i vox:a,,a-# trans,,
36,37,>a1o2a3,*.h.b,LEXICON,[STEM-IV],>a*ohab,*ohib,IV,remove;eliminate,pos:verb asp:i vox:a,,u-# trans,,
37,38,1a2~a3,*.h.b,LEXICON,[STEM-IV],*ah~ab,*ah~ab,IV_PASS,gild,pos:verb asp:i vox:p,,u-# intrans,,
38,39,1a2a3,*.h.b,LEXICON,[STEM-IV],*ahab-a,*ohab,IV_PASS,go;depart;take_(with),pos:verb asp:i vox:p,,u-# intrans,,
39,40,>a1o2a3,*.h.b,LEXICON,[STEM-IV],>a*ohab,*ohab,IV_PASS,remove;eliminate,pos:verb asp:i vox:p,,u-# intrans,,
40,41,{ino1a2a3,*.h.l,LEXICON,[STEM-IV],{ino*ahal,no*ahil,IV,be_stunned;be_dazed;overlook,pos:verb asp:i vox:a,,a-# intrans,,
41,42,1a2a3,*.h.l,LEXICON,[STEM-IV],*ahal-a,*ohal,IV,be_stunned;be_dazed;overlook,pos:verb asp:i vox:a,,a-# intrans,,
42,43,>a1o2a3,*.h.l,LEXICON,[STEM-IV],>a*ohal,*ohil,IV,baffle;distract,pos:verb asp:i vox:a,,u-# trans,,
43,44,ta1A2a3,*.h.l,LEXICON,[STEM-IV],ta*Ahal,ta*Ahal,IV,feign_forgetfulness,pos:verb asp:i vox:a,,a-# trans,,
44,45,{ino1a2a3,*.h.l,LEXICON,[STEM-IV],{ino*ahal,no*ahal,IV_PASS,be_stunned;be_dazed;overlook,pos:verb asp:i vox:p,,u-# intrans,,
45,46,1a2a3,*.h.l,LEXICON,[STEM-IV],*ahal-a,*ohal,IV_PASS,be_stunned;be_dazed;overlook,pos:verb asp:i vox:p,,u-# intrans,,
46,47,>a1o2a3,*.h.l,LEXICON,[STEM-IV],>a*ohal,*ohal,IV_PASS,baffle;distract,pos:verb asp:i vox:p,,u-# intrans,,
47,48,ta1A2a3,*.h.l,LEXICON,[STEM-IV],ta*Ahal,ta*Ahal,IV_PASS,feign_forgetfulness,pos:verb asp:i vox:p,,u-# intrans,,
48,49,{isota1o2a3,*.k.r,LEXICON,[STEM-IV],{isota*okar,sota*okir,IV,memorize;recall,pos:verb asp:i vox:a,,a-# trans,,
49,50,1a2~a3,*.k.r,LEXICON,[STEM-IV],*ak~ar,*ak~ir,IV,remind,pos:verb asp:i vox:a,,u-# trans,,
50,51,1A2a3,*.k.r,LEXICON,[STEM-IV],*Akar,*Akir,IV,negotiate,pos:verb asp:i vox:a,,u-# trans,,
51,52,1a2a3,*.k.r,LEXICON,[STEM-IV],*akar-u,*okur,IV,mention;cite;remember,pos:verb asp:i vox:a,,a-# trans,,
52,53,>a1o2a3,*.k.r,LEXICON,[STEM-IV],>a*okar,*okir,IV,remind,pos:verb asp:i vox:a,,u-# trans,,
53,54,ta1a2~3,*.k.r,LEXICON,[STEM-IV],ta*ak~ar,ta*ak~ar,IV,remember,pos:verb asp:i vox:a,,a-# trans,,
54,55,ta1A2a3,*.k.r,LEXICON,[STEM-IV],ta*Akar,ta*Akar,IV,remind_mutually;confer,pos:verb asp:i vox:a,,a-# trans,,
55,56,{isota1o2a3,*.k.r,LEXICON,[STEM-IV],{isota*okar,sota*okar,IV_PASS,memorize;recall,pos:verb asp:i vox:p,,u-# intrans,,
56,57,1a2~a3,*.k.r,LEXICON,[STEM-IV],*ak~ar,*ak~ar,IV_PASS,remind,pos:verb asp:i vox:p,,u-# intrans,,
57,58,1A2a3,*.k.r,LEXICON,[STEM-IV],*Akar,*Akar,IV_PASS,negotiate,pos:verb asp:i vox:p,,u-# intrans,,
58,59,1a2a3,*.k.r,LEXICON,[STEM-IV],*akar-u,*okar,IV_PASS,mention;cite;remember,pos:verb asp:i vox:p,,u-# intrans,,
59,60,>a1o2a3,*.k.r,LEXICON,[STEM-IV],>a*okar,*okar,IV_PASS,remind,pos:verb asp:i vox:p,,u-# intrans,,
60,61,ta1a2~3,*.k.r,LEXICON,[STEM-IV],ta*ak~ar,ta*ak~ar,IV_PASS,remember,pos:verb asp:i vox:p,,u-# intrans,,
61,62,ta1A2a3,*.k.r,LEXICON,[STEM-IV],ta*Akar,ta*Akar,IV_PASS,remind_mutually;confer,pos:verb asp:i vox:p,,u-# intrans,,
62,63,1a2a3,*.k.w,LEXICON,[STEM-IV],*akA-u,*ok,IV,flare_up;blaze,pos:verb asp:i vox:a,,a-# #-uw defective trans,,
63,64,1a2a3,*.k.w,LEXICON,[STEM-IV],*akA-u,*ok,IV_PASS,flare_up;blaze,pos:verb asp:i vox:p,,u-# #-aY defective intrans,,
64,65,{isota1o2a3,*.k.y,LEXICON,[STEM-IV],{isota*okaY,sota*ok,IV,flare_up;blaze,pos:verb asp:i vox:a,,a-# #-iy defective trans,,
65,66,1a2~a3,*.k.y,LEXICON,[STEM-IV],*ak~aY,*ak~,IV,kindle;set_ablaze,pos:verb asp:i vox:a,,u-# #-iy defective trans,,
66,67,1a2a3,*.k.y,LEXICON,[STEM-IV],*akiy-a,*ok,IV,be_sharp-witted,pos:verb asp:i vox:a,,a-# #-aY defective trans,,
67,68,>a1o2a3,*.k.y,LEXICON,[STEM-IV],>a*okaY,*ok,IV,kindle;make_blaze,pos:verb asp:i vox:a,,u-# #-iy defective trans,,
68,69,{isota1o2a3,*.k.y,LEXICON,[STEM-IV],{isota*okaY,sota*ok,IV_PASS,flare_up;blaze,pos:verb asp:i vox:p,,u-# #-aY defective intrans,,
69,70,1a2~a3,*.k.y,LEXICON,[STEM-IV],*ak~aY,*ak~,IV_PASS,kindle;set_ablaze,pos:verb asp:i vox:p,,u-# #-aY defective intrans,,
70,71,1a2a3,*.k.y,LEXICON,[STEM-IV],*akiy-a,*ok,IV_PASS,be_sharp-witted,pos:verb asp:i vox:p,,u-# #-aY defective intrans,,
71,72,>a1o2a3,*.k.y,LEXICON,[STEM-IV],>a*okaY,*ok,IV_PASS,kindle;make_blaze,pos:verb asp:i vox:p,,u-# #-aY defective intrans,,
72,73,{isota1o2a3,*.l.l,LEXICON,[STEM-IV],{isota*al~,sota*il~,IV,deride;disparage,pos:verb asp:i vox:a,v-suff,a-# gem trans,,
73,74,{isota1o2a3,*.l.l,LEXICON,[STEM-IV],{isota*al~,sota*olil,IV,deride;disparage,pos:verb asp:i vox:a,c-suff,a-# gem trans,,
74,75,1a2~a3,*.l.l,LEXICON,[STEM-IV],*al~al,*al~il,IV,degrade;subdue,pos:verb asp:i vox:a,,u-# trans,,
75,76,>a1o2a3,*.l.l,LEXICON,[STEM-IV],>a*al~,*il~,IV,degrade;subdue,pos:verb asp:i vox:a,v-suff,u-# gem trans,,
76,77,>a1o2a3,*.l.l,LEXICON,[STEM-IV],>a*al~,*olil,IV,degrade;subdue,pos:verb asp:i vox:a,c-suff,u-# gem trans,,
77,78,ta1a2~3,*.l.l,LEXICON,[STEM-IV],ta*al~al,ta*al~al,IV,be_humble;be_obsequious,pos:verb asp:i vox:a,,a-# intrans,,
78,79,{isota1o2a3,*.l.l,LEXICON,[STEM-IV],{isota*al~,sota*al~,IV_PASS,deride;disparage,pos:verb asp:i vox:p,v-suff,u-# gem intrans,,
