,LINE,EXCLUDE,DEFINE,VARIANT,CLASS,SCOPE,PREFIX,STEM,SUFFIX,PREFIX-SHORT,STEM-SHORT,SUFFIX-SHORT,
0,1,PV,ORDER,MSA,VERBAL,pos:verb,[QUES] [CONJ] [VPART.P],[STEM-PV] [PVBuff],[PVSuff] [PRON] [PRON2],[P],[P],[P],Perfective
1,,,,,,,,,,,,,
2,2,IV,ORDER,MSA,VERBAL,pos:verb,[QUES] [CONJ] [VPART.I] [IVPref.1P],[IVPreBuff] [STEM-IV] [IVBuff],[IVSuff.I.1P] [PRON] [PRON2],[I1P.I],[I],[I1P.I],Imperfective+indicative
3,3,IV,ORDER,MSA,VERBAL,pos:verb,[QUES] [CONJ] [VPART.I] [IVPref.1S],[IVPreBuff] [STEM-IV] [IVBuff],[IVSuff.I.1S] [PRON] [PRON2],[I1S.I],[I],[I1S.I],
4,4,IV,ORDER,MSA,VERBAL,pos:verb,[QUES] [CONJ] [VPART.I] [IVPref.2D],[IVPreBuff] [STEM-IV] [IVBuff],[IVSuff.I.2D] [PRON] [PRON2],[I2D.I],[I],[I2D.I],
5,5,IV,ORDER,MSA,VERBAL,pos:verb,[QUES] [CONJ] [VPART.I] [IVPref.2FP],[IVPreBuff] [STEM-IV] [IVBuff],[IVSuff.I.2FP] [PRON] [PRON2],[I2FP.I],[I],[I2FP.I],
6,6,IV,ORDER,MSA,VERBAL,pos:verb,[QUES] [CONJ] [VPART.I] [IVPref.2FS],[IVPreBuff] [STEM-IV] [IVBuff],[IVSuff.I.2FS] [PRON] [PRON2],[I2FS.I],[I],[I2FS.I],
7,7,IV,ORDER,MSA,VERBAL,pos:verb,[QUES] [CONJ] [VPART.I] [IVPref.2MP],[IVPreBuff] [STEM-IV] [IVBuff],[IVSuff.I.2MP] [PRON] [PRON2],[I2MP.I],[I],[I2MP.I],
8,8,IV,ORDER,MSA,VERBAL,pos:verb,[QUES] [CONJ] [VPART.I] [IVPref.2MS],[IVPreBuff] [STEM-IV] [IVBuff],[IVSuff.I.2MS] [PRON] [PRON2],[I2MS.I],[I],[I2MS.I],
9,9,IV,ORDER,MSA,VERBAL,pos:verb,[QUES] [CONJ] [VPART.I] [IVPref.3FD],[IVPreBuff] [STEM-IV] [IVBuff],[IVSuff.I.3FD] [PRON] [PRON2],[I3FD.I],[I],[I3FD.I],
10,10,IV,ORDER,MSA,VERBAL,pos:verb,[QUES] [CONJ] [VPART.I] [IVPref.3FP],[IVPreBuff] [STEM-IV] [IVBuff],[IVSuff.I.3FP] [PRON] [PRON2],[I3FP.I],[I],[I3FP.I],
11,11,IV,ORDER,MSA,VERBAL,pos:verb,[QUES] [CONJ] [VPART.I] [IVPref.3FS],[IVPreBuff] [STEM-IV] [IVBuff],[IVSuff.I.3FS] [PRON] [PRON2],[I3FS.I],[I],[I3FS.I],
12,12,IV,ORDER,MSA,VERBAL,pos:verb,[QUES] [CONJ] [VPART.I] [IVPref.3MD],[IVPreBuff] [STEM-IV] [IVBuff],[IVSuff.I.3MD] [PRON] [PRON2],[I3MD.I],[I],[I3MD.I],
13,13,IV,ORDER,MSA,VERBAL,pos:verb,[QUES] [CONJ] [VPART.I] [IVPref.3MP],[IVPreBuff] [STEM-IV] [IVBuff],[IVSuff.I.3MP] [PRON] [PRON2],[I3MP.I],[I],[I3MP.I],
14,14,IV,ORDER,MSA,VERBAL,pos:verb,[QUES] [CONJ] [VPART.I] [IVPref.3MS],[IVPreBuff] [STEM-IV] [IVBuff],[IVSuff.I.3MS] [PRON] [PRON2],[I3MS.I],[I],[I3MS.I],
15,15,IV,ORDER,MSA,VERBAL,pos:verb,[QUES] [CONJ] [VPART.S] [IVPref.1P],[IVPreBuff] [STEM-IV] [IVBuff],[IVSuff.S.1P] [PRON] [PRON2],[I1P.S],[I],[I1P.S],Imperfective+subjunctive
16,16,IV,ORDER,MSA,VERBAL,pos:verb,[QUES] [CONJ] [VPART.S] [IVPref.1S],[IVPreBuff] [STEM-IV] [IVBuff],[IVSuff.S.1S] [PRON] [PRON2],[I1S.S],[I],[I1S.S],
17,17,IV,ORDER,MSA,VERBAL,pos:verb,[QUES] [CONJ] [VPART.S] [IVPref.2D],[IVPreBuff] [STEM-IV] [IVBuff],[IVSuff.S.2D] [PRON] [PRON2],[I2D.S],[I],[I2D.S],
18,18,IV,ORDER,MSA,VERBAL,pos:verb,[QUES] [CONJ] [VPART.S] [IVPref.2FP],[IVPreBuff] [STEM-IV] [IVBuff],[IVSuff.S.2FP] [PRON] [PRON2],[I2FP.S],[I],[I2FP.S],
19,19,IV,ORDER,MSA,VERBAL,pos:verb,[QUES] [CONJ] [VPART.S] [IVPref.2FS],[IVPreBuff] [STEM-IV] [IVBuff],[IVSuff.S.2FS] [PRON] [PRON2],[I2FS.S],[I],[I2FS.S],
20,20,IV,ORDER,MSA,VERBAL,pos:verb,[QUES] [CONJ] [VPART.S] [IVPref.2MP],[IVPreBuff] [STEM-IV] [IVBuff],[IVSuff.S.2MP] [PRON] [PRON2],[I2MP.S],[I],[I2MP.S],
21,21,IV,ORDER,MSA,VERBAL,pos:verb,[QUES] [CONJ] [VPART.S] [IVPref.2MS],[IVPreBuff] [STEM-IV] [IVBuff],[IVSuff.S.2MS] [PRON] [PRON2],[I2MS.S],[I],[I2MS.S],
22,22,IV,ORDER,MSA,VERBAL,pos:verb,[QUES] [CONJ] [VPART.S] [IVPref.3FD],[IVPreBuff] [STEM-IV] [IVBuff],[IVSuff.S.3FD] [PRON] [PRON2],[I3FD.S],[I],[I3FD.S],
23,23,IV,ORDER,MSA,VERBAL,pos:verb,[QUES] [CONJ] [VPART.S] [IVPref.3FP],[IVPreBuff] [STEM-IV] [IVBuff],[IVSuff.S.3FP] [PRON] [PRON2],[I3FP.S],[I],[I3FP.S],
