,ID,EXCLUDE,DEFINE,CLASS,FUNC,FORM,BW,VARIANT,GLOSS,FEAT,COND-T,COND-S,D3,EXAMPLE-ENC,EXAMPLE-SUFF,EXAMPLE-BUFF,EXAMPLE-STEM,COMMENTS
0,Condition Definitions,,,,,,,,,,,,,,,,,
1,1,,CONDITIONS,[STEM-X],#-ay #t,,,,,,,,,,,,,
2,2,,CONDITIONS,[X-TRANS],intrans trans,,,,,,,,,,,,,
3,3,,CONDITIONS,[X-SUFF.PHONE],c-suff v-suff,,,,,,,,,,,,,
4,4,,CONDITIONS,[X-SUFF.LETTER],z-suff,,,,,,,,,,,,,
5,5,,CONDITIONS,[SUFF-X],suff-i,,,,,,,,,,,,,
6,6,,CONDITIONS,[PRON:*],obj,,,,,,,,,,,,,
7,Proclitics,,,,,,,,,,,,,,,,,
8,7,,MORPH,[CONJ],_,_,_,MSA,_,prc2:0,_,_,_,,,,قرأت,
9,8,,MORPH,[CONJ],wa/CONJ,wa,wa/CONJ,MSA,and,prc2:wa_conj,_,_,wa+_,,,,وقرأت,
10,Perfective Verb Post-Stem Buffers,,,,,,,,,,,,,,,,,
11,9,,MORPH,[PVBuff],Buffer,_,_,MSA,,,else,_,_,,,,كتب,
12,10,,MORPH,[PVBuff],Buffer,aY,aY/STEM,MSA,,,#-ay z-suff else,_,aY,,∅,ى +,رَمَ +,
13,11,,MORPH,[PVBuff],Buffer,A,aA/STEM,MSA,,,#-ay z-suff obj,_,aY,ه, + ∅,ا +,رَمَ +,
14,12,,MORPH,[PVBuff],Buffer,ay,ay/STEM,MSA,,,#-ay c-suff,_,ay,,تُ، نا، تَِ، تم، تما، تنّ، نَ,ي +,رَمَ +,
15,13,,MORPH,[PVBuff],Buffer,_,_,MSA,,,#-ay v-suff,_,_,,ت، يا، تا، وا, + ∅,رَمَ +,
16,Perfective Verb Suffixes,,,,,,,,,,,,,,,,,
17,14,,MORPH,[PVSuff],PVSuff.3MS,a,a/PVSUFF_SUBJ:3MS,MSA,he_[masc.sg.],asp:p per:3 gen:m num:s,else,v-suff,a,,,,كتب,
18,15,,MORPH,[PVSuff],PVSuff.3MS,_,(null)/PVSUFF_SUBJ:3MS,MSA,he_[masc.sg.],asp:p per:3 gen:m num:s,#-ay,z-suff,_,,,,رمى,
19,16,,MORPH,[PVSuff],PVSuff.3FS,at,at/PVSUFF_SUBJ:3FS,MSA,she_[fem.sg.],asp:p per:3 gen:f num:s,_,v-suff,at,,,,كتبت,
20,17,,MORPH,[PVSuff],PVSuff.3MP,uwA,uwA/PVSUFF_SUBJ:3MP,MSA,they_[masc.pl.],asp:p per:3 gen:m num:p,else else,v-suff,uwA,,,,كتبوا,
21,18,,MORPH,[PVSuff],PVSuff.3MP,uw,uw/PVSUFF_SUBJ:3MP,MSA,they_[masc.pl.],asp:p per:3 gen:m num:p,else obj,v-suff,uwA,,,,كتبوها,
22,19,,MORPH,[PVSuff],PVSuff.3MP,awA,awoA/PVSUFF_SUBJ:3MP,MSA,they_[masc.pl.],asp:p per:3 gen:m num:p,#-ay else,v-suff,awA,,,,رموا,
23,20,,MORPH,[PVSuff],PVSuff.3MP,aw,awo/PVSUFF_SUBJ:3MP,MSA,they_[masc.pl.],asp:p per:3 gen:m num:p,#-ay obj,v-suff,awA,,,,رموه,
24,21,,MORPH,[PVSuff],PVSuff.2MS,ta,ta/PVSUFF_SUBJ:2MS,MSA,you_[masc.sg.],asp:p per:2 gen:m num:s,else,c-suff,ta,,,,كتبت,
25,22,,MORPH,[PVSuff],PVSuff.2MS,~a,~a/PVSUFF_SUBJ:2MS,MSA,you_[masc.sg.],asp:p per:2 gen:m num:s,#t,c-suff,~a,,,,سكت,
26,23,,MORPH,[PVSuff],PVSuff.2FS,ti,ti/PVSUFF_SUBJ:2FS,MSA,you_[fem.sg.],asp:p per:2 gen:f num:s,else,c-suff suff-i,ti,,,,كتبت,
27,24,,MORPH,[PVSuff],PVSuff.2FS,~i,~i/PVSUFF_SUBJ:2FS,MSA,you_[fem.sg.],asp:p per:2 gen:f num:s,#t,c-suff suff-i,~i,,,,سكت,
28,25,,MORPH,[PVSuff],PVSuff.2MP,tum ,tum/PVSUFF_SUBJ:2MP,MSA,you_[masc.pl.],asp:p per:2 gen:m num:p,else else,c-suff,tum ,,,,كتبتم,
29,26,,MORPH,[PVSuff],PVSuff.2MP,tumuw ,tumuw/PVSUFF_SUBJ:2MP,MSA,you_[masc.pl.],asp:p per:2 gen:m num:p,else obj,c-suff,tum ,,,,كتبتموها,
30,27,,MORPH,[PVSuff],PVSuff.2MP,~um ,~um/PVSUFF_SUBJ:2MP,MSA,you_[masc.pl.],asp:p per:2 gen:m num:p,#t else,c-suff,~um ,,,,سكتم,
31,28,,MORPH,[PVSuff],PVSuff.2MP,~umuw ,~umuw/PVSUFF_SUBJ:2MP,MSA,you_[masc.pl.],asp:p per:2 gen:m num:p,#t obj,c-suff,~um ,,,,سكتموها,
32,Pronomonial Enclitics,,,,,,,,,,,,,,,,,
33,29,,MORPH,[PRON],_,_,_,MSA,_,enc0:0,_,_,_,,,,,
34,30,,MORPH,[PRON] ,hu/PRON.3MS,hu,hu/XVSUFF_DO:3MS,MSA,him,enc0:3ms_dobj,trans else,obj,_+hu,,,,يكتبه,
35,31,,MORPH,[PRON] ,hu/PRON.3MS,hi,hi/XVSUFF_DO:3MS,MSA,him,enc0:3ms_dobj,trans suff-i,obj,_+hu,,,,تكتبيه,
