,LINE,PATTERN_ABSTRACT,ROOT,ROOT_CLASS,PATTERN_LEMMA,PATTERN,DEFINE,CLASS,LEMMA,FORM,BW,GLOSS,FEAT,COND-T,COND-S,COMMENTS,STATUS
0,1,{i1ota2a3,>.k.l,}.c+n.c-n,{i1ota2a3,{i1ta2i3,LEXICON,[STEM-CV],{i}otakal,{i}takil,CV,corrode;erode,pos:verb per:2 asp:c vox:a gen:m num:s,,trans,,
1,2,{i1ota2a3,>.l.f,}.c+n.c-n,{i1ota2a3,{i1ta2i3,LEXICON,[STEM-CV],{i}otalaf,{i}talif,CV,be_accustomed;be_harmonious;form_a_coalition,pos:verb per:2 asp:c vox:a gen:m num:s,,intrans,,
2,3,{i1ota2a3,>.l.q,}.c+n.c-n,{i1ota2a3,{i1ta2i3,LEXICON,[STEM-CV],{i}otalaq,{i}taliq,CV,radiate;shine,pos:verb per:2 asp:c vox:a gen:m num:s,,trans,,
3,4,{i1ota2a3,>.m.m,}.c-n.2,{i1ota2~,{i1ta2~,LEXICON,[STEM-CV],{i}otam~,{i}tam~,CV,emulate;follow,pos:verb per:2 asp:c vox:a gen:m num:s,v-suff,gem trans,,
4,5,{i1ota2a3,>.m.m,}.c-n.2,{i1ota2~,{i1ta2i3,LEXICON,[STEM-CV],{i}otam~,{i}tamim,CV,emulate;follow,pos:verb per:2 asp:c vox:a gen:m num:s,c-suff,gem trans,,
5,6,{i1ota2a3,>.m.n,}.c+n.n,{i1ota2a3,{i1ota2i3,LEXICON,[STEM-CV],{i}otaman,{i}otamin,CV,entrust;trust,pos:verb per:2 asp:c vox:a gen:m num:s,,#n trans,,
6,7,{i1ota2a3,>.m.r,}.c+n.c-n,{i1ota2a3,{i1ta2i3,LEXICON,[STEM-CV],{i}otamar,{i}tamir,CV,conspire;deliberate,pos:verb per:2 asp:c vox:a gen:m num:s,,trans,,
7,8,{i1ota2a3,>.z.r,}.c+n.c-n,{i1ota2a3,{i1ta2i3,LEXICON,[STEM-CV],{i}otazar,{i}tazir,CV,wear_a_shawl,pos:verb per:2 asp:c vox:a gen:m num:s,,trans,,
8,9,{i1o2a3a4~,$.m.>.z,c+n.c+n.}.c-n,{i1o2a>a4~,{i1o2a3i4~,LEXICON,[STEM-CV],{i$oma>az~,{i$oma}iz~,CV,be_disgusted;be_nauseated,pos:verb per:2 asp:c vox:a gen:m num:s,v-suff,gem intrans,,
9,10,{i1o2a3a4~,$.m.>.z,c+n.c+n.>.c-n,{i1o2a3a4~,{i1o2a3o4i4,LEXICON,[STEM-CV],{i$oma>az~,{i$oma>oziz,CV,be_disgusted;be_nauseated,pos:verb per:2 asp:c vox:a gen:m num:s,c-suff,gem intrans,,
10,11,{i1o2a3~,$.m.T,c+n.c+n.c-n,{i1o2a3~,{i1o2a3~,LEXICON,[STEM-CV],{i$omaT~,{i$omaT~,CV,turn_gray,pos:verb per:2 asp:c vox:a gen:m num:s,v-suff,gem trans,,
11,12,{i1o2a3~,$.m.T,c+n.c+n.c-n,{i1o2a3~,{i1o2a3i3,LEXICON,[STEM-CV],{i$omaT~,{i$omaTiT,CV,turn_gray,pos:verb per:2 asp:c vox:a gen:m num:s,c-suff,gem trans,,
12,13,{i1o2a3a4~,$.m.x.r,c+n.c+n.c+n.c-n,{i1o2a3a4~,{i1o2a3i4~,LEXICON,[STEM-CV],{i$omaxar~,{i$omaxir~,CV,be_gigantic;be_proud,pos:verb per:2 asp:c vox:a gen:m num:s,v-suff,gem intrans,,
13,14,{i1o2a3a4~,$.m.x.r,c+n.c+n.c+n.c-n,{i1o2a3a4~,{i1o2a3o4i4,LEXICON,[STEM-CV],{i$omaxar~,{i$omaxorir,CV,be_gigantic;be_proud,pos:verb per:2 asp:c vox:a gen:m num:s,c-suff,gem intrans,,
14,15,{i1o2a3~,$.q.r,c+n.c+n.c-n,{i1o2a3~,{i1o2a3~,LEXICON,[STEM-CV],{i$oqar~,{i$oqar~,CV,be_blond;be_of_fair_complexion,pos:verb per:2 asp:c vox:a gen:m num:s,v-suff,gem intrans,,
15,16,{i1o2a3~,$.q.r,c+n.c+n.c-n,{i1o2a3~,{i1o2a3i3,LEXICON,[STEM-CV],{i$oqar~,{i$oqarir,CV,be_blond;be_of_fair_complexion,pos:verb per:2 asp:c vox:a gen:m num:s,c-suff,gem intrans,,
16,17,{i1o2a3a4~,$.r.>.b,c+n.c+n.}.c-n,{i1o2a>a4~,{i1o2a3i4~,LEXICON,[STEM-CV],{i$ora>ab~,{i$ora}ib~,CV,crane_the_neck;stretch_the_neck,pos:verb per:2 asp:c vox:a gen:m num:s,v-suff,gem trans,,
