,,ID,Stems,ms,md,mp,fs,fd,fp,Example,Noun,Adj.,Comp. Adj.,Total
0,,BP22,x,x+MS,x+MD,x+MP,x+FS,x+FD,x+FP,موظّف,2867,6724,1,9592
1,,BP24,x-y,x+MS,x+MD,y+MS,x+FS,x+FD,x+FP,طالب/طلاب,142,13,0,155
2,,BP26,x-y-z,x+MS,x+MD,y+MS,z+MS,z+MD,z+FP,أحمر/حمر/حمراء,2,153,8,163
3,,BP25,x-y,x+MS,x+MD,y+FS,x+FS,x+FD,x+FP,سيّد/سادة,17,2,0,19
4,,BP27,x-y,x+MS,x+MD,y+MS,x+FS,x+FD,y+MS,إنسان/أناس,8,4,0,12
5,,BP23,x,x+MS,x+MD,x+FP,x+FS,x+FD,x+FP,بروفسور,8,0,0,8
6,,BP1,x,x+MS,x+MD,,,,,حبّ,4644,0,205,4849
7,,BP3,x,x+MS,x+MD,x+FP,,,,امتحان/امتحانات,3094,0,0,3094
8,,BP4,x-y,x+MS,x+MD,y+MS,,,,يوم/أيّام,2422,14,2,2438
9,,BP5,x-y,x+MS,x+MD,y+FS,,,,دواء/أدوية,143,0,0,143
10,,BP31,x,,,x+MS,,,,أوزاع,49,0,0,49
11,,BP30,x,x+MS,,,,,,تحت، فوق، جنب,32,2,0,34
12,,BP2,x,x+MS,x+MD,x+MP,,,,أقدم/ون,6,0,24,30
13,,BP32,x,,,x+MP,,,,عشرون,8,0,0,8
14,,BP7,x-y,x+MS,x+MD,y+FP,,,,قطر/قطورات، همْز/همَزات,7,0,0,7
15,,BP18,x,,,,x+FS,x+FD,x+FP,مجلّة/مجلّات,4725,0,0,4725
16,,BP20,x-y,,,,x+FS,x+FD,y+MS,جريدة/جرائد,891,0,0,891
17,,BP29,x,,,,,,x+FP,معلوماتيات,185,0,0,185
18,,BP21,x-y,,,,x+FS,x+FD,y+FP,حَمْلَة/حَمَلات,168,0,0,168
19,,BP28,x,,,,x+MS,x+FD,x+FP,بيتزا,154,0,0,154
20,,BP17,x,,,,x+FS,x+FD,,محبّة,35,0,0,35
21,,BP8,x,,,,x+MS,x+MD,,شورى,95,0,0,95
22,,BP9,x,,,,x+MS,x+MD,x+FP,دنيا,69,6,1,76
23,,BP10,x-y,,,,x+MS,x+MD,y+MS,عين/عيون، نار/نيران,45,0,0,45
24,,BP16,x,,,,,,x+MS,نساء,20,0,0,20
25,,BP34,x-y,,,,x+MS,x+MD,y+FS,خِوان/أخْوِنة,1,0,0,1
26,,BP13,x-y,,,,x+MS,x+MD,y+FP,بنت/بنات,4,0,0,4
27,,BP15,x-y,x+FS,x+FD,y+MS,,,,خليفة/خلفاء,2,0,0,2
28,,BP14,x,x+FS,x+FD,x+FP,,,,خواجة/خواجات,1,0,0,1
29,,BP35,x,x+FS,x+FD,x+FS,,,,رحّالة,1,0,0,1
30,,else,...,...,...,...,...,...,...,...,13,4,2,19
31,,,,,,,,,,Total,19858,6922,243,27023
