,LINE,ROOT,PATTERN,PATTERN_ABSTRACT,DEFINE,CLASS,LEMMA,FORM,COND-T,COND-S,GLOSS,FEAT,STATUS,SIGNATURE_LEMMA,QC_LEMMA_PARADIGM,COMMENTS,NOTES,SIGNATURE_STEM,QC_STEM_PARADIGM
0,1,>.l.f,{i}oti2aA3iy~,{i1oti2A3+iy~,LEXICON,[STEM-ADJ],{i}otilaAfiy~,{i}otilaAfiy~,MS||MD||MP||FS||FD||FP,_,coalition,pos:adj gen:- num:- rat:n cas:u,DONE,[MS||MD||MP||FS||FD||FP] [-] [-] stem:0,OK,,,{i1oti2A3+iy~_MS||MD||MP||FS||FD||FP--,OK
1,2,>.m.n,{i}oti2aA3iy~,{i1oti2A3+iy~,LEXICON,[STEM-ADJ],{i}otimaAniy~,{i}otimaAniy~,MS||MD||MP||FS||FD||FP,_,credit;fiduciary,pos:adj gen:- num:- rat:n cas:u,DONE,[MS||MD||MP||FS||FD||FP] [-] [-] stem:0,OK,,,{i1oti2A3+iy~_MS||MD||MP||FS||FD||FP--,OK
2,3,$.E.l,{i1oti2aA3iy~,{i1oti2A3+iy~,LEXICON,[STEM-ADJ],{i$otiEaAliy~,{i$otiEaAliy~,MS||MD||MP||FS||FD||FP,_,combustible;flammable,pos:adj gen:- num:- rat:n cas:u,DONE,[MS||MD||MP||FS||FD||FP] [-] [-] stem:0,OK,,,{i1oti2A3+iy~_MS||MD||MP||FS||FD||FP--,OK
3,4,$.q.q,{i1oti2aA3iy~,{i1oti2A3+iy~,LEXICON,[STEM-ADJ],{i$otiqaAqiy~,{i$otiqaAqiy~,MS||MD||MP||FS||FD||FP,_,derivational,pos:adj gen:- num:- rat:n cas:u,DONE,[MS||MD||MP||FS||FD||FP] [-] [-] stem:0,OK,,,{i1oti2A3+iy~_MS||MD||MP||FS||FD||FP--,OK
4,5,$.r.E,{i1oti2aA3iy~,{i1oti2A3+iy~,LEXICON,[STEM-ADJ],{i$otiraAEiy~,{i$otiraAEiy~,MS||MD||MP||FS||FD||FP,_,legislative,pos:adj gen:- num:- rat:n cas:u,DONE,[MS||MD||MP||FS||FD||FP] [-] [-] stem:0,OK,,,{i1oti2A3+iy~_MS||MD||MP||FS||FD||FP--,OK
5,6,$.r.k,{i1oti2aA3iy~,{i1oti2A3+iy~,LEXICON,[STEM-ADJ],{i$otiraAkiy~,{i$otiraAkiy~,MS||MD||MP||FS||FD||FP,_,socialist,pos:adj gen:- num:- rat:n cas:u,DONE,[MS||MD||MP||FS||FD||FP] [-] [-] stem:0,OK,,,{i1oti2A3+iy~_MS||MD||MP||FS||FD||FP--,OK
6,7,b.d.>,{i1oti2aA}iy~,{i1oti2A3+iy~,LEXICON,[STEM-ADJ],{ibotidaA}iy~,{ibotidaA}iy~,MS||MD||MP||FS||FD||FP,_,elementary;preparatory,pos:adj gen:- num:- rat:n cas:u,DONE,[MS||MD||MP||FS||FD||FP] [-] [-] stem:0,OK,,,{i1oti2A3+iy~_MS||MD||MP||FS||FD||FP--,OK
7,8,b.d.E,{i1oti2aA3iy~,{i1oti2A3+iy~,LEXICON,[STEM-ADJ],{ibotidaAEiy~,{ibotidaAEiy~,MS||MD||MP||FS||FD||FP,_,innovative,pos:adj gen:- num:- rat:n cas:u,DONE,[MS||MD||MP||FS||FD||FP] [-] [-] stem:0,OK,,,{i1oti2A3+iy~_MS||MD||MP||FS||FD||FP--,OK
8,9,b.k.r,{i1oti2aA3iy~,{i1oti2A3+iy~,LEXICON,[STEM-ADJ],{ibotikaAriy~,{ibotikaAriy~,MS||MD||MP||FS||FD||FP,_,inventive;original,pos:adj gen:- num:- rat:n cas:u,DONE,[MS||MD||MP||FS||FD||FP] [-] [-] stem:0,OK,,,{i1oti2A3+iy~_MS||MD||MP||FS||FD||FP--,OK
9,10,b.z.z,{i1oti2aA3iy~,{i1oti2A3+iy~,LEXICON,[STEM-ADJ],{ibotizaAziy~,{ibotizaAziy~,MS||MD||MP||FS||FD||FP,_,embezzling;extorting,pos:adj gen:- num:- rat:n cas:u,DONE,[MS||MD||MP||FS||FD||FP] [-] [-] stem:0,OK,,,{i1oti2A3+iy~_MS||MD||MP||FS||FD||FP--,OK
