,LINE,EXCLUDE,DEFINE,VARIANT,CLASS,SCOPE,PREFIX,#STEM,STEM,#SUFFIX,SUFFIX,PREFIX-SHORT,STEM-SHORT,SUFFIX-SHORT,NOTES
0,,,"#Nouns, Proper Nouns, and Adjectives",,,,,,,,,"# These short categories should be unique and are used instead of the expanded ones (to the left) in the DB. These need to be named accordingly, otherwise it will create problems in the DB.",,,
1,1,I N,ORDER,MSA,NOMINAL,pos:noun,[QUES] [CONJ],[STEM-NOM],[STEM-NOM] [NBuff],[NBuff] [NSuff.XXIN],[NSuff.XXIN],[Nom.Conj],[Nom],[IN],
2,2,I A,ORDER,MSA,NOMINAL,pos:noun,[QUES] [CONJ],[STEM-NOM],[STEM-NOM] [NBuff],[NBuff] [NSuff.XXIA],[NSuff.XXIA],[Nom.Conj],[Nom],[IA],
3,3,I G,ORDER,MSA,NOMINAL,pos:noun,[QUES] [CONJ] [PREP],[STEM-NOM],[STEM-NOM] [NBuff],[NBuff] [NSuff.XXIG],[NSuff.XXIG],[Nom.Pr],[Nom],[IG],
4,4,D N,ORDER,MSA,NOMINAL,pos:noun,[QUES] [CONJ] [ART],[STEM-NOM],[STEM-NOM] [NBuff],[NBuff] [NSuff.XXDN],[NSuff.XXDN],[Nom.Art],[Nom],[DN],
5,5,D A,ORDER,MSA,NOMINAL,pos:noun,[QUES] [CONJ] [ART],[STEM-NOM],[STEM-NOM] [NBuff],[NBuff] [NSuff.XXDA],[NSuff.XXDA],[Nom.Art],[Nom],[DA],
6,6,D G,ORDER,MSA,NOMINAL,pos:noun,[QUES] [CONJ] [PREP] [ART],[STEM-NOM],[STEM-NOM] [NBuff],[NBuff] [NSuff.XXDG],[NSuff.XXDG],[Nom.Pr.Art],[Nom],[DG],
7,7,C N,ORDER,MSA,NOMINAL,pos:noun,[QUES] [CONJ],[STEM-NOM],[STEM-NOM] [NBuff],[NBuff] [NSuff.XXCN] [PRON],[NSuff.XXCN] [PRON],[Nom.Conj],[Nom],[CN.Pron],
8,8,C A,ORDER,MSA,NOMINAL,pos:noun,[QUES] [CONJ],[STEM-NOM],[STEM-NOM] [NBuff],[NBuff] [NSuff.XXCA] [PRON],[NSuff.XXCA] [PRON],[Nom.Conj],[Nom],[CA.Pron],
9,9,C G,ORDER,MSA,NOMINAL,pos:noun,[QUES] [CONJ] [PREP],[STEM-NOM],[STEM-NOM] [NBuff],[NBuff] [NSuff.XXCG] [PRON],[NSuff.XXCG] [PRON],[Nom.Pr],[Nom],[CG.Pron],
10,10,I N,ORDER,MSA,NOMINAL,pos:adj,[QUES] [CONJ],[STEM-ADJ],[STEM-ADJ] [NBuff],[NBuff] [NSuff.XXIN],[NSuff.XXIN],[Nom.Conj],[Adj],[IN],
11,11,I A,ORDER,MSA,NOMINAL,pos:adj,[QUES] [CONJ],[STEM-ADJ],[STEM-ADJ] [NBuff],[NBuff] [NSuff.XXIA],[NSuff.XXIA],[Nom.Conj],[Adj],[IA],
12,12,I G,ORDER,MSA,NOMINAL,pos:adj,[QUES] [CONJ] [PREP],[STEM-ADJ],[STEM-ADJ] [NBuff],[NBuff] [NSuff.XXIG],[NSuff.XXIG],[Nom.Pr],[Adj],[IG],
13,13,D N,ORDER,MSA,NOMINAL,pos:adj,[QUES] [CONJ] [ART],[STEM-ADJ],[STEM-ADJ] [NBuff],[NBuff] [NSuff.XXDN],[NSuff.XXDN],[Nom.Art],[Adj],[DN],
14,14,D A,ORDER,MSA,NOMINAL,pos:adj,[QUES] [CONJ] [ART],[STEM-ADJ],[STEM-ADJ] [NBuff],[NBuff] [NSuff.XXDA],[NSuff.XXDA],[Nom.Art],[Adj],[DA],
15,15,D G,ORDER,MSA,NOMINAL,pos:adj,[QUES] [CONJ] [PREP] [ART],[STEM-ADJ],[STEM-ADJ] [NBuff],[NBuff] [NSuff.XXDG],[NSuff.XXDG],[Nom.Pr.Art],[Adj],[DG],
16,16,C N,ORDER,MSA,NOMINAL,pos:adj,[QUES] [CONJ],[STEM-ADJ],[STEM-ADJ] [NBuff],[NBuff] [NSuff.XXCN] [PRON],[NSuff.XXCN] [PRON],[Nom.Conj],[Adj],[CN.Pron],
17,17,C A,ORDER,MSA,NOMINAL,pos:adj,[QUES] [CONJ],[STEM-ADJ],[STEM-ADJ] [NBuff],[NBuff] [NSuff.XXCA] [PRON],[NSuff.XXCA] [PRON],[Nom.Conj],[Adj],[CA.Pron],
18,18,C G,ORDER,MSA,NOMINAL,pos:adj,[QUES] [CONJ] [PREP],[STEM-ADJ],[STEM-ADJ] [NBuff],[NBuff] [NSuff.XXCG] [PRON],[NSuff.XXCG] [PRON],[Nom.Pr],[Adj],[CG.Pron],
19,,,#False Idafa - should be restricted to Adjectives!,,,,,,,,,,,,
20,19,RED-MORPH C N,ORDER,MSA,NOMINAL,pos:adj,[QUES] [CONJ] [ART],[STEM-ADJ],[STEM-ADJ] [NBuff],[NBuff] [NSuff.XXCN],[NSuff.XXCN],[Nom.Art],[Adj],[CN],
21,20,RED-MORPH C A,ORDER,MSA,NOMINAL,pos:adj,[QUES] [CONJ] [ART],[STEM-ADJ],[STEM-ADJ] [NBuff],[NBuff] [NSuff.XXCA],[NSuff.XXCA],[Nom.Art],[Adj],[CA],
22,21,RED-MORPH C G,ORDER,MSA,NOMINAL,pos:adj,[QUES] [CONJ] [PREP] [ART],[STEM-ADJ],[STEM-ADJ] [NBuff],[NBuff] [NSuff.XXCG],[NSuff.XXCG],[Nom.Pr.Art],[Adj],[CG],
23,,,#No case specification,,,,   ,,,,,,,,
24,22,I U,ORDER,MSA,NOMINAL,pos:noun,[QUES] [CONJ] [PREP],[STEM-NOM],[STEM-NOM] [NBuff],[NBuff] [NSuff.XXIU],[NSuff.XXIU],[Nom.Pr],[Nom],[IU],
25,23,D U,ORDER,MSA,NOMINAL,pos:noun,[QUES] [CONJ] [PREP] [ART],[STEM-NOM],[STEM-NOM] [NBuff],[NBuff] [NSuff.XXDU],[NSuff.XXDU],[Nom.Pr.Art],[Nom],[DU],
26,24,C U,ORDER,MSA,NOMINAL,pos:noun,[QUES] [CONJ] [PREP],[STEM-NOM],[STEM-NOM] [NBuff],[NBuff] [NSuff.XXCU] [PRON],[NSuff.XXCU],[Nom.Pr],[Nom],[CU],
27,25,C U,#ORDER,MSA,NOMINAL,pos:noun,[QUES] [CONJ] [PREP],[STEM-NOM],[STEM-NOM] [NBuff],[NBuff] [NSuff.XXCU] [PRON],[NSuff.XXCU] [PRON],[Nom.Pr],[Nom],[CU.Pron],Replaced by the row above for the moment; behavior is not well defined (avoiding cas:u with clitics)
28,26,I U,ORDER,MSA,NOMINAL,pos:adj,[QUES] [CONJ] [PREP],[STEM-ADJ],[STEM-ADJ] [NBuff],[NBuff] [NSuff.XXIU],[NSuff.XXIU],[Nom.Pr],[Adj],[IU],
29,27,D U,ORDER,MSA,NOMINAL,pos:adj,[QUES] [CONJ] [PREP] [ART],[STEM-ADJ],[STEM-ADJ] [NBuff],[NBuff] [NSuff.XXDU],[NSuff.XXDU],[Nom.Pr.Art],[Adj],[DU],
30,28,C U,ORDER,MSA,NOMINAL,pos:adj,[QUES] [CONJ] [PREP],[STEM-ADJ],[STEM-ADJ] [NBuff],[NBuff] [NSuff.XXCU] [PRON],[NSuff.XXCU],[Nom.Pr],[Adj],[CU],
31,29,C U,#ORDER,MSA,NOMINAL,pos:adj,[QUES] [CONJ] [PREP],[STEM-ADJ],[STEM-ADJ] [NBuff],[NBuff] [NSuff.XXCU] [PRON],[NSuff.XXCU] [PRON],[Nom.Pr],[Adj],[CU.Pron],Replaced by the row above for the moment; behavior is not well defined (avoiding cas:u with clitics)
32,30,RED-MORPH C U,ORDER,MSA,NOMINAL,pos:adj,[QUES] [CONJ] [ART],[STEM-ADJ],[STEM-ADJ] [NBuff],[NBuff] [NSuff.XXCU],[NSuff.XXCU],[Nom.Art],[Adj],[CU],
33,,,#Emphatic & wa_part,,,,   ,,,,,,,,
34,31,RED-MORPH I N,ORDER,MSA,NOMINAL,pos:noun,[EMPH],[STEM-NOM],[STEM-NOM] [NBuff],[NBuff] [NSuff.XXIN],[NSuff.XXIN],[Nom.Emph],[Nom],[IN],
35,32,RED-MORPH C N,ORDER,MSA,NOMINAL,pos:noun,[EMPH],[STEM-NOM],[STEM-NOM] [NBuff],[NBuff] [NSuff.XXCN] [PRON],[NSuff.XXCN] [PRON],[Nom.Emph],[Nom],[CN.Pron],
36,33,RED-MORPH I N,ORDER,MSA,NOMINAL,pos:noun,[EMPH],[STEM-NOM],[STEM-ADJ] [NBuff],[NBuff] [NSuff.XXIN],[NSuff.XXIN],[Nom.Emph],[Adj],[IN],
37,34,RED-MORPH C N,ORDER,MSA,NOMINAL,pos:noun,[EMPH],[STEM-NOM],[STEM-ADJ] [NBuff],[NBuff] [NSuff.XXCN] [PRON],[NSuff.XXCN] [PRON],[Nom.Emph],[Adj],[CN.Pron],
38,35,RED-MORPH I A,ORDER,MSA,NOMINAL,pos:noun,[CONJ-ACC],[STEM-NOM],[STEM-NOM] [NBuff],[NBuff] [NSuff.XXIA],[NSuff.XXIA],[Nom.Conj.Acc],[Nom],[IA],
39,36,RED-MORPH D A,ORDER,MSA,NOMINAL,pos:noun,[CONJ-ACC] [ART],[STEM-NOM],[STEM-NOM] [NBuff],[NBuff] [NSuff.XXDA],[NSuff.XXDA],[Nom.Conj.Acc.Art],[Nom],[DA],
40,37,RED-MORPH C A,ORDER,MSA,NOMINAL,pos:noun,[CONJ-ACC],[STEM-NOM],[STEM-NOM] [NBuff],[NBuff] [NSuff.XXCA] [PRON],[NSuff.XXCA] [PRON],[Nom.Conj.Acc],[Nom],[CA.Pron],
41,,,#Others Sheet,,,,,,,,,,,,
42,38,,ORDER,MSA,OTHER,pos:*,[QUES] [CONJ] [PREP],[STEM],[STEM],[PRON-OTHER],[PRON-OTHER],[Nom.Pr],[O],[O.Pron],
43,39,,ORDER,MSA,OTHER,pos:*,[QUES] [CONJ],[STEM-CONJ],[STEM-CONJ],,,[Nom.Conj],[O.Conj],,
44,40,,ORDER,MSA,OTHER,pos:*,[QUES] [CONJ] [PREP],[STEM-CONJ-PREP],[STEM-CONJ-PREP],,,[Nom.Pr],[O.Conj.Prep],,
45,41,,ORDER,MSA,OTHER,pos:*,[QUES] [CONJ],[STEM-CONJ-PRON],[STEM-CONJ-PRON],[PRON-OTHER],[PRON-OTHER],[Nom.Conj],[O.Conj.Pron],[O.Pron],
46,42,,ORDER,MSA,OTHER,pos:*,,[STEM-STANDALONE],[STEM-STANDALONE],,,,[O.Sn],,
47,43,,ORDER,MSA,OTHER,pos:*,[QUES] [CONJ],[STEM-POSS],[STEM-POSS],[PRON],[PRON],[Nom.Conj],[O.StemPoss],[O.Poss],
48,,,#Currently used for X100 and {imoru&,,,,,,,,,,,,
49,44,,ORDER,MSA,NOMINAL,pos:noun,[QUES] [CONJ],[STEM-NOMINATIVE],[STEM-NOMINATIVE] [NBuff],[NBuff] [NSuff.XXIN],[NSuff.XXIN],[Nom.Conj],[Nom.Nom],[IN],
