,LINE,ROOT,PATTERN,INTERDIGITATION,COUNT,PATTERN_ABSTRACT,PATTERN_ABSTRACT_ORIGIN,COUNT_2,DEFINE,CLASS,LEMMA,FORM,NTWS or Arabic,STATUS,BW,GLOSS,#GLOSS_OLD,FEAT,COND-T,COND-S,COMMENTS,NOTES
0,1,b.n.w,{i1o2,{ibon,1,1i2o3,1i2o3,63,LEXICON,[STEM-NOM],{ibon,{ibon,Workspace,DONE,NOUN_PROP,Ibn,Ibn,pos:noun_prop rat:r gen:- num:-,MS,#dip,,ending-in-consonant
1,2,b.s.m,{i1oti2aA3,{ibotisaAm,2,{i1oti2A3,{i1oti2A3,3,LEXICON,[STEM-NOM],{ibotisaAm,{ibotisaAm,Workspace,DONE,NOUN_PROP,Ibtisam,Ibtisam,pos:noun_prop rat:r gen:f num:-,MS,#dip,,
2,3,n.S.r,{i1oti2aA3,{inotiSaAr,2,{i1oti2A3,{i1oti2A3,3,LEXICON,[STEM-NOM],{inotiSaAr,{inotiSaAr,Workspace,DONE,NOUN_PROP,Intisar,Intisar,pos:noun_prop rat:r gen:f num:-,MS,#dip,,
3,4,w.H.d,{it~i2aA3,{it~iHaAd,1,{i1oti2A3,{i1oti2A3,3,LEXICON,[STEM-NOM],{it~iHaAd,{it~iHaAd,Workspace,DONE,NOUN_PROP,Ittehad;Union,Union###Ittehad,pos:noun_prop rat:i gen:- num:-,MS,#dip,,ending-in-consonant
4,5,*.h.b,1a2a3,*ahab,56,1a2a3,1a2a3,216,LEXICON,[STEM-NOM],*ahab,*ahab,Workspace,DONE,NOUN_PROP,Dhahab;Zahab,Dhahab;Zahab,pos:noun_prop rat:r gen:f num:-,MS,#dip,,
5,6,*.y.b,1a2o3,*ayob,125,1a2o3,1a2o3,219,LEXICON,[STEM-NOM],*ayobap,*ayob,Workspace,DONE,NOUN_PROP,Dheiba,Dheiba,pos:noun_prop rat:r gen:- num:-,FS,#dip,,
6,7,*.y.d,1a2o3,*ayod,125,1a2o3,1a2o3,219,LEXICON,[STEM-NOM],*ayod,*ayod,Workspace,DONE,NOUN_PROP,Dhaid,Dhaid,pos:noun_prop rat:i gen:- num:-,MS,#dip,,ending-in-consonant
7,8,NTWS,NTWS,,,,,,LEXICON,[STEM-NOM],*iy,*,NTWS,DONE,NOUN_PROP,Dhi,Dhi,pos:noun_prop rat:u gen:u num:-,MS,#iy #dip,,ending-in-iy
8,9,*.y.b,1i2aA3,*iyaAb,43,1i2A3,1i2A3,73,LEXICON,[STEM-NOM],*iyaAb,*iyaAb,Workspace,DONE,NOUN_PROP,Dhiab,Dhiab,pos:noun_prop rat:r gen:- num:-,MS,#dip,,ending-in-consonant
9,10,*.y.b,1i2aA3aAt,*iyaAbaAt,1,1i2A3+At,1i2A3,73,LEXICON,[STEM-NOM],*iyaAbaAt,*iyaAbaAt,Workspace,DONE,NOUN_PROP,Ziabat,Ziabat,pos:noun_prop rat:r gen:f num:-,MS,#dip,,
