,LINE,ROOT,PATTERN,INTERDIGIT,STATUS_PATTERN,COUNT_PATTERN,PATTERN_ABSTRACT_WIP,PATTERN_ABSTRACT,COUNT_PATTERN_ABSTRACT,STATUS_PATTERN_ABSTRACT,DEFINE,CLASS,LEMMA,FORM,COND-T,COND-S,GLOSS,gloss_old,FEAT,POS,GEN,NUM,RAT,CAS,STATUS,COMMENTS,NOTES
0,1,g.l.b,@a1o2a3,@agolab,DONE,5,>a1o2a3,>a1o2a3,2,DONE,LEXICON,[STEM-NOM],>agolab,>agolab,MS||MD,#dip,most_(of);the_majority_(of);the_greater_portion_of;part_(of),,pos:noun_quant gen:- num:- rat:i cas:u,noun_quant,-,-,i,u,,,
1,2,g.l.b,@a1o2a3iy~,@agolabiy~,DONE,15,>a1o2a3+iy~+ap,>a1o2a3,903,DONE,LEXICON,[STEM-NOM],>agolabiy~ap,>agolabiy~,FS||FD||FP,,most_(of);the_majority_(of);the_greater_portion_of;part_(of),,pos:noun_quant gen:- num:- rat:i cas:u,noun_quant,-,-,i,u,DONE,,
2,3,w.H.d,@a2a3,@aHad,DONE,1,1a2a3,1a2a3,3,DONE,LEXICON,[STEM-NOM],>aHad,>aHad,MS||MD,,one_(of),,pos:noun_quant gen:- num:- rat:i cas:u,noun_quant,-,-,i,u,DONE,,
3,4,w.H.d,#i2o3,#iHod,DONE,1,1i2o3,1i2o3,4,DONE,LEXICON,[STEM-NOM],>aHad,<iHod,MS||MD,#aY-Ap-y,one_(of),,pos:noun_quant gen:f num:- rat:i cas:u,noun_quant,f,-,i,u,DONE,,
4,5,j.m.E,@a1o2a3,@ajomaE,DONE,174,>a1o2a3,>a1o2a3,230,DONE,LEXICON,[STEM-NOM],>ajomaE,>ajomaE,MS||MD||MP,#dip,entire;whole,,pos:noun_quant gen:- num:- rat:i cas:u,noun_quant,-,-,i,u,DONE,,
5,6,j.m.E,@a1o2a3,@ajomaE,DONE,174,>a1o2a3,1a2o3A',230,DONE,LEXICON,[STEM-NOM],>ajomaE,jamoEaA,MS||MD||FP,#A' #dip,entire;whole,,pos:noun_quant gen:- num:- rat:i cas:u,noun_quant,-,-,i,u,DONE,,
6,7,j.m.E,@a1o2a3,@ajomaE,DONE,174,>a1o2a3,1u2a3,230,DONE,LEXICON,[STEM-NOM],>ajomaE,jumaE,MS,,entire;whole,,pos:noun_quant gen:f num:p rat:i cas:u,noun_quant,f,p,i,u,DONE,,
7,8,k.v.r,@a1o2a3,@akovar,DONE,5,>a1o2a3,>a1o2a3,2,DONE,LEXICON,[STEM-NOM],>akovar,>akovar,MS||MD,#dip,more;most;majority,,pos:noun_quant gen:- num:- rat:i cas:u,noun_quant,-,-,i,u,,,
8,9,>.y.y,@a2~,@ay~,DONE,1,1a2o3,1a2o3,7,DONE,LEXICON,[STEM-NOM],>ay~,>ay~,MS||FS,,any,,pos:noun_quant gen:- num:- rat:i cas:u,noun_quant,-,-,i,u,,,
9,10,$.T.r,1a2o3,$aTor,DONE,6,1a2o3,1a2o3,7,DONE,LEXICON,[STEM-NOM],$aTor,$aTor,MS||MD,,part;portion;division;section,,pos:noun_quant gen:- num:- rat:i cas:u,noun_quant,-,-,i,u,,,
10,11,b.E.D,1a2o3,baEoD,DONE,6,1a2o3,1a2o3,7,DONE,LEXICON,[STEM-NOM],baEoD,baEoD,MS,,some;a_few;little;part_(of),,pos:noun_quant gen:- num:- rat:i cas:u,noun_quant,-,-,i,u,,,
11,12,b.D.E,1i2o3,biDoE,DONE,3,1i2o3,1i2o3,4,DONE,LEXICON,[STEM-NOM],biDoE,biDoE,MS||FS,,some;a_few;several,,pos:noun_quant gen:- num:- rat:i cas:u,noun_quant,-,-,i,u,,,@genderpolarity
12,13,D.E.f,1i2o3,DiEof,DONE,3,1i2o3,1i2o3,4,DONE,LEXICON,[STEM-NOM],DiEof,DiEof,MS||MD,,double;multiple,,pos:noun_quant gen:- num:- rat:i cas:u,noun_quant,-,-,i,u,,,
13,14,D.E.f,@a1o2aA3,@aDoEAf,DONE,776,>a1o2A3,>a1o2A3,902,DONE,LEXICON,[STEM-NOM],DiEof,>aDoEaAf,MS,,double;multiple,,pos:noun_quant gen:m num:p rat:i cas:u,noun_quant,m,p,i,u,DONE,,
14,15,n.f.s,1a2o3,nafos,DONE,,1a2o3,1a2o3,2393,DONE,LEXICON,[STEM-NOM],Eayon,Eayon,MS||MD,,same,,pos:noun_quant gen:- num:- rat:i cas:u,noun_quant,-,-,i,u,DONE,,
15,16,E.$.r,1u2u3,Eu$ur,DONE,8,1u2u3,1u2u3,8,DONE,LEXICON,[STEM-NOM],Eu$ur,Eu$ur,MS||MD,,one_tenth,,pos:noun_quant gen:- num:- rat:i cas:u,noun_quant,-,-,i,u,,,
16,17,g.l.b,1aA2i3iy~,gAlibiy~,DONE,31,1A2i3+iy~+ap,1A2i3,986,DONE,LEXICON,[STEM-NOM],gaAlibiy~ap,gaAlibiy~,FS||FD||FP,,most_(of);the_majority_(of);the_greater_portion_of;part_(of),,pos:noun_quant gen:- num:- rat:i cas:u,noun_quant,-,-,i,u,DONE,,
17,18,H.w.l,1a2aA3ay,HawaAlay,DONE,1,1a2A3+ay,1a2A3,3,DONE,LEXICON,[STEM-NOM],HawaAlay,HawaAlay,MS,,about;approximately;around;roughly;nearly;almost,,pos:noun_quant gen:- num:- rat:i cas:u,noun_quant,-,-,i,u,,,
18,19,j.m.E,1a2iy3,jamiyE,DONE,1,1a2iy3,1a2iy3,1,DONE,LEXICON,[STEM-NOM],jamiyE,jamiyE,MS,,all;entire;every;whole,,pos:noun_quant gen:- num:- rat:i cas:u,noun_quant,-,-,i,u,,,
