,LINE,ROOT,PATTERN,PATTERN_ABSTRACT,DEFINE,CLASS,BW,LEMMA,FORM,GLOSS,COND-T,COND-S,D3SEG,D3TOK,ATBSEG,ATBTOK,FEAT,STATUS,COMMENTS,NOTES,#CLASS
0,1,m.r.>,NTWS,NTWS,LEXICON,[STEM-ACCUSATIVE],NOUN,{imoru&,{imor,man,MS||MD,#a>,,,,,pos:noun gen:- num:- rat:r cas:a,,,,[STEM-NOM]
1,2,m.r.>,NTWS,NTWS,LEXICON,[STEM-GENITIVE],NOUN,{imoru&,{imori},man,MS||MD,,,,,,pos:noun gen:- num:- rat:r cas:g,,,,[STEM-NOM]
2,3,m.r.>,NTWS,NTWS,LEXICON,[STEM-NOMINATIVE],NOUN,{imoru&,{imor,man,MS||MD,#u&,,,,,pos:noun gen:- num:- rat:r cas:n,,,,[STEM-NOM]
3,4,m.r.>,NTWS,NTWS,LEXICON,[STEM-ACCUSATIVE],NOUN_PROP,{imoru&,{imor,man,MS||MD,#a>,,,,,pos:noun_prop gen:- num:- rat:r cas:a,,,,[STEM-NOM]
4,5,m.r.>,NTWS,NTWS,LEXICON,[STEM-GENITIVE],NOUN_PROP,{imoru&,{imori},man,MS||MD,,,,,,pos:noun_prop gen:- num:- rat:r cas:g,,,,[STEM-NOM]
5,6,m.r.>,NTWS,NTWS,LEXICON,[STEM-NOMINATIVE],NOUN_PROP,{imoru&,{imor,man,MS||MD,#u&,,,,,pos:noun_prop gen:- num:- rat:r cas:n,,,,[STEM-NOM]
6,7,s.m.y,NTWS,NTWS,LEXICON,[STEM-CONJ],bi/PREP+{isom/NOUN+i/CASE_DEF_GEN,{isom,bisomi,in/by_the_name_of,,,bi+_somi,bi+_{isomi,bi+_somi,bi+_{isomi,pos:noun prc1:bi_prep gen:m num:s stt:c cas:g,,,,[STEM-NOM]
7,8,*.w.y,NTWS,NTWS,LEXICON,[STEM-CONJ-PREP],ABBREV,*,*,DH.;25th,,,,,,,pos:abbrev,,,,[STEM-BASE]
8,9,*.w.y,NTWS,NTWS,LEXICON,[STEM-CONJ-PREP],DEM_PRON_MS,*a`lika,*a`lika,that;those,,,,,,,pos:pron_dem rat:n gen:m num:s cas:u stt:i,,,,[STEM-BASE]
9,10,*.w.y,NTWS,NTWS,LEXICON,[STEM-CONJ-PREP],DEM_PRON_F,*a`lika,tiloka,that;those,,,,,,,pos:pron_dem rat:n gen:f num:s cas:u stt:i,,,,[STEM-BASE]
10,11,*.w.y,NTWS,NTWS,LEXICON,[STEM-CONJ-PREP],DEM_PRON_MP,*a`lika,*a`likum,that;those,,,,,,,pos:pron_dem rat:n gen:m num:p cas:u stt:i,,,,[STEM-BASE]
11,12,*.w.y,NTWS,NTWS,LEXICON,[STEM-CONJ-PREP],DEM_PRON_FS,*a`lika,tilokum,that;those,,,,,,,pos:pron_dem rat:n gen:f num:s cas:u stt:i,,,,[STEM-BASE]
12,13,*.w.y,NTWS,NTWS,LEXICON,[STEM-CONJ-PREP],DEM_PRON_D,*a`lika,*a`likumaA,that;those,,,,,,,pos:pron_dem rat:n gen:- num:d cas:u stt:i,,,,[STEM-BASE]
