ROOT	STATUS	PATTERN_LEMMA_PROPOSED
	NO_ROOT	
*.b.*.b	LOOKUP_DEDIAC-1	1a23a4ap
*.b.H	LOOKUP_DEDIAC-1	1a23ap
*.b.H	LOOKUP_DIAC-1	1a2iy3ap
*.h.b	LOOKUP_DEDIAC-1	1a2a3iy
*.k.r	LOOKUP_DEDIAC-1	1a2~iy3
	NO_ROOT	
*.k.r	LOOKUP_DIAC-1	1a2a3
*.k.r	LOOKUP_DIAC-1	1a2a3
*.k.w	BACKOFF-1	1a2A3ap
*.k.r	LOOKUP_DIAC-1	1A2i3ap
*.k.y	LOOKUP_DEDIAC-1	1a2i3
*.k.r	LOOKUP_DEDIAC-1	1A23ap
*.l.l	LOOKUP_DEDIAC-1	1a2~ap
	NO_ROOT	
*.l.l	LOOKUP_DIAC-1	1a2iy3
*.n.b	LOOKUP_DIAC-1	1a2a3
*.n.b	LOOKUP_DEDIAC-1	1a23
*.n.b	LOOKUP_DEDIAC-1	1a23
*.r.r	LOOKUP_DIAC-1	1a2~ap
*.r.r *.r.y *.r.Y	LOOKUP_DEDIAC-3+	1a2~iy
*.r.E	LOOKUP_DIAC-1	1a2iy3ap
*.w.y	LOOKUP_DIAC-1	1At
*.w.y	LOOKUP_DEDIAC-1	1Ati3
*.w.y	LOOKUP_DEDIAC-1	1a2
*.w.t	LOOKUP_DEDIAC-1	1a2A3iy
*.w.q	LOOKUP_DEDIAC-1	1a23
	NO_ROOT	
*.w.q	BACKOFF-1	1a23iy~ap
*.x.r	LOOKUP_DIAC-1	1a2iy3ap
*.h.b	BACKOFF-1	1i2A3
*.h.n	LOOKUP_DEDIAC-1	1i23
*.h.n	LOOKUP_DEDIAC-1	1i23iy
*.k.r	LOOKUP_DEDIAC-1	1i23
*.k.r	LOOKUP_DEDIAC-1	1i23aY
*.l.l	LOOKUP_DIAC-1	1i2~ap
*.m.m	LOOKUP_DIAC-1	1i2~ap
*.b.b	LOOKUP_DIAC-1	1u2A3ap
*.E.r	LOOKUP_DEDIAC-1	1u23
*.h.l	LOOKUP_DIAC-1	1u2uw3
*.l.l	LOOKUP_DIAC-1	1u2~
*.r.r	LOOKUP_DIAC-1	1u2~iy~ap
	NO_ROOT	
	NO_ROOT	
*.y.E	LOOKUP_DEDIAC-1	<i1A3iy
>.*.n	LOOKUP_DEDIAC-1	<i23
>.*.n	LOOKUP_DEDIAC-1	<i23
$.y.d	LOOKUP_DIAC-1	<i1A3ap
$.y.E	LOOKUP_DIAC-1	<i1A3ap
$.w.r	LOOKUP_DIAC-1	<i1A3ap
>.w.n	LOOKUP_DIAC-1	>a2A3
	NO_ROOT	
S.f.r	BACKOFF-1	1a23A
$.k.l	LOOKUP_DEDIAC-1	<i12A3
$.k.l	LOOKUP_DEDIAC-1	<i12A3iy~ap
	NO_ROOT	
d.w.y	LOOKUP_DIAC-1	1a2A'
>.b.y	LOOKUP_DIAC-1	<i2A'
b.y.d	LOOKUP_DIAC-1	<i1A3ap
b.w.H	LOOKUP_DIAC-1	<i1A3ap
b.w.H	LOOKUP_DEDIAC-1	<i1A3iy
b.w.H	LOOKUP_DEDIAC-1	<i1A3iy
b.y.n	LOOKUP_DIAC-1	<i1A3ap
b.n.w	LOOKUP_DEDIAC-1	<i12
b.n.w	LOOKUP_DEDIAC-1	<i12
b.r.>	LOOKUP_DEDIAC-1	<i12A'
>.b.r	LOOKUP_DEDIAC-1	<i23ap
>.b.r	LOOKUP_DEDIAC-1	<i23ap
b.S.l	BACKOFF-1	<ibSAliy~ap
b.S.r	LOOKUP_DEDIAC-1	<i12A3
b.h.l	LOOKUP_DEDIAC-1	<i1ti2A3
b.s.m	LOOKUP_DEDIAC-1	<i1ti2A3ap
	NO_ROOT	
>.d.d	LOOKUP_DEDIAC-1	<i2
d.l.E.d	BACKOFF_NO_GOLD_ROOT-1	<id~alEadiy
D.w.>	LOOKUP_DIAC-1	<i1A'ap
D.y.f	LOOKUP_DIAC-1	<i1A3ap
D.y.f	LOOKUP_DEDIAC-1	<i1A3iy
>.d.m	LOOKUP_DIAC-1	<i2A3
d.y.n	LOOKUP_DIAC-1	<i1A3ap
d.w.r	LOOKUP_DIAC-1	<i1A3ap
d.w.r	LOOKUP_DIAC-1	<i1A3ap
	NO_ROOT	
d.l.y	LOOKUP_DEDIAC-1	<i12A'
D.r.b	LOOKUP_DEDIAC-1	<i12A3
d.r.k	LOOKUP_DEDIAC-1	<i12A3
	NO_ROOT	
E.y.$	LOOKUP_DIAC-1	<i1A3ap
E.w.d	LOOKUP_DIAC-1	<i1A3ap
E.w.n	LOOKUP_DIAC-1	<i1A3ap
E.w.r	LOOKUP_DIAC-1	<i1A3ap
E.d.d	LOOKUP_DEDIAC-1	<i12A3
E.d.m	LOOKUP_DEDIAC-1	<i12A3
E.j.b	LOOKUP_DEDIAC-1	<i12A3
E.j.b	LOOKUP_DEDIAC-1	<i12uw3ap
E.l.w	LOOKUP_DEDIAC-1	<i12A'
E.l.m	LOOKUP_DEDIAC-1	<i12A3
E.l.m	LOOKUP_DEDIAC-1	<i12A3iy
E.l.n	LOOKUP_DEDIAC-1	<i12A3
E.l.n	LOOKUP_DEDIAC-1	<i12A3iy
E.T.w	LOOKUP_DEDIAC-1	<i12A'
E.b.T	LOOKUP_DEDIAC-1	<i1ti2A3iy
E.S.m	LOOKUP_DEDIAC-1	<i1ti2A3
E.y.y	LOOKUP_DEDIAC-1	<i12A'
f.y.d	LOOKUP_DIAC-1	<i1A3ap
f.r.d	LOOKUP_DEDIAC-1	<i12A3
	NO_ROOT	
g.w.r	LOOKUP_DIAC-1	<i1A3ap
g.l.q	LOOKUP_DEDIAC-1	<i12A3
g.m.y	LOOKUP_DEDIAC-1	<i12A'ap
g.y.l	LOOKUP_DEDIAC-1	<i1ti2A3
	NO_ROOT	
H.w.l	LOOKUP_DIAC-1	<i1A3ap
h.w.n	LOOKUP_DIAC-1	<i1A3ap
H.b.T	LOOKUP_DEDIAC-1	<i12A3
