LEMMA	FORM	ROOT_NEW	BW	GLOSS	FEAT	COND-T	COND-S
{i}otikAl	{i}otikAl	>.k.l	NOUN	erosion;corrosion	pos:noun gen:m num:- rat:i cas:u	MS||MD||FP	
{i}otilAf	{i}otilAf	>.l.f	NOUN	coalition;entente	pos:noun gen:m num:- rat:i cas:u	MS||MD||FP	
{i}otilAfiy~	{i}otilAfiy~	>.l.f	ADJ	coalition	pos:adj gen:- num:- rat:n cas:u	MS||MD||MP||FS||FD||FP	
{i}otimAn	{i}otimAn	>.m.n	NOUN	trust;credit	pos:noun gen:m num:- rat:i cas:u	MS||MD||FP	
{i}otimAniy~	{i}otimAniy~	>.m.n	ADJ	fiduciary;credit	pos:adj gen:- num:- rat:n cas:u	MS||MD||MP||FS||FD||FP	
{i$omi}ozAz	{i$omi}ozAz	$.m.z	NOUN	repugnance;disgust	pos:noun gen:m num:- rat:i cas:u	MS||MD||FP	
{i$omiTAT	{i$omiTAT	$.m.T	NOUN	graying	pos:noun gen:m num:- rat:i cas:u	MS||MD||FP	
{i$omixorAr	{i$omixorAr	$.m.x.r	NOUN	loftiness;pride	pos:noun gen:m num:- rat:i cas:u	MS||MD||FP	
{i$ori}obAb	{i$ori}obAb	$.r.b	NOUN	craning_the_neck;stretching_the_neck	pos:noun gen:m num:- rat:i cas:u	MS||MD||FP	
{i$otibAh	{i$otibAh	$.b.h	NOUN	resemblance;similarity;dubiousness	pos:noun gen:m num:- rat:i cas:u	MS||MD||FP	
{i$otibAk	{i$otibAk	$.b.k	NOUN	skirmish;clash	pos:noun gen:m num:- rat:i cas:u	MS||MD||FP	
{i$otidAd	{i$otidAd	$.d.d	NOUN	intensification;aggravation	pos:noun gen:m num:- rat:i cas:u	MS||MD||FP	
{i$otiEAl	{i$otiEAl	$.E.l	NOUN	burning;ignition	pos:noun gen:m num:- rat:i cas:u	MS||MD||FP	
{i$otiEAliy~	{i$otiEAliy~	$.E.l	ADJ	combustible;flammable	pos:adj gen:- num:- rat:n cas:u	MS||MD||MP||FS||FD||FP	
{i$otigAl	{i$otigAl	$.g.l	NOUN	preoccupied;functioning	pos:noun gen:m num:- rat:i cas:u	MS||MD||FP	
{id~iEA'	{id~iEA	d.E.w	NOUN	allegation;claim;prosecution	pos:noun gen:m num:- rat:i cas:u	MS||MD||FP	#A'@w
{i$otihAr	{i$otihAr	$.h.r	NOUN	fame;renown	pos:noun gen:m num:- rat:i cas:u	MS||MD||FP	
{inomiHA'	{im~iHA	m.H.w	NOUN	extinction;eradication	pos:noun gen:m num:- rat:i cas:u	MS||MD||FP	#A'@w
{i$otiqAq	{i$otiqAq	$.q.q	NOUN	derivation	pos:noun gen:m num:- rat:i cas:u	MS||MD||FP	
{i$otiqAqiy~	{i$otiqAqiy~	$.q.q	ADJ	derivational	pos:adj gen:- num:- rat:n cas:u	MS||MD||MP||FS||FD||FP	
{it~iqA'	{it~iqA	t.q.w	NOUN	caution;precaution	pos:noun gen:m num:- rat:i cas:u	MS||MD||FP	#A'@w
{i$otirAE	{i$otirAE	$.r.E	NOUN	legislation;law_making	pos:noun gen:m num:- rat:i cas:u	MS||MD||FP	
