{id~iEA'	{i1~i2A'		1	d.E.w			{id~iEA	NOUN	allegation;claim;prosecution	pos:noun gen:m num:- rat:i cas:u	FP||MD||MS	#A'@w
{inoziwA'	{ino2iwA'		1	n.z.w			{inoziwA	NOUN	seclusion;isolation;retirement	pos:noun gen:m num:- rat:i cas:u	FP||MD||MS	#A'@w
{iroEiwA'	{i1o2iwA'		1	r.E.y			{iroEiwA	NOUN	desisting;repenting;refraining	pos:noun gen:- num:- rat:i cas:u	FP||MD||MS	#A'@w
{iboyiDAD	{i1oyi3A3		1	b.y.D			{iboyiDAD	NOUN	leukemia	pos:noun gen:m num:- rat:i cas:u	FP||MD||MS	
{ifoti}At	{i1oti}A2		1	f.t.>			{ifoti}At	NOUN	oppression;violence	pos:noun gen:m num:- rat:i cas:u	FP||MD||MS	
{ifotiqArAt	{i1oti2A3At		1	f.q.r			{ifotiqAr	NOUN	needs;requirements	pos:noun gen:m num:- rat:i cas:u	FP	
{iHodiydAb	{i1o2iy2A3		1	H.d.b			{iHodiydAb	NOUN	humped;kyphosis	pos:noun gen:m num:- rat:i cas:u	FP||MD||MS	
{ikoti}Ab	{i1oti}A3		1	k.w.b			{ikoti}Ab	NOUN	depression	pos:noun gen:m num:- rat:i cas:u	FP||MD||MS	
{ilotiwA'ap	{i1otiwA'ap		1	l.w.y			{ilotiwA'	NOUN	bending;flexing;twisting	pos:noun gen:f num:- rat:i cas:u	FD||FP||FS	
{imora>ap	{i1o2a>ap		1	m.r.>			{imora>	NOUN	woman	pos:noun gen:- num:- rat:r cas:u	FD||FS	
{inosiyAbiy~	{ino1iyA3iy~		1	s.y.b			{inosiyAbiy~	ADJ	stream-lined	pos:adj gen:- num:- rat:n cas:u	FD||FP||FS||MD||MP||MS	
{inotihAziy~ap	{inoti2A3iy~ap		1	n.h.z			{inotihAziy~	NOUN	opportunism	pos:noun gen:- num:- rat:i cas:u	FD||FP||FS	
{inoTilAqap	{inoTi2A3ap		1	T.l.q			{inoTilAq	NOUN	outset;launching	pos:noun gen:- num:- rat:i cas:u	FD||FP||FS	
{inotiqA}iy~	{inoti2A}iy~		1	n.q.y			{inotiqA}iy~	ADJ	selective;eclectic	pos:adj gen:- num:- rat:n cas:u	FD||FP||FS||MD||MP||MS	
{inoTiwA}iy~	{inoTiwA}iy~		1	T.w.y			{inoTiwA}iy~	ADJ	withdrawal;introverted	pos:adj gen:- num:- rat:n cas:u	FD||FP||FS||MD||MP||MS	
qiv~A'ap	1i2~A'ap		1	q.v.>			qiv~A'	NOUN	cucumber	pos:noun gen:- num:- rat:i cas:u	FD||FP||FS	@instance
{isomiy~	{iso2iy~		1	s.m.y			{isomiy~	ADJ	nominal;in_name	pos:adj gen:- num:- rat:n cas:u	FD||FP||FS||MD||MP||MS	
{isot	{iso3		1	>.s.t			{isot	NOUN	anus	pos:noun gen:- num:- rat:i cas:u	MD||MS	
{isoti}omArap	{isoti}o2A3ap		1	>.m.r			{isoti}omAr	NOUN	form;questionnaire	pos:noun gen:f num:- rat:i cas:u	FD||FP||FS	
{isoti}onAfiy~	{isoti}o2A3iy~		1	>.n.f			{isoti}onAfiy~	ADJ	appellate	pos:adj gen:- num:- rat:n cas:u	FD||FP||FS||MD||MP||MS	
{isoti}oSAliy~	{isoti}oSAliy~		1	>.n.f			{isoti}oSAliy~	ADJ	eradication;extermination	pos:adj gen:- num:- rat:n cas:u	FD||FP||FS||MD||MP||MS	
{isotibAqiy~	{isoti2A3iy~		1	s.b.q			{isotibAqiy~	NOUN	hastening;hurrying;pushing_forward;competing;racing	pos:noun gen:- num:- rat:i cas:u	FD||FP||FS||MD||MP||MS	
{isotiyA'	{isotiyA'		1	s.w.>			{isotiyA	NOUN	dissatisfaction;displeasure	pos:noun gen:m num:- rat:i cas:u	FP||MD||MS	#A'
{inoDiwA'	{ino1iwA'		1	D.w.y			{inoDiwA	NOUN	seeking_refuge;rallying_around	pos:noun gen:m num:- rat:i cas:u	FP||MD||MS	#A'@w
{inoTiwA'	{inoTiwA'		1	T.w.y			{inoTiwA	NOUN	withdrawal	pos:noun gen:m num:- rat:i cas:u	FP||MD||MS	#A'@w
{isotiHomAmap	{isoti1o2A3ap		1	H.m.m			{isotiHomAm	NOUN	bath	pos:noun gen:f num:- rat:i cas:u	FD||FP||FS	
{isotimArap	{isoti1A2ap		1	m.r.r			{isotimAr	NOUN	form;questionnaire	pos:noun gen:f num:- rat:i cas:u	FD||FP||FS	
{isotiwA}iy~	{isotiwA}iy~		1	s.w.y			{isotiwA}iy~	ADJ	equatorial;tropical	pos:adj gen:- num:- rat:n cas:u	FD||FP||FS||MD||MP||MS	
{isotixobArAtiy~	{isoti1o2A3Atiy~		1	x.b.r			{isotixobArAtiy~	ADJ	intelligence	pos:adj gen:- num:- rat:n cas:u	FD||FP||FS||MD||MP||MS	
{isotiy~	{isotiy~		1	A.s.t			{isotiy~	ADJ	anal	pos:adj gen:- num:- rat:n cas:u	FD||FP||FS||MD||MP||MS	
{isotiyEAb	{isotiy2Ab		1	w.E.y			{isotiyEAb	NOUN	comprehension;assimilation;containing	pos:noun gen:m num:- rat:i cas:u	FP||MD||MS	
{isotiyEAbiy~	{isotiy2Abiy~		1	w.E.y			{isotiyEAbiy~	ADJ	comprehensive;assimilating;all-encompassing	pos:adj gen:- num:- rat:n cas:u	FD||FP||FS||MD||MP||MS	
{isotiyTAniy~	{isotiy2A3iy~		1	w.T.n			{isotiyTAniy~	ADJ	settlement;colonial	pos:adj gen:- num:- rat:n cas:u	FD||FP||FS||MD||MP||MS	
{it~ifAqiy~ap	{it~i2A3iy~ap		1	w.f.q			{it~ifAqiy~	NOUN	treaty;accord	pos:noun gen:- num:- rat:i cas:u	FD||FP||FS	
{ivon	{i2o3		1	w.v.n			{ivon	NOUN_NUM	(stem_of_2_and_12)	pos:noun_num gen:- num:- rat:n cas:u	FD||MD	
{ivonayoni	{i1o2a3oni		1	v.n.y			{ivonayoni	NOUN	Monday	pos:noun gen:- num:- rat:i cas:u	MS	
{isotiHoyA'	{isoti1oyA'		1	H.y.w			{isotiHoyA	NOUN	shame;bashfulness	pos:noun gen:m num:- rat:i cas:u	FP||MD||MS	#A'@w
{izodiwAj	{i1odiwA3		1	z.w.j			{izodiwAj	NOUN	duality	pos:noun gen:m num:- rat:i cas:u	FP||MD||MS	
{izodiwAjiy~	{i1odiwA3iy~		1	z.w.j			{izodiwAjiy~	ADJ	dual;bi-	pos:adj gen:- num:- rat:n cas:u	FD||FP||FS||MD||MP||MS	
{izodiwAjiy~ap	{i1odiwA3iy~ap		1	z.w.j			{izodiwAjiy~	NOUN	duality;bi-	pos:noun gen:f num:- rat:i cas:u	FD||FP||FS	
